报告日期,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),39573,49024,42194,29108,26813,27782,25433,22143,34085,32346,44027,37529,32545,23730,20538,15586,16248,23042,16981,20129,19433,17075,15588,11983,23605,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,118,2461,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收票据(万元),36738,42451,53130,64835,32306,28520,34611,42547,19937,35628,35874,40522,39872,32949,34068,28270,22284,18345,28829,36292,22937,10716,12729,14102,14679,
应收账款(万元),20776,22646,25737,22151,23761,26579,23533,21934,20631,28379,24195,26610,20142,25069,25852,29531,27473,33415,38483,32977,26337,28207,31316,32100,23929,
预付款项(万元),6756,8911,5178,4555,3936,1460,1774,3024,1896,1557,1415,1149,1462,2365,1022,2102,1301,1592,1792,1887,2324,3088,4008,2723,3395,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收股利(万元),--,--,2000,--,2000,2000,--,--,--,1,0,--,0,0,22,22,522,--,--,--,0,--,--,--,0,
其他应收款(万元),3932,3492,3559,2357,2288,4181,3611,2977,2592,5932,5344,3283,5865,9375,10595,12882,13303,12544,9788,9216,8807,12892,13772,14218,9737,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
存货(万元),79397,71101,64380,59392,70107,66047,67306,66648,73696,57837,58388,49156,46291,41603,39566,40876,47610,45797,55375,47898,52533,42722,41699,42185,47482,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
其他流动资产(万元),98,74,48,47,75,111,111,98,71,157,131,50,90,74,229,187,57,2449,237,52,112,1950,2954,--,173,
流动资产合计(万元),187271,197698,196227,182446,161287,156680,156381,159371,152908,161838,169374,158298,146267,135165,131893,129455,128797,137185,151486,148450,132482,116650,122066,117430,125461,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
可供出售金融资产(万元),31,26,28,29,28,28,31,32,31,33,34,41,46,44,44,23,23,37,37,76,76,--,--,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
长期股权投资(万元),30639,29535,28501,28539,26993,25303,28497,27126,25607,25438,24447,23095,22291,21919,21348,20881,19861,18453,2000,6321,6328,26235,17836,19883,6359,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
投资性房地产(万元),26804,27980,27980,33046,34375,34445,34445,34445,34445,33357,33120,33063,33560,33107,33107,33107,33122,32278,32278,32278,32160,29304,24983,24983,24983,
固定资产原值(万元),145011,--,142849,--,139639,--,137513,--,136055,--,134693,--,134026,--,138753,--,138517,--,148274,--,145303,--,144830,--,151310,
累计折旧(万元),77759,--,76404,--,73587,--,71957,--,69942,--,67527,--,64921,--,67168,--,65439,--,64809,--,60895,--,61126,--,58079,
固定资产净值(万元),67252,--,66446,--,66053,--,65556,--,66113,--,67166,--,69105,--,71585,--,73078,--,83465,--,84409,--,83704,--,93231,
固定资产减值准备(万元),1363,--,1409,--,1409,--,1410,--,1410,--,1400,--,1382,--,242,--,242,--,31,--,39,--,39,--,40,
固定资产(万元),65889,64138,65036,65047,64643,63036,64146,63925,64703,64937,65765,66261,67722,70316,71343,71353,72836,72296,83433,84935,84369,76296,83665,87433,93191,
在建工程(万元),11218,7628,6219,4577,4095,6046,5639,5274,4491,3296,1704,1506,1134,1566,1846,2765,2185,4155,5068,4953,7768,4635,4139,3423,4677,
工程物资(万元),--,--,--,--,--,2,--,10,--,8,0,--,0,2,0,--,--,--,--,--,0,--,--,--,0,
固定资产清理(万元),--,5,--,2,--,170,--,6,--,6,0,30,0,19,0,0,--,5,--,--,0,0,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
无形资产(万元),23833,23973,24097,19717,19780,19891,19996,20123,20051,20179,20312,20430,20588,20726,21334,21471,21580,22348,25741,25925,26181,23270,23781,22042,27676,
开发支出(万元),332,332,332,302,302,302,302,302,472,448,448,448,448,449,446,446,446,394,394,394,394,170,170,--,0,
商誉(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
长期待摊费用(万元),97,120,143,163,186,175,193,129,143,213,233,252,222,264,316,341,307,308,1342,1548,360,398,431,467,480,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
递延所得税资产(万元),3838,3048,4828,2907,3046,2683,2683,2680,2680,2226,2241,2075,2226,2266,2291,2273,2273,1782,2636,2453,2453,1502,1535,1502,1529,
其他非流动资产(万元),--,--,--,--,--,4,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
非流动资产合计(万元),162681,156787,157165,154331,153449,152084,155933,154052,152623,150141,148306,147199,148239,150678,152075,152660,152634,152054,152929,158883,160090,161811,156539,159733,158893,
资产总计(万元),349951,354485,353392,336777,314736,308764,312314,313423,305531,311980,317680,305497,294505,285843,283968,282115,281431,289239,304415,307333,292572,278461,278606,277163,284353,
短期借款(万元),59875,68980,78210,79760,80580,84080,85600,92000,102300,101800,113500,117000,121700,123600,128100,128100,131310,138912,129332,132408,130508,125908,129888,130688,137450,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,0,--,--,--,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应付票据(万元),4403,2328,41,2966,5522,7514,5791,4368,6106,8406,5894,4133,2852,2435,1974,2193,4421,4367,3394,3315,4836,3514,3817,5094,5267,
应付账款(万元),37380,40322,40930,36943,30079,29329,31244,32982,25640,28067,31938,34148,26815,27360,26339,26962,23122,29170,33730,30082,25055,26602,31897,33632,31906,
预收账款(万元),30506,23294,19255,21629,21409,9514,13578,18503,22637,16570,10792,10383,16680,8089,5430,5687,9117,3559,4951,6004,5373,2862,4239,2782,3615,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应付职工薪酬(万元),6073,7790,6927,5012,4457,6276,6291,4533,4497,5105,5018,2426,3132,3080,1875,1295,1008,1518,2226,2109,1939,2522,2731,2507,2362,
