报告日期,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),1746398,1631661,1177099,1303991,1317336,880526,1107831,1440991,1317186,1110536,580269,1036788,849297,406617,385508,488470,301707,253558,228532,242199,285549,232371,184467,135177,146032,97737,112996,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
交易性金融资产(万元),32163,19023,11734,1186,6067,15352,18182,22554,15233,20406,15017,8258,6550,3320,2718,1393,1139,--,--,--,0,518,15146,14702,10735,1650,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,--,0,
应收票据(万元),984889,1080268,971602,1204677,1014692,1227697,735947,1373543,1238498,1440731,387102,709297,882063,684705,544845,602915,485488,233763,235727,270641,297130,146983,114243,221705,190441,146049,83467,
应收账款(万元),812118,999763,607128,937024,1108252,734215,570774,793659,1069661,761876,444213,648620,828720,701722,466688,383081,596897,445873,293633,321669,431420,377205,148599,244245,373511,297510,93327,
预付款项(万元),83745,123790,82061,121006,117622,158594,196842,277637,298473,337990,254440,244997,73551,185188,80835,96373,89569,108501,74573,162124,149849,158225,75867,93108,70274,48403,76283,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,--,0,0,
