报告日期,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),94920,79604,86551,136806,143496,141030,171219,70865,70996,77162,72281,65299,65371,67346,65034,62978,61994,64208,62522,47013,49431,48291,43675,51997,56195,65248,
结算备付金(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
拆出资金(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
交易性金融资产(万元),45905,59455,47874,47216,55632,13701,16476,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
应收票据(万元),14180,14770,--,1300,1810,3240,1044,--,10656,5099,2877,2768,5169,8964,1865,4256,198,7005,10473,5308,2420,3390,1020,--,--,2010,
应收账款(万元),76763,71306,158477,107455,86536,77415,94206,4826,2681,5292,6744,11916,8348,10883,29105,31672,36746,36892,10928,8917,11231,21050,6116,194,153,119,
预付款项(万元),14534,23390,15643,36863,19594,47701,34094,1917,3034,2444,4189,3649,2517,2335,717,772,812,977,11513,9234,4206,5119,1953,447,108,487,
应收保费(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
应收分保账款(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
应收分保合同准备金(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
应收利息(万元),--,0,--,296,15,757,--,--,79,455,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
应收股利(万元),883,883,883,883,883,883,883,883,883,883,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
其他应收款(万元),4413,5008,6379,4218,4517,3622,2038,2616,103,119,89,99,81,49,372,368,336,321,416,354,409,422,466,297,290,285,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
买入返售金融资产(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
存货(万元),32964,37440,65047,35859,34248,32005,25017,433,14306,15266,15510,19568,19903,14780,13389,14466,14394,14257,20299,19255,19045,12315,14903,31,32,34,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
一年内到期的非流动资产(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
其他流动资产(万元),84,84,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
流动资产合计(万元),284647,291941,380854,370897,346731,320353,344977,81540,102739,106721,101691,103299,101389,104355,110482,114512,114481,123660,116150,90081,86743,90586,68133,52966,56778,68184,
发放贷款及垫款(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
可供出售金融资产(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,--,0,0,--,--,--,0,
持有至到期投资(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
长期应收款(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
长期股权投资(万元),1622,1622,2518,2518,2518,2518,2110,2110,2110,2110,2396,2396,2396,4483,3569,3613,3658,3792,3545,3545,3508,3554,3558,8770,4044,4079,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
投资性房地产(万元),827,835,844,852,860,868,877,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
固定资产原值(万元),--,1375988,--,1372943,--,1366151,--,43591,--,156733,--,158370,0,155420,0,152838,--,152883,--,158642,--,160786,--,38914,--,38860,
累计折旧(万元),--,460250,--,427780,--,391131,--,40457,--,63616,--,60302,0,54004,0,49824,--,46065,--,42535,--,38284,--,34882,--,34386,
固定资产净值(万元),--,915738,--,945164,--,975020,--,3134,--,93116,--,98069,0,101416,0,103014,--,106818,--,116108,--,122502,--,4031,--,4474,
固定资产减值准备(万元),--,1181,--,1181,--,1181,--,1181,--,1181,--,1181,0,1181,0,1181,--,1182,--,1190,--,1190,--,1190,--,1190,
固定资产(万元),897616,914557,926869,943983,961349,973839,984529,1953,90222,91935,95133,96888,98788,100235,100032,101833,103754,105636,112888,114918,97505,121312,5134,2841,3077,3284,
在建工程(万元),44302,40798,21918,18041,16192,15720,15497,--,--,--,--,0,0,0,5234,4620,4267,3272,--,--,0,0,71146,--,--,13964,
工程物资(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,2494,2456,2456,2756,2468,2316,2043,1999,13185,--,--,11547,
固定资产清理(万元),429,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
生产性生物资产(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
油气资产(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
无形资产(万元),38122,38400,44628,44791,45001,42434,39938,--,1163,1177,1191,1204,1218,1231,1235,1249,1262,1276,1264,1275,1840,1259,0,--,--,0,
开发支出(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
商誉(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
长期待摊费用(万元),453,452,458,465,535,542,484,--,534,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,87,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
递延所得税资产(万元),3833,10716,16553,17196,14900,17844,16870,47,47,47,8,14,14,6,25,25,25,25,25,25,326,326,141,33,21,33,
其他非流动资产(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,-77,0,--,--,--,--,0,0,--,--,--,0,
非流动资产合计(万元),987204,1007381,1013787,1027845,1041355,1053765,1060303,4109,94075,95268,98728,100503,102416,105955,112512,113796,115422,116757,120191,122079,105222,128450,93164,11644,7142,32995,
资产总计(万元),1271851,1299322,1394642,1398742,1388086,1374118,1405280,85650,196814,201989,200419,203802,203806,210310,222994,228307,229903,240418,236341,212160,191965,219036,161298,64610,63920,101179,
短期借款(万元),47400,52400,59000,45000,45000,45000,42000,--,97991,97991,97991,97991,82991,102991,103000,60000,50000,40000,45000,45000,45000,45000,40000,--,--,0,
向中央银行借款(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
吸收存款及同业存放(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
拆入资金(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
交易性金融负债(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,--,0,0,--,--,--,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
应付票据(万元),--,0,--,0,519,1498,979,--,--,--,--,0,0,0,0,1461,9571,28571,24610,--,0,0,--,--,--,0,
应付账款(万元),62131,78970,73564,87000,73328,92828,77437,2222,39330,41748,41233,44815,50748,35264,52093,66570,66907,66740,61644,70027,45035,65695,18226,703,735,1502,
预收账款(万元),1950,34,--,121,1,6,6,0,1501,49,3517,903,1497,948,55,474,2255,586,653,744,799,545,300,263,261,1683,
卖出回购金融资产款(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
应付手续费及佣金(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
应付职工薪酬(万元),2494,1731,2674,3010,2278,1583,2665,911,1013,1011,1086,991,1017,1061,998,976,1034,916,1043,807,145,740,765,689,95,601,
应交税费(万元),-15789,-15788,-8948,-9566,-10198,-14537,-12546,1352,-266,1381,-534,-617,1314,2221,1140,690,723,2975,1450,482,1439,4034,2276,604,886,1450,
应付利息(万元),2512,2773,2115,4515,2716,2545,792,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,7,0,
应付股利(万元),29893,39893,44705,7,7,17451,7,7,7,7,7,7,7,7,7,7,7,7,--,7,0,7,--,--,--,7,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
其他应付款(万元),7235,4862,28624,25081,27029,25080,27274,1287,9806,8724,9440,8454,7143,6033,4196,33062,32890,31987,33543,33717,34938,35890,34785,12755,2525,14921,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
预计流动负债(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
应付分保账款(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
保险合同准备金(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
代理买卖证券款(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
代理承销证券款(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
一年内到期的非流动负债(万元),55793,57043,87354,100646,101024,102024,76595,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
其他流动负债(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
流动负债合计(万元),193619,221919,289089,255815,241704,273479,215208,5779,149383,150912,152740,152544,144717,148526,161489,163240,163387,171782,167942,150783,127357,151912,96352,15015,4508,20165,
长期借款(万元),495267,519556,517328,506089,513603,537032,608266,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
应付债券(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
长期应付款(万元),60000,60000,60000,60000,60000,60000,60000,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
专项应付款(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,1,0,--,--,--,--,0,0,65,--,--,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,1350,1350,1350,1350,1350,1350,1350,1350,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),12341,15729,12934,12719,14874,4391,5110,--,--,--,--,0,0,0,89,89,89,89,27,27,56,56,5,5,1,1,
其他非流动负债(万元),430,430,430,430,430,430,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
非流动负债合计(万元),568038,595714,590692,579238,588907,601853,673376,0,0,0,0,0,0,0,91,89,89,89,1377,1377,1406,1406,1420,1355,1351,1351,
负债合计(万元),761658,817633,879781,835053,830611,875332,888585,5779,149383,150912,152740,152544,144717,148526,161580,163330,163476,171871,169319,152161,128763,153318,97772,16370,5859,21516,
实收资本(或股本)(万元),100915,100915,100915,50457,50457,50457,50457,15075,15075,15075,15075,15075,15075,15075,15075,15075,15075,15075,15075,15075,15075,15075,15075,15075,15075,15075,
