报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),32731,58157,47848,48073,38565,41442,54020,41210,41161,48282,45378,48651,50392,36465,134905,146249,143759,115959,115484,116345,133685,142213,143254,164434,137994,160417,158223,162192,168414,160406,159094,158451,150824,147567,137044,131734,128152,126957,119138,128718,129787,132735,116980,118084,111821,115435,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,837,831,823,994,1511,343,10630,242,192,327,11021,12947,6117,12046,11953,21684,20673,14450,14668,14998,11348,11089,10593,10393,10008,15110,13684,8330,8903,9378,9672,--,9845,10672,9908,8263,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
应收票据(万元),2262,2200,1871,1325,1118,1259,1153,759,563,950,1663,900,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,44,--,--,--,--,0,
应收账款(万元),40857,33206,43827,45554,47820,47055,52585,47518,39887,33745,31931,25540,16755,8956,6980,3897,2530,3986,1719,1923,2527,2172,2666,2553,2924,3706,3368,2614,2107,4676,4816,3729,4079,4277,4465,3315,1046,3151,2109,1467,1273,1932,2184,2049,2150,2948,
预付款项(万元),242,222,159,148,129,122,136,199,170,182,362,344,41,49,63,54,53,35,68,173,84,143,71,48,765,100,291,332,144,262,3918,839,178,40,1434,945,53,205,2735,1332,1952,1215,1460,1089,853,53,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
应收利息(万元),363,439,464,1045,694,694,485,485,502,481,614,986,1029,987,1101,1540,345,2835,1273,1631,400,614,651,369,341,371,--,--,--,--,--,0,--,0,--,0,12,0,11,112,99,42,27,--,29,0,
应收股利(万元),--,--,--,356,--,--,--,--,--,--,--,369,--,--,--,--,--,--,--,655,--,--,--,--,--,--,--,582,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
其他应收款(万元),62756,32858,35736,40666,43469,44317,44778,36890,43222,37602,8813,8518,8586,7027,7974,6833,10855,10705,7663,7672,7570,2096,2967,2500,12633,3094,637,425,287,1345,1375,1020,4927,570,6094,776,1769,574,4580,3517,4127,4118,807,860,4245,6445,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
存货(万元),223,292,213,247,201,208,178,161,157,219,174,186,189,222,198,179,193,204,222,225,255,252,1297,1228,317,626,264,288,247,500,231,358,238,253,211,186,167,201,243,615,168,421,148,151,133,138,
