报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2005-12-31,
货币资金(万元),2624653,2375251,2346157,2298339,2191936,1858595,1959655,2424046,2212262,2345857,2404767,1823927,1740485,1794502,1694148,1448380,1234730,896771,972529,967639,1088791,1039056,807452,948949,1001597,858152,721408,738913,334464,284764,388346,358810,306363,101079,93305,100457,33468,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,42,249,264,--,85,50,2565,1360,644,174,303,3612,9733,12027,2969,--,--,0,42,925,18,429,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,--,0,0,0,
应收票据(万元),2700,1312,2688,439,729,768,653,400,226,295,968,575,1697,1072,3799,50,--,--,--,--,--,0,499,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
应收账款(万元),7834,7574,8174,6831,10402,12620,12192,7686,7208,6807,7508,16210,10615,12504,10742,9156,9657,8888,8414,10260,9210,10953,7465,11896,9897,10111,7350,10718,5119,4359,6965,5650,2339,4117,4802,4001,6356,
预付款项(万元),136083,231925,268930,361919,265132,491021,273244,281597,3361,816,725,829,972,1225,564,760,499,11621,417,560,792,565,615,875,2238,2282,3725,2832,206,280,169,730,66,75,77,302,74,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
应收利息(万元),4197,1757,1660,--,0,11,--,10,--,23,--,27,--,--,--,--,--,--,--,--,--,0,--,0,157,850,--,--,--,0,--,--,0,0,0,0,0,
应收股利(万元),--,--,4020,6420,--,--,--,--,--,1552,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,18,
其他应收款(万元),1616843,1309421,1214783,894186,1045379,1062109,1292959,1368388,1204522,1173267,859844,818349,1020410,870811,776132,616501,474887,427661,407036,414471,163138,105030,175659,192651,53002,30555,68215,77851,89000,87570,80092,83689,87596,146678,68968,56219,17323,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
存货(万元),12018843,11270854,10780029,10101864,9434989,9123901,8443585,7847651,7715192,7209194,7255049,7363794,5831443,5268926,5166031,5144018,4697802,4447027,4077903,3869935,3546545,3385630,3170577,3046118,2612381,2591177,2535278,2386930,2155208,2025972,1790751,1716733,1123310,914668,893196,842483,543321,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,0,306,418,106,197,1255,1676,1956,185,191,140,44,97,152,94,88,174,3,3,3,3,3,4,--,0,--,--,0,0,1151,2055,0,
