报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),17508,24061,35190,31220,30601,24407,24965,31683,29528,31063,51441,30800,35707,28631,30266,42645,31364,31144,19292,31004,32639,26405,38831,53451,42974,57479,45679,38219,42402,17091,19064,14404,23492,41750,82544,99487,163026,150324,130444,106663,111323,66257,65569,67522,81112,56369,95515,114805,103625,94627,79545,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,135,135,135,135,0,0,--,135,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,--,0,
应收票据(万元),3445,4551,2802,5073,3329,5648,1780,3583,6264,5771,1491,3774,5064,5520,4701,9142,7738,7365,4567,5214,10799,7234,8125,4108,6120,7161,7447,4682,7496,25703,25563,17188,10366,22042,11329,6095,4927,4369,11246,6148,10439,8968,8516,6964,4460,6721,5958,4165,6068,6495,7854,
应收账款(万元),24138,23434,27494,26102,31142,28994,28038,23652,25511,26637,25559,23320,25369,20523,21776,21757,24953,23347,25501,25712,29526,31231,31190,30740,34443,27272,28866,22000,24533,20826,16421,23561,25866,30607,17581,19215,26377,22455,16563,23733,22343,14895,13329,20254,18653,23064,18514,23805,25704,25040,19946,
预付款项(万元),1393,1936,1580,1490,1426,966,1337,834,823,787,1089,2873,1723,1824,931,5468,3491,3136,2318,2529,3427,5287,3274,5803,6010,6292,4995,16179,13369,7657,8418,9407,8623,9193,10365,16726,18010,15493,13671,19864,24770,19627,15341,15694,10157,13400,11047,9472,7135,4652,1639,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,--,0,0,--,0,
