报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),86912,87603,99889,110605,97177,96127,117059,118045,113840,116275,132101,148997,130974,132700,148310,157597,136562,137756,155715,23288,8169,19964,19363,3872,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
应收票据(万元),25,10,--,25,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
应收账款(万元),38862,27750,27634,21688,31728,28411,32088,32221,33626,23083,21829,15949,27433,19887,20506,14732,28852,24860,18766,12307,21950,6761,6330,4039,
预付款项(万元),2217,1926,2936,902,2381,1469,1158,671,1166,1258,676,573,4282,3751,2546,1833,2988,2709,1671,919,961,1781,779,1569,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
应收利息(万元),1190,854,1354,946,797,797,1708,1180,1443,613,2393,1847,4084,3269,2959,2139,1648,618,--,0,0,--,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
其他应收款(万元),1044,2615,2161,1529,1059,1262,1014,827,1197,849,1515,918,658,529,774,775,667,805,1140,907,681,707,1041,252,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
存货(万元),26708,29473,25418,22313,19172,20371,15981,13733,11797,13440,12375,10806,10964,11346,11843,10606,8645,8938,9030,7651,6182,6562,8080,6020,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
其他流动资产(万元),1117,2143,1828,2130,1537,1377,1181,11153,507,322,517,734,129,8,7,--,31,38,--,0,0,--,0,0,
流动资产合计(万元),158073,152374,161219,160138,153877,149814,170190,177831,163577,155839,171406,179823,178523,171491,186944,187681,179393,175725,186322,45072,37943,35775,35593,15752,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
可供出售金融资产(万元),--,1,1,1,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
长期股权投资(万元),1,--,--,--,1,1,1,1,1,1,1,--,--,--,--,--,--,--,--,0,0,--,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
固定资产原值(万元),--,74170,--,73024,--,59886,--,48943,--,39358,--,35607,--,35805,--,33315,--,31630,--,31004,26078,24010,0,0,
累计折旧(万元),--,21584,--,19058,--,16872,--,15022,--,13312,--,11911,--,11421,--,10094,--,9532,--,8334,7763,6179,0,0,
固定资产净值(万元),--,52586,--,53966,--,43014,--,33921,--,26046,--,23696,--,24384,--,23221,--,22098,--,22671,18315,17831,0,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
固定资产(万元),53904,52586,52711,53966,43164,43014,41857,33921,28033,26046,26299,23696,24297,24384,22794,23221,21782,22098,22474,22671,18315,17831,14483,13925,
在建工程(万元),3616,3448,2643,2223,7850,5780,4971,9132,10079,11172,9018,5897,2490,1843,2378,1935,1552,1303,765,658,4383,1884,2106,451,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,2,--,--,--,--,--,0,0,--,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,0,0,0,0,0,--,0,0,
生产性生物资产(万元),1225,1233,1375,1424,518,483,421,359,366,361,367,351,344,347,353,351,363,342,338,366,373,392,596,627,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
无形资产(万元),8164,8332,7473,7611,8050,7888,7957,7786,7078,7149,7292,5924,5759,5261,5343,4382,4437,4492,4547,4603,4634,4823,3513,3507,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
商誉(万元),12201,12201,12201,12201,12201,12201,12201,12201,12168,12168,12168,--,--,--,--,--,--,--,--,0,0,--,0,0,
长期待摊费用(万元),637,70,76,76,78,79,80,86,84,86,16,24,--,--,--,--,--,--,--,0,0,--,84,119,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
递延所得税资产(万元),990,934,985,872,746,686,705,637,658,553,391,297,263,196,205,162,295,259,142,152,260,123,334,70,
其他非流动资产(万元),2761,2955,3712,1244,4219,2022,2481,2268,4272,3281,2657,1844,--,--,--,--,--,--,--,0,0,--,0,0,
非流动资产合计(万元),83498,81760,81178,79618,76827,72154,70673,66391,62740,60815,58210,38033,33153,32033,31073,30050,28428,28494,28266,28450,27965,25054,21117,18699,
资产总计(万元),241572,234134,242396,239756,230704,221968,240863,244221,226316,216655,229616,217856,211676,203523,218017,217732,207821,204219,214588,73521,65908,60829,56710,34451,
