报告日期,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),85770,79569,69186,71906,60833,74246,62115,73347,76315,72516,107655,101285,97477,
结算备付金(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
拆出资金(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
交易性金融资产(万元),2972,5419,4513,5432,4820,2749,2914,3157,2229,2275,2131,1097,64,
衍生金融资产(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
应收票据(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
应收账款(万元),2142,2549,3711,3747,3937,3999,4051,3748,4593,3704,3243,2573,2738,
预付款项(万元),452,1132,803,779,778,5637,5649,5319,5346,6272,7291,6240,6179,
应收保费(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
应收分保账款(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
应收分保合同准备金(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
应收利息(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
应收股利(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
其他应收款(万元),3664,11914,7467,10049,12016,16377,31839,19920,15062,36012,20455,23571,23910,
应收出口退税(万元), 0,0,0,0,--,--,--,0,0,--,0,--,0,
应收补贴款(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
应收保证金(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
内部应收款(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
买入返售金融资产(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
存货(万元),485,727,676,1211,1186,2192,1256,1390,1305,2711,2310,2113,2175,
待摊费用(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
待处理流动资产损益(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
一年内到期的非流动资产(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
其他流动资产(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
流动资产合计(万元),95485,101310,86356,93124,83570,105200,107823,106881,104850,123490,143085,136879,132543,
发放贷款及垫款(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
可供出售金融资产(万元),0,0,0,0,0,--,--,0,0,--,0,--,0,
持有至到期投资(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
长期应收款(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
长期股权投资(万元),72748,73120,72699,72217,72217,63741,63741,63741,63741,64397,64397,64397,75753,
其他长期投资(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
投资性房地产(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
固定资产原值(万元),481041,0,404466,--,402193,--,419784,--,419438,--,417145,--,413554,
累计折旧(万元),109796,0,105600,--,101961,--,107111,--,103506,--,99627,--,95964,
固定资产净值(万元),371244,0,298867,--,300232,--,312673,--,315932,--,317517,--,317590,
固定资产减值准备(万元),207,0,202,--,202,--,0,--,0,--,0,--,0,
固定资产(万元),371037,296398,298664,298234,300030,310683,312673,314534,315932,315550,317517,316014,317590,
在建工程(万元),0,55798,55740,44385,44384,377,377,379,397,137,100,98,76,
工程物资(万元),0,0,0,0,--,--,--,0,0,--,0,--,0,
固定资产清理(万元),32,0,0,0,--,6,6,6,6,--,0,--,0,
