报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2010-12-31,2009-12-31,
货币资金(万元),2573,4303,4044,3953,904,4866,3726,3696,3471,3324,4481,7394,7830,4136,7538,141,139,136,618,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
应收票据(万元),--,--,10,--,--,22,104,11,--,5,--,--,--,--,--,--,--,0,250,
应收账款(万元),5409,5929,5182,5302,--,6501,7854,5247,5945,5434,6082,5339,3709,4771,6156,587,579,622,7669,
预付款项(万元),87,16,89,333,273,132,30,76,182,138,113,395,179,1166,9,806,753,975,5227,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
其他应收款(万元),733,--,844,1001,1097,2112,499,692,691,1686,832,6097,367,337,279,1762,1831,2102,10401,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
存货(万元),16164,15629,16378,12675,13692,10762,10148,11335,10761,9748,7587,5399,6475,5333,4703,2764,2796,3145,12097,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,16,16,16,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
