报告日期,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),176668,170831,178256,76344,74740,67625,61346,55763,46056,46674,42716,52541,
结算备付金(万元),--,0,--,--,--,--,--,--,--,--,0,0,
拆出资金(万元),--,0,--,--,--,--,--,--,--,--,0,0,
交易性金融资产(万元),16,0,--,--,76,88,74,--,300,--,6,0,
衍生金融资产(万元),--,0,--,--,--,--,--,--,--,--,--,0,
应收票据(万元),3730,3145,4171,4421,1540,2348,2350,2367,842,1073,1004,881,
应收账款(万元),64970,58562,56139,45765,56123,53998,53736,45592,52888,50529,50143,42695,
预付款项(万元),4912,4036,3390,3226,3506,3172,4095,3809,4703,5806,4078,5081,
应收保费(万元),--,0,--,--,--,--,--,--,--,--,0,0,
应收分保账款(万元),--,0,--,--,--,--,--,--,--,--,0,0,
应收分保合同准备金(万元),--,0,--,--,--,--,--,--,--,--,0,0,
应收利息(万元),32,93,8,43,8,5,--,12,--,--,0,0,
应收股利(万元),--,0,--,--,1582,2023,--,--,1094,1378,0,0,
其他应收款(万元),4536,5242,3385,3603,4128,4279,4866,4118,9801,10710,8846,6634,
应收出口退税(万元), --,0,--,--,--,--,--,--,--,--,0,0,
应收补贴款(万元),--,0,--,--,--,--,--,--,--,--,0,0,
应收保证金(万元),--,0,--,--,--,--,--,--,--,--,--,0,
内部应收款(万元),--,0,--,--,--,--,--,--,--,--,--,0,
买入返售金融资产(万元),--,0,--,--,--,--,--,--,--,--,0,0,
存货(万元),39989,42648,42203,43429,43271,41924,41468,41774,41838,40168,37680,38979,
待摊费用(万元),--,0,--,--,--,--,--,--,--,--,0,0,
待处理流动资产损益(万元),--,0,--,--,--,--,--,--,--,--,--,0,
一年内到期的非流动资产(万元),--,0,--,--,--,--,--,--,--,--,0,0,
其他流动资产(万元),--,0,--,--,--,--,--,--,--,--,659,0,
流动资产合计(万元),294854,284557,287552,176830,184974,175461,167934,153434,157522,156337,145132,146811,
发放贷款及垫款(万元),--,0,--,--,--,--,--,--,--,--,0,0,
可供出售金融资产(万元),798,741,666,701,715,809,804,2201,2074,1879,0,2265,
持有至到期投资(万元),--,0,--,--,--,--,--,--,--,--,0,0,
长期应收款(万元),3196,3196,3196,3196,3416,3416,3416,3416,3638,3638,3638,3638,
长期股权投资(万元),16308,15585,15765,64844,63109,62585,61970,59913,58477,56869,57355,54969,
其他长期投资(万元),--,0,--,--,--,--,--,--,--,--,--,0,
投资性房地产(万元),1651,1670,1689,1626,396,1471,1281,1430,1689,2408,2442,3664,
固定资产原值(万元),--,100738,--,98274,--,91146,--,90822,--,87884,--,85641,
累计折旧(万元),--,34810,--,32586,--,32646,--,30349,--,29397,--,26936,
固定资产净值(万元),--,65928,--,65688,--,58500,--,60473,--,58487,--,58704,
固定资产减值准备(万元),--,928,--,928,--,965,--,965,--,184,--,184,
固定资产(万元),65190,65000,63937,64760,57584,57535,58522,59508,58101,58302,59067,58520,
在建工程(万元),3400,2638,2955,1591,9945,8055,7276,6411,7328,5734,4607,4227,
工程物资(万元),35,0,--,--,22,25,25,28,29,53,54,27,
固定资产清理(万元),--,0,--,--,--,--,--,--,--,--,0,0,
生产性生物资产(万元),--,0,--,--,--,--,--,--,--,--,0,0,
公益性生物资产(万元),--,0,--,--,--,--,--,--,--,--,--,0,
油气资产(万元),--,0,--,--,--,--,--,--,--,--,0,0,
无形资产(万元),10124,9623,9845,9962,10424,10549,10673,10781,10325,10444,10595,10691,
开发支出(万元),--,0,--,--,--,--,--,--,--,--,0,0,
商誉(万元),11559,11559,11559,11559,11559,11559,11559,11559,11852,11852,11301,11024,
长期待摊费用(万元),826,1033,1128,748,656,748,1046,1140,1075,1151,772,1214,
股权分置流通权(万元),--,0,--,--,--,--,--,--,--,--,--,0,
递延所得税资产(万元),444,1037,438,487,386,401,466,346,1302,1320,1273,203,
其他非流动资产(万元),5669,7884,7971,8058,8145,8231,8318,8405,8492,8754,8665,8914,
非流动资产合计(万元),119200,119965,119149,167534,166356,165383,165355,165137,164381,162404,159770,159356,
资产总计(万元),414054,404522,406701,344363,351330,340844,333289,318571,321903,318742,304901,306167,
短期借款(万元),11200,10250,17950,18150,20450,20597,19800,19153,15150,16550,15250,18555,
向中央银行借款(万元),--,0,--,--,--,--,--,--,--,--,0,0,
吸收存款及同业存放(万元),--,0,--,--,--,--,--,--,--,--,0,0,
拆入资金(万元),--,0,--,--,--,--,--,--,--,--,0,0,
交易性金融负债(万元),--,0,0,0,--,--,--,--,--,--,0,0,
衍生金融负债(万元),--,0,--,--,--,--,--,--,--,--,--,0,
