报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,
货币资金(万元),5624,3578,3269,3486,6795,2912,2708,3867,3701,4429,4977,3052,3052,6578,11461,10,0,0,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,33,100,100,--,--,--,
应收票据(万元),40,--,79,--,--,105,117,153,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),876,--,890,--,--,794,1033,655,460,424,1038,626,642,1031,590,--,--,--,
预付款项(万元),723,465,250,978,717,551,274,171,2123,7398,4656,3062,5634,3050,2319,--,--,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,--,7801,6125,7564,5895,4781,652,1321,1437,1057,1778,4520,3341,3909,1,43,222,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),2371,3942,5671,3991,3739,6558,7469,6752,2015,5381,8037,9995,3047,5148,7509,--,--,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),742,722,1508,863,758,659,2462,4925,7150,130,1307,3458,253,2057,4763,--,--,--,
流动资产合计(万元),23795,16388,19468,16451,20121,17473,18844,17176,16770,19199,21074,21972,17181,21306,30651,10,43,222,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,35,35,35,35,35,35,35,35,35,35,35,35,35,35,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,2675,2675,2675,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
累计折旧(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产净值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,--,4665,3538,3523,3901,4013,4199,4518,4691,5005,5162,5311,5464,5602,0,--,0,
在建工程(万元),--,--,113,436,223,92,30,100,63,2,1,26,22,16,16,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),7114,7116,7081,7052,7140,6933,7062,6889,6872,6879,6828,6904,6952,7015,6959,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),807,812,818,696,702,728,734,408,434,438,442,441,455,459,463,--,--,--,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),17,16,17,17,17,32,19,56,62,24,29,94,92,41,41,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),121,115,116,78,78,60,61,20,20,15,18,23,32,62,62,--,--,--,
其他非流动资产(万元),--,--,15,--,--,--,--,--,2,3,--,--,--,--,--,--,--,--,
非流动资产合计(万元),13120,13080,12861,11852,11719,11781,11955,11707,12006,12087,12359,15361,15575,15767,13179,0,0,0,
资产总计(万元),36915,29468,32329,28303,31840,29254,30799,28883,28776,31286,33432,37332,32757,37072,43830,10,43,222,
短期借款(万元),10943,10027,9163,9468,9000,9024,8391,6500,6500,9000,7500,9000,1500,3000,6500,13735,13735,13735,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),6098,--,2185,--,--,199,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),963,--,1794,--,--,422,1367,1001,123,461,421,1420,1084,1519,1078,--,--,--,
预收账款(万元),92,22,123,472,106,130,359,1085,882,27,550,1283,993,841,237,--,--,--,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),43,40,92,51,53,60,65,58,43,56,71,221,91,67,952,117,21,21,
应交税费(万元),842,1510,1552,1521,1522,2152,2170,2193,2327,2561,2742,2,56,19,16,1225,1225,1225,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,36331,9435,9435,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,--,1763,1549,691,798,950,1016,1474,912,1215,14698,21216,2400,5010,4004,650,818,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
