报告日期,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),172056,143710,160889,184772,
结算备付金(万元),--,--,--,0,
拆出资金(万元),--,--,--,0,
交易性金融资产(万元),--,--,--,0,
衍生金融资产(万元),--,--,--,0,
应收票据(万元),101415,55527,23828,37753,
应收账款(万元),379341,354958,299686,257251,
预付款项(万元),112709,106586,157957,137709,
应收保费(万元),--,--,--,0,
应收分保账款(万元),--,--,--,0,
应收分保合同准备金(万元),--,--,--,0,
应收利息(万元),--,--,--,0,
应收股利(万元),--,--,--,0,
其他应收款(万元),6995,7458,8388,6719,
应收出口退税(万元), --,--,--,0,
应收补贴款(万元),--,--,--,0,
应收保证金(万元),--,--,--,0,
内部应收款(万元),--,--,--,0,
买入返售金融资产(万元),--,--,--,0,
存货(万元),179671,188613,179688,203311,
待摊费用(万元),--,--,--,0,
待处理流动资产损益(万元),--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,0,
其他流动资产(万元),--,--,17,26,
流动资产合计(万元),952188,856852,830453,827541,
发放贷款及垫款(万元),--,--,--,0,
可供出售金融资产(万元),--,--,--,0,
持有至到期投资(万元),--,--,--,0,
长期应收款(万元),--,--,--,0,
长期股权投资(万元),30470,13674,13546,12942,
其他长期投资(万元),--,--,--,0,
投资性房地产(万元),1090,1102,1115,1128,
固定资产原值(万元),--,90570,--,0,
累计折旧(万元),--,40926,--,0,
固定资产净值(万元),--,49644,--,0,
固定资产减值准备(万元),--,152,--,0,
固定资产(万元),49278,49492,49214,49419,
在建工程(万元),4516,2798,1117,1249,
工程物资(万元),13,222,46,46,
固定资产清理(万元),6,4,--,4,
生产性生物资产(万元),--,--,--,0,
公益性生物资产(万元),--,--,--,0,
油气资产(万元),--,--,--,0,
无形资产(万元),8779,8259,8420,8583,
开发支出(万元),--,--,--,0,
商誉(万元),--,--,--,0,
长期待摊费用(万元),44,269,606,618,
股权分置流通权(万元),--,--,--,0,
递延所得税资产(万元),15132,15432,13872,13480,
其他非流动资产(万元),--,--,--,0,
非流动资产合计(万元),109327,91254,87936,87469,
资产总计(万元),1061514,948106,918389,915010,
短期借款(万元),86094,44642,21168,21168,
向中央银行借款(万元),--,--,--,0,
吸收存款及同业存放(万元),--,--,--,0,
拆入资金(万元),--,--,--,0,
交易性金融负债(万元),--,--,--,0,
衍生金融负债(万元),--,--,--,0,
应付票据(万元),106592,97312,64969,78640,
应付账款(万元),155108,153370,162379,117105,
预收账款(万元),393582,344524,349381,401356,
卖出回购金融资产款(万元),--,--,--,0,
应付手续费及佣金(万元),--,--,--,0,
应付职工薪酬(万元),15621,16300,16925,16572,
应交税费(万元),11069,8056,33904,25461,
应付利息(万元),--,--,--,0,
应付股利(万元),0,5463,--,0,
其他应交款(万元),--,--,--,0,
应付保证金(万元),--,--,--,0,
内部应付款(万元),--,--,--,0,
其他应付款(万元),2400,3049,2726,4828,
预提费用(万元),--,--,--,0,
预计流动负债(万元),--,--,--,0,
应付分保账款(万元),--,--,--,0,
保险合同准备金(万元),--,--,--,0,
代理买卖证券款(万元),--,--,--,0,
代理承销证券款(万元),--,--,--,0,
国际票证结算(万元),--,--,--,0,
国内票证结算(万元),--,--,--,0,
递延收益(万元),--,--,--,0,
应付短期债券(万元),--,--,--,0,
一年内到期的非流动负债(万元),--,--,--,0,
其他流动负债(万元),--,--,244,244,
流动负债合计(万元),770467,672716,651695,665374,
长期借款(万元),--,--,--,0,
应付债券(万元),--,--,--,0,
长期应付款(万元),--,--,--,0,
专项应付款(万元),--,--,14324,14324,
预计非流动负债(万元),11605,11092,7709,6985,
长期递延收益(万元),--,--,--,--,
递延所得税负债(万元),--,--,--,0,
其他非流动负债(万元),14355,14324,--,0,
非流动负债合计(万元),25960,25416,22034,21310,
负债合计(万元),796427,698132,673728,686684,
实收资本(或股本)(万元),40142,40142,40142,40142,
资本公积(万元),39778,39778,39778,39778,
减:库存股(万元),--,--,--,0,
专项储备(万元),--,--,--,--,
盈余公积(万元),40705,40705,40705,40705,
一般风险准备(万元),--,--,--,0,
未确定的投资损失(万元),--,--,--,0,
未分配利润(万元),137992,123250,117622,101800,
拟分配现金股利(万元),--,--,--,0,
外币报表折算差额(万元),--,--,--,0,
归属于母公司股东权益合计(万元),258617,243875,238247,222425,
少数股东权益(万元),6470,6098,6414,5901,
所有者权益(或股东权益)合计(万元),265087,249974,244661,228326,
负债和所有者权益(或股东权益)总计(万元),1061514,948106,918389,915010,		
  
