报告日期,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2009-03-31,2008-12-31,2007-12-31,
货币资金(万元),1747795,3058420,1400728,1597818,1104279,933205,535214,723302,777566,902511,537867,790420,1283767,603781,566308,503814,868594,525288,611442,753844,584098,1136301,291098,199715,252691,356894,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
交易性金融资产(万元),558,438,395,366,371,491,1089,1228,1901,1965,2031,2486,3092,3092,2833,3550,5305,3999,231,--,--,--,--,0,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
应收票据(万元),218296,227581,134096,126513,146202,153430,142838,136310,111896,88802,86499,93783,83383,83931,50155,29813,62063,60280,64786,44421,33139,46990,40511,36088,54928,46092,
应收账款(万元),2601294,2568999,3842142,3806833,3231436,3038497,3248947,2569429,2488120,2182990,3053894,2660019,1722493,1592856,2449544,1742669,1848166,1027426,1181276,1406411,1410429,1176459,775319,654209,698094,780551,
预付款项(万元),495998,595211,594123,645433,655621,481663,622098,546825,595182,541286,746983,692513,844002,758229,902840,881635,1091706,960932,1284144,942010,1017373,664782,517649,482027,418786,379378,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
应收利息(万元),4537,5184,6276,4196,2361,1624,1396,1076,1460,174,71,51,94,162,63,110,112,36,--,--,--,--,--,0,--,0,
应收股利(万元),1189,1189,193,5347,4069,2069,4040,4040,2420,2420,7095,6890,7626,6227,352,5377,--,202,5499,5460,235,234,3486,291,235,506,
其他应收款(万元),130537,95777,172342,140440,142092,144425,119115,117576,88704,92166,87980,108800,82001,67408,73168,92324,72986,66040,45089,56804,38843,35142,46260,110351,51371,89589,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
存货(万元),3493413,2900357,3460753,2914725,2371974,1864016,2600243,2572577,2464160,2464622,2948395,3006952,3290977,3105441,3533210,3588256,3196144,2416148,2014352,1689562,1538239,1293450,1078376,1018923,934594,704317,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
