报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),107989,98950,97473,63773,77890,68261,52817,73465,92824,85538,57598,49643,58713,62915,50151,62628,81885,81470,101526,89245,121651,79539,82849,75185,126318,69943,76283,47068,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,3884,3988,3805,3713,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
应收票据(万元),500,13450,450,400,380,480,1069,1301,1067,875,868,850,520,176,106,487,613,454,0,--,130,100,--,--,--,--,--,--,
应收账款(万元),63970,67569,58549,93815,82329,68181,68913,61254,60235,60594,67800,63899,59743,40589,49977,51143,56048,44502,35886,53363,45121,38778,42175,47362,13721,31647,41672,49007,
预付款项(万元),7725,6487,1440,1188,14288,6302,49626,22949,14184,11059,4414,3382,3704,3042,1093,854,2712,1790,884,9711,5971,5995,5840,6087,18700,7818,17638,6134,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
应收股利(万元),642,8953,3845,26470,20,20,20,20,20,20,20,20,20,20,20,20,--,0,0,--,--,0,--,--,--,--,--,--,
其他应收款(万元),2178,2230,2043,2350,19557,17403,5720,5162,6256,3141,3079,1524,2576,1876,1654,1585,1847,1792,3098,2127,1886,1942,1182,998,1252,5103,5233,4642,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
存货(万元),23656,22709,20729,23589,25204,26973,22839,29885,24146,23662,17378,19682,19557,22472,19174,15220,21725,24802,26628,29292,32016,25034,26386,17071,18523,20821,23853,18716,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
其他流动资产(万元),--,191,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,378,0,--,--,0,--,--,--,--,--,146,
流动资产合计(万元),206660,220539,184528,211586,219667,187620,201003,194036,198733,184891,151156,139001,144833,131091,122175,131937,164830,155188,168022,183737,206774,155271,162419,150508,182227,135332,164679,125714,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
可供出售金融资产(万元),284902,294411,346332,348650,273510,293485,304618,304220,299517,337324,374254,344840,338197,280802,354522,380684,324429,359679,243638,172781,220123,298987,442404,648468,--,--,--,85341,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,0,--,--,--,--,--,--,
