报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,
营业总收入(万元),29988,27604,17474,94229,56214,48112,28043,81559,38165,29378,23410,12362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
营业收入(万元),29988,27604,17474,94229,56214,48112,28043,81559,38165,29378,23410,12362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
营业总成本(万元),29657,27108,16948,90019,54601,46250,27003,74290,36194,27643,21985,11627,2702,2692,10,4677,2823,2776,55,5554,2827,2770,49,5547,2829,2775,47,5542,2824,2765,49,5533,2808,2769,54,5543,2834,2774,62,
营业成本(万元),27815,25807,16285,87108,52231,44705,26132,70580,33760,25977,20961,11225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
营业税金及附加(万元),54,43,22,184,60,40,26,218,198,164,105,60,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
销售费用(万元),761,552,253,988,714,477,258,1429,1042,696,311,108,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
管理费用(万元),911,613,325,1452,1588,1085,540,1821,1465,1120,570,172,40,29,10,176,160,113,55,228,164,107,49,221,166,112,47,217,161,102,49,207,145,106,54,217,171,111,62,
财务费用(万元),115,93,62,237,177,112,47,228,162,82,38,58,2663,2663,--,4502,2663,2663,--,5326,2663,2663,--,5326,2663,2663,0,5326,2663,2663,0,5326,2663,2663,0,5326,2663,2663,0,
资产减值损失(万元),--,--,--,50,-169,-169,--,15,-433,-396,--,6,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,29,21,18,-9,17,--,--,--,9,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
营业利润(万元),331,496,526,4252,1634,1880,1031,7286,1971,1735,1425,743,-2702,-2692,-10,-4677,-2823,-2776,-55,-5554,-2827,-2770,-49,-5547,-2829,-2775,-47,-5542,-2824,-2765,-49,-5533,-2808,-2769,-54,-5543,-2834,-2774,-62,
营业外收入(万元),17,6,2,3,4,1,0,152,5,4,3,174749,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
营业外支出(万元),47,45,16,41,91,2,1,18,32,30,38,0,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,0,--,
非流动资产处置损失(万元),--,--,--,--,3,--,--,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
利润总额(万元),301,457,512,4214,1548,1880,1031,7420,1944,1709,1391,175492,-2702,-2692,-10,-4677,-2823,-2776,-55,-5554,-2827,-2770,-49,-5547,-2829,-2775,-47,-5542,-2824,-2765,-49,-5533,-2808,-2769,-54,-5543,-2834,-2774,-62,
所得税费用(万元),6,6,--,1224,372,277,177,1258,47,36,411,197,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,
净利润(万元),295,451,512,2989,1176,1602,853,6162,1897,1673,979,175295,-2702,-2692,-10,-4677,-2823,-2776,-55,-5554,-2827,-2770,-49,-5547,-2829,-2775,-47,-5542,-2824,-2765,-49,-5533,-2808,-2769,-54,-5543,-2834,-2774,-62,
归属于母公司所有者的净利润(万元),295,451,512,2989,1176,1602,853,6162,1897,1673,979,175295,-2702,-2692,-10,-4677,-2823,-2776,-55,-5554,-2827,-2770,-49,-5547,-2829,-2775,-47,-5542,-2824,-2765,-49,-5533,-2808,-2769,-54,-5543,-2834,-2774,-62,
