报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2011-12-31,2010-12-31,
营业总收入(万元),0,0,0,0,0,0,0,0,0,0,58,58,58,0,184,--,--,
营业收入(万元),0,0,0,0,-5,0,0,0,0,0,58,58,58,0,184,0,0,
利息收入(万元),--,--,--,--,5,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),221,112,520,381,158,39,437,300,246,99,1552,453,375,241,28,--,--,
营业成本(万元),--,--,--,--,0,0,0,0,0,--,9,9,9,28,43,0,0,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),0,--,--,--,--,--,--,--,--,--,0,0,0,--,1,--,--,
销售费用(万元),--,--,--,--,--,--,--,--,--,--,31,31,31,16,11,--,--,
管理费用(万元),226,114,529,386,163,39,441,302,248,99,1528,427,349,197,22,492,490,
财务费用(万元),-5,-2,-9,-5,-5,0,-4,-2,-2,0,-4,-2,-2,0,0,3273,3373,
资产减值损失(万元),--,--,--,--,--,--,--,--,--,--,-12,-12,-12,--,-50,--,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-221,-112,-520,-381,-158,-39,-437,-300,-246,-99,-1493,-394,-316,-241,157,-3766,-3862,
营业外收入(万元),--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,
营业外支出(万元),4,4,0,0,0,--,--,--,--,--,--,--,--,--,0,--,--,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),-226,-116,-520,-381,-158,-39,-437,-300,-246,-99,-1493,-394,-316,-241,157,-3766,-3862,
所得税费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-226,-116,-520,-381,-158,-39,-437,-300,-246,-99,-1493,-394,-316,-241,157,-3766,-3862,
归属于母公司所有者的净利润(万元),-226,-116,-520,-381,-158,-39,-437,-300,-246,-99,-1493,-394,-316,-241,157,-3766,-3862,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,-0.01,-0.01,-0.03,-0.02,-0.01,-0,-0.02,-0.02,-0.01,-0.01,-0.08,-0.02,-0.02,-0.01,0.01,--,--,
稀释每股收益,-0.01,-0.01,-0.03,-0.02,-0.01,-0,-0.02,-0.02,-0.01,-0.01,-0.08,-0.02,-0.02,--,0.01,--,--,
