报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,
营业总收入(万元),61,0,279,166,43,0,1359,1359,2128,1138,500,34,83,0,0,0,0,0,0,0,--,
营业收入(万元),61,0,279,166,43,0,1359,1359,2128,1138,500,34,83,0,0,0,0,0,0,0,--,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),70,29,261,179,150,40,1176,1132,939,898,163,34,36,253,402,166,472,229,7140,2622,392,
营业成本(万元),--,--,130,73,61,--,1023,1023,840,67,158,29,38,0,0,0,0,0,0,0,--,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),0,--,2,1,--,--,5,5,12,7,2,0,0,--,--,--,--,--,--,--,--,
销售费用(万元),0,--,0,--,--,--,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
管理费用(万元),70,29,129,105,88,40,146,104,89,76,22,10,6,100,160,79,147,73,60,27,156,
财务费用(万元),-0,-0,-0,-0,-0,-0,-1,-0,-2,747,-4,-1,16,162,324,162,324,162,324,162,324,
资产减值损失(万元),--,--,--,--,--,--,--,--,--,--,-15,-4,-24,-9,-82,-75,1,-6,6756,2433,-88,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,11,11,11,11,50,50,--,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-9,-29,29,-2,-96,-29,233,276,1189,240,336,-0,46,-253,-402,-166,-472,-229,-7140,-2622,-392,
营业外收入(万元),--,--,19,--,--,--,52,52,0,--,79317,--,196,--,--,--,--,--,33,--,--,
营业外支出(万元),--,--,--,--,--,--,--,--,--,--,117,117,87,651,1292,651,1302,651,1302,660,1319,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),-9,-29,48,-2,-96,-29,285,329,1189,240,79536,-117,155,-904,-1694,-817,-1774,-880,-8409,-3282,-1711,
所得税费用(万元),--,--,9,6,--,1,78,85,296,60,97,--,9,--,--,--,--,--,--,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-9,-29,39,-8,-96,-29,207,244,893,180,79439,-117,146,-904,-1694,-817,-1774,-880,-8409,-3282,-1711,
归属于母公司所有者的净利润(万元),-9,-29,39,-8,-96,-29,207,244,864,151,79343,-115,134,-904,-1694,-817,-1774,-880,-8409,-3282,-1711,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,29,29,96,-2,12,--,--,--,--,--,--,--,--,
基本每股收益,-0,-0,0,-0,-0,-0,0.01,0.01,0.03,0.01,2.78,-0,0,-0.02,-0.04,-0.02,-0.05,-0.02,-0.22,-0.09,-0.04,
稀释每股收益,-0,-0,0,-0,-0,-0,0.01,0.01,0.03,0.01,2.78,-0,0,-0.02,-0.04,-0.02,-0.05,-0.02,-0.22,-0.09,-0.04,
