报告日期,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),4628725,2191411,6807120,5383311,3899002,1774473,9310806,8187789,6203696,3048076,7455889,5715979,3902524,1554127,4727825,3565677,2490078,882410,4531346,3734189,2748008,1233434,3329655,2691614,1905078,706368,2117051,1695801,1249157,529380,
营业收入(万元),4628725,2191411,6807120,5383311,3899002,1774473,9310806,8187789,6203696,3048076,7455889,5715979,3902524,1554127,4727825,3565677,2490078,882410,4531346,3734189,2748008,1233434,3329655,2691614,1905078,706368,2117051,1695801,1249157,529380,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
营业总成本(万元),4310126,2051511,6359975,4991259,3619664,1651816,8884652,7833660,5947028,2980469,7225455,5519656,3720104,1523801,4481775,3342684,2325285,853924,4360315,3538735,2595113,1184403,3171439,2553017,1799924,677645,2034437,1631405,1201136,518157,
营业成本(万元),3588582,1696469,5254131,4198746,3072882,1412011,7561878,6731789,5150161,2598727,6211420,4796729,3229398,1315510,3697522,2772706,1927920,702607,3663154,3014229,2214731,1002173,2709648,2194253,1551745,575404,1742299,1392312,1037794,438817,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
