报告日期,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2018-03-31,2017-12-31,
营业总收入(万元),406,323,6168,9823,4911,20436,
营业收入(万元),406,323,6168,9823,4911,20436,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),1485,783,9851,9398,4869,21951,
营业成本(万元),271,184,4902,6945,3865,14446,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),403,224,803,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),28,15,295,270,138,279,
销售费用(万元),302,152,913,542,224,1018,
管理费用(万元),810,206,2010,1302,587,6015,
财务费用(万元),48,2,223,50,55,161,
资产减值损失(万元),-378,--,704,289,--,33,
公允价值变动收益(万元),--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),-1020,-445,-3511,484,99,-1398,
营业外收入(万元),70,--,0,28,--,96511,
营业外支出(万元),54,--,32,1,1,70585,
非流动资产处置损失(万元),--,--,--,--,--,--,
利润总额(万元),-1005,-445,-3543,510,98,24529,
所得税费用(万元),42,--,-87,41,18,267,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),-1047,-445,-3457,470,80,24261,
归属于母公司所有者的净利润(万元),-1047,-445,-3457,470,80,24261,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,
基本每股收益,-0.01,-0.01,-0.04,0.01,0,0.28,
稀释每股收益,-0.01,--,-0.04,0.01,--,0.28,
