报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2010-03-31,2009-12-31,2009-06-30,
营业总收入(万元),94,8063,7508,7000,3793,20014,13376,11999,9611,8153,1273,295,160,3510,0,0,0,405,0,0,0,805,102,102,649,103,--,200,0,50,0,0,--,0,0,
营业收入(万元),94,8063,7508,7000,3793,20014,13376,11999,9611,8153,1273,295,160,3510,0,0,0,405,0,0,0,102,102,102,649,103,33,200,0,0,0,0,0,0,0,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,703,--,--,--,--,--,--,--,50,0,--,--,--,--,
营业总成本(万元),110,7356,7252,6868,3710,18743,12993,11855,9506,4845,643,395,128,551,114,98,46,226,171,115,56,715,445,311,480,121,--,196,94,45,237,103,50,209,114,
营业成本(万元),34,6803,6730,6688,3633,17568,12413,11463,9373,4016,86,68,6,6,0,0,0,0,0,0,0,83,83,83,116,30,--,0,0,0,0,0,--,0,0,
利息支出(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
手续费及佣金支出(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
研发费用(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
