报告日期,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),113542,479158,356249,237883,123831,508217,403300,45502,20384,159692,102879,54307,19171,47864,15645,6989,2861,182136,141897,82148,36732,95326,28774,8172,4225,24805,17767,12946,5791,
营业收入(万元),113542,479158,356249,237883,123831,508217,403300,45502,20384,159692,102879,54307,19171,47864,15645,6989,2861,182136,141897,82148,36732,95326,28774,8172,4225,24805,17767,12946,5791,
利息收入(万元),--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
已赚保费(万元),--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金收入(万元),--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),68073,396149,300920,192629,93333,452087,358801,50563,24363,168289,115674,64421,22162,52146,18132,9378,4553,173911,135141,83141,38728,82945,20088,2957,1447,10725,7236,5284,2321,
营业成本(万元),71781,355582,258065,166524,93208,387447,311899,44506,21558,155054,105538,56858,20238,32528,5672,1564,700,163160,128872,78782,35690,75937,16718,2459,733,7286,4778,3679,1644,
利息支出(万元),--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
手续费及佣金支出(万元),--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
赔付支出净额(万元),--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
提取保险合同准备金净额(万元),--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
保单红利支出(万元),--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
分保费用(万元),--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1936,5985,4477,3156,1488,6883,4838,266,61,798,454,277,108,767,429,241,105,725,429,290,197,710,383,226,160,802,570,424,178,
销售费用(万元),10,561,219,217,133,1179,1231,283,173,1459,532,265,141,1029,160,107,50,912,864,307,70,1432,819,67,149,854,650,423,211,
管理费用(万元),5222,18823,9208,8716,2005,19833,6086,2924,1196,7232,5127,4151,929,11432,8320,6131,3030,3563,2410,2057,1440,2989,1623,440,520,2220,1568,967,390,
财务费用(万元),-10876,13991,28953,14288,-3501,36801,34867,2704,1376,4090,3191,2036,746,5280,3551,1335,636,5277,2556,1706,1331,1770,447,-234,-115,-456,-329,-209,-101,
资产减值损失(万元),--,1208,-2,-272,--,-56,-120,-120,--,-344,833,833,--,1110,--,--,33,274,9,-1,--,107,98,--,0,19,--,--,--,
公允价值变动收益(万元),-13550,45755,34174,33515,41932,33799,36574,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
投资收益(万元),1500,5822,6288,3331,2809,10050,8013,1171,--,592,--,0,--,466,-119,-75,-30,238,-10,-10,-47,-225,-221,10,-36,-168,-417,-429,-96,
对联营企业和合营企业的投资收益(万元),--,-895,--,0,--,408,--,--,--,--,--,0,--,466,-119,-75,-30,238,-10,-10,-47,-225,-221,10,-36,-168,-417,-429,-96,
汇兑收益(万元),--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),33418,134585,95790,82101,75240,99979,89085,-3890,-3979,-8004,-12795,-10114,-2991,-3816,-2605,-2464,-1722,8463,6747,-1003,-2043,12157,8465,5225,2743,13912,10113,7233,3374,
营业外收入(万元),86,3301,4514,2297,407,747,462,451,451,388,327,326,126,519,36,32,--,1350,--,--,--,100,--,--,0,3,3,--,--,
营业外支出(万元),4,3428,81,29,12,4356,458,2,1,3,127,2,0,23,2280,1,--,3630,3629,3629,0,15,--,--,0,0,0,0,0,
非流动资产处置损失(万元),--,16,--,0,--,11,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,5,--,--,0,--,--,--,--,
利润总额(万元),33500,134458,100223,84368,75635,96370,89089,-3442,-3529,-7619,-12595,-9790,-2865,-3320,-4849,-2433,-1722,6183,3117,-4632,-2043,12241,8465,5225,2743,13915,10117,7233,3374,
所得税费用(万元),8556,40743,27487,22211,19453,26598,24709,1212,118,3870,2292,1519,614,3731,2165,1136,398,3355,1814,1088,473,4260,2665,1634,934,4660,3513,2552,1191,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),24944,93714,72736,62157,56182,69772,64380,-4654,-3647,-11489,-14888,-11309,-3479,-7051,-7014,-3569,-2120,2828,1303,-5720,-2516,7982,5800,3591,1808,9255,6604,4681,2183,
归属于母公司所有者的净利润(万元),18440,64205,49365,42464,40215,47609,45671,-540,-1497,-2684,-17542,-13036,-4179,-994,-1542,-772,-603,3696,1284,-1863,-735,4560,3283,2141,1099,5503,3971,2807,1270,
被合并方在合并前实现净利润(万元),0,0,0,0,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),6504,29509,23371,19694,15967,22163,18710,-4114,-2150,-8805,2655,1727,701,-6057,-5473,-2797,-1517,-868,19,-3857,-1781,3422,2517,1450,709,3752,2629,1874,913,
基本每股收益,0.18,0.64,0.49,0.84,0.8,0.94,0.91,-0.04,-0.1,-0.18,-1.16,-0.86,-0.28,-0.07,-0.1,-0.05,-0.04,0.25,0.09,-0.12,-0.05,0.3,0.22,0.14,0.07,0.37,0.26,0.19,0.08,
稀释每股收益,0.18,0.64,0.49,0.84,0.8,0.94,0.91,-0.04,-0.1,-0.18,-1.16,-0.86,-0.28,-0.07,-0.1,-0.05,-0.04,0.25,0.09,-0.12,-0.05,0.3,0.22,0.14,0.07,0.37,0.26,0.19,0.08,
