报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),2757,25676,16774,8309,3898,19302,11147,4368,2080,2398,567,-127,188,6098,4177,3392,1151,8249,3500,901,410,1274,297,224,0,0,0,0,0,0,0,0,0,0,0,0,0,307,457,307,150,347,60,40,20,333,60,40,20,
营业收入(万元),2757,25676,16774,8309,3898,19302,11147,4368,2080,2398,567,-127,188,6098,4177,3392,1151,8249,3500,901,410,1274,297,224,0,0,0,0,0,0,0,0,0,0,0,0,0,307,457,307,150,347,60,40,20,333,60,40,20,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,0,0,--,--,0,0,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,0,0,--,--,0,0,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,0,0,--,--,0,0,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,0,0,--,--,--,0,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,0,0,--,--,--,0,--,--,--,
营业总成本(万元),3349,23370,14428,7321,3272,16320,10090,4068,1994,2133,891,165,254,6664,4230,3405,1218,8269,3508,953,451,1683,471,393,44,-1925,-1865,207,96,4687,807,507,259,1754,1035,869,139,1564,1025,775,164,1169,703,512,204,950,433,221,186,
营业成本(万元),2736,20618,12810,6302,2891,14459,8288,2867,1307,1445,568,-80,171,5738,3963,3222,1147,7881,3306,773,351,1204,291,220,0,0,0,0,0,0,--,0,0,0,0,0,0,222,168,114,54,268,174,108,55,285,175,109,55,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,0,0,--,--,0,0,--,--,--,
