报告日期,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),45700,36438,25881,
营业收入(万元),45700,36438,25881,
利息收入(万元),--,--,--,
已赚保费(万元),--,--,--,
手续费及佣金收入(万元),--,--,--,
房地产销售收入(万元),--,--,--,
其他业务收入(万元),--,--,--,
营业总成本(万元),35420,29226,22040,
营业成本(万元),26233,23006,17742,
利息支出(万元),--,--,--,
手续费及佣金支出(万元),--,--,--,
房地产销售成本(万元),--,--,--,
研发费用(万元),--,--,--,
退保金(万元),--,--,--,
赔付支出净额(万元),--,--,--,
提取保险合同准备金净额(万元),--,--,--,
保单红利支出(万元),--,--,--,
分保费用(万元),--,--,--,
其他业务成本(万元),--,--,--,
营业税金及附加(万元),718,221,132,
销售费用(万元),704,724,636,
管理费用(万元),6115,4174,2435,
财务费用(万元),1422,1306,968,
资产减值损失(万元),228,-205,127,
公允价值变动收益(万元),0,0,0,
投资收益(万元),0,0,0,
对联营企业和合营企业的投资收益(万元),0,0,0,
汇兑收益(万元),--,--,--,
期货损益(万元),--,--,--,
托管收益(万元),--,--,--,
补贴收入(万元),--,--,--,
其他业务利润(万元),--,--,--,
营业利润(万元),10280,7212,3841,
营业外收入(万元),282,136,723,
营业外支出(万元),55,22,8,
非流动资产处置损失(万元),1,0,1,
利润总额(万元),10508,7327,4555,
所得税费用(万元),1595,1582,339,
未确认投资损失(万元),--,--,--,
净利润(万元),8912,5745,4216,
归属于母公司所有者的净利润(万元),8898,5698,4241,
被合并方在合并前实现净利润(万元),--,--,--,
少数股东损益(万元),14,47,-25,
基本每股收益,1.15,0.78,0.6,
稀释每股收益,1.15,0.78,0.6,
