报告日期,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),27,14,57,45,31,18,166,130,103,31,166,111,76,42,
营业收入(万元),27,14,57,45,31,18,166,130,103,31,166,111,76,42,
利息收入(万元),--,--,0,--,--,--,--,--,--,0,0,--,--,--,
已赚保费(万元),--,--,0,--,--,--,--,--,--,0,0,--,--,--,
手续费及佣金收入(万元),--,--,0,--,--,--,--,--,--,0,0,--,--,--,
房地产销售收入(万元),--,--,0,--,--,--,--,--,--,--,0,--,--,--,
其他业务收入(万元),--,--,0,--,--,--,--,--,--,--,0,--,--,--,
营业总成本(万元),115,45,1514,179,135,44,328,222,154,57,423,213,107,56,
营业成本(万元),--,0,0,1,--,--,--,48,32,1,0,5,33,2,
利息支出(万元),--,--,0,--,--,--,--,--,--,0,0,--,--,--,
手续费及佣金支出(万元),--,--,0,--,--,--,--,--,--,0,0,--,--,--,
房地产销售成本(万元),--,--,0,--,--,--,--,--,--,--,0,--,--,--,
研发费用(万元),--,--,0,--,--,--,--,--,--,--,0,--,--,--,
退保金(万元),--,--,0,--,--,--,--,--,--,0,0,--,--,--,
赔付支出净额(万元),--,--,0,--,--,--,--,--,--,0,0,--,--,--,
提取保险合同准备金净额(万元),--,--,0,--,--,--,--,--,--,0,0,--,--,--,
保单红利支出(万元),--,--,0,--,--,--,--,--,--,0,0,--,--,--,
分保费用(万元),--,--,0,--,--,--,--,--,--,0,0,--,--,--,
其他业务成本(万元),--,--,0,--,--,--,--,--,--,--,0,--,--,--,
营业税金及附加(万元),1,--,3,--,1,1,9,--,--,0,6,--,--,--,
销售费用(万元),--,--,0,0,--,--,--,--,--,0,0,--,--,--,
管理费用(万元),94,35,241,147,114,33,222,143,101,46,227,177,53,44,
财务费用(万元),21,10,75,31,20,10,72,31,20,10,-90,31,21,10,
资产减值损失(万元),--,--,1195,--,--,--,25,--,--,0,279,--,--,--,
公允价值变动收益(万元),--,--,0,--,--,--,--,--,--,0,0,--,--,--,
投资收益(万元),--,--,0,--,--,--,--,--,--,0,0,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,0,--,--,--,--,--,--,0,0,--,--,--,
汇兑收益(万元),--,--,0,--,--,--,--,--,--,0,0,--,--,--,
期货损益(万元),--,--,0,--,--,--,--,--,--,--,0,--,--,--,
托管收益(万元),--,--,0,--,--,--,--,--,--,--,0,--,--,--,
补贴收入(万元),--,--,0,--,--,--,--,--,--,--,0,--,--,--,
其他业务利润(万元),--,--,0,--,--,--,--,--,--,--,0,--,--,--,
营业利润(万元),-88,-32,-1457,-134,-105,-26,-162,-92,-50,-26,-257,-102,-30,-14,
营业外收入(万元),--,--,33,--,--,--,--,--,--,0,0,--,--,--,
营业外支出(万元),--,--,4809,--,--,--,206,19,19,19,4012,--,--,--,
非流动资产处置损失(万元),--,--,0,--,--,--,--,--,--,19,0,--,--,--,
利润总额(万元),-88,-32,-6233,-134,-105,-26,-367,-110,-69,-45,-4269,-102,-30,-14,
所得税费用(万元),--,--,0,--,--,--,--,--,--,0,0,--,--,--,
未确认投资损失(万元),--,--,0,--,--,--,--,--,--,--,0,--,--,--,
净利润(万元),-88,-32,-6233,-134,-105,-26,-367,-110,-69,-45,-4269,-102,-30,-14,
归属于母公司所有者的净利润(万元),-88,-32,-6233,-134,-105,-26,-367,-110,-69,-45,-4269,-102,-30,-14,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,0,--,--,--,--,--,--,0,0,--,--,--,
基本每股收益,-0.02,-0.01,-1.03,-0.02,-0.02,-0,-0.06,-0.02,-0.01,-0.01,-0.71,-0.02,-0.01,0,
稀释每股收益,-0.02,-0.01,-1.03,-0.02,-0.02,-0,-0.06,-0.02,-0.01,-0.01,-0.71,-0.02,-0.01,0,
