报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),898907,463438,1876595,1444490,872928,449632,1648471,1256210,755079,385820,1374237,1059110,630975,321904,1210896,928760,571372,286515,1157030,890759,556429,281131,1142716,883357,552471,277984,1099302,841590,507241,238869,966697,729919,432253,203253,729262,534165,313366,149878,536611,392757,234163,115517,504939,375935,242866,123383,463013,340737,198087,93615,423106,301337,181552,83223,
营业收入(万元),898907,463438,1876595,1444490,872928,449632,1648471,1256210,755079,385820,1374237,1059110,630975,321904,1210896,928760,571372,286515,1157030,890759,556429,281131,1142716,883357,552471,277984,1099302,841590,507241,238869,966697,729919,432253,203253,729262,534165,313366,149878,536611,392757,234163,115517,504939,375935,242866,123383,463013,340737,198087,93615,423106,301337,181552,83223,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,0,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,0,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,0,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,--,--,0,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,--,--,0,0,--,
营业总成本(万元),909078,460365,1860893,1361416,867449,424712,1599266,1171255,754005,371096,1321628,961694,604003,293692,1156961,849269,544245,268133,1133674,854551,558624,276948,1117423,839087,549186,274401,1036111,755785,485828,231036,867399,625523,386540,181939,646129,461952,286387,138525,509595,367470,230592,112795,496551,369905,234546,116329,455445,335775,208800,100308,421628,302851,195651,89688,
营业成本(万元),839525,429205,1716868,1256990,802102,399828,1478347,1085915,701078,346401,1189017,867390,542357,269402,1019959,748860,484688,237994,1007913,755959,492575,243818,970987,722878,469298,237424,857627,634898,409494,194778,726325,538969,332490,153027,548759,390842,240758,115970,411003,295523,185566,90975,415612,313292,199230,100283,383675,282042,175061,83729,348137,248490,160054,72440,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,0,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,0,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,--,--,0,0,--,
研发费用(万元),896,690,2065,213,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,--,--,0,0,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,0,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,0,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,0,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,0,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,0,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,--,--,0,0,--,
营业税金及附加(万元),777,328,1488,1060,702,281,3286,3135,1105,769,4602,3771,2427,1618,5022,4025,2312,1062,3177,2913,1527,900,23867,23312,18143,9128,36329,28004,16851,7857,31951,24178,14304,6691,20521,15085,8741,4230,15880,11620,6904,3392,13282,10769,7031,3573,13731,9804,5693,2713,12616,8885,5362,2461,
销售费用(万元),38857,19402,84804,62339,39353,19734,78172,56115,34450,15405,67496,51425,32931,15129,71370,53395,36457,18124,78991,59544,39185,18700,77520,57473,35618,17037,74569,55685,35347,16677,62157,44629,27250,14352,48035,34622,20900,9699,34639,24301,14379,6839,23655,14800,9898,4573,21137,15768,9533,4500,20308,15998,10236,5230,
管理费用(万元),21935,10001,42876,30545,20369,9108,39539,25186,16213,7000,33394,22502,14824,5888,28070,19348,12761,5321,23403,17109,11127,5035,22532,16345,11106,5214,23842,16073,11102,6141,18837,12327,8024,5243,13647,9179,6160,2864,22862,16654,10536,4998,18702,14436,9330,4607,17141,12899,8377,3998,17117,9669,6556,3202,
财务费用(万元),7089,839,12285,9856,4496,-4378,-123,855,933,1437,26188,16288,11421,1671,31982,23344,7761,5505,20073,18886,14069,8417,14282,11123,7027,5634,24351,21059,13025,5502,8604,5261,4393,2554,15052,12191,9770,5585,25187,19358,13169,6591,25354,16508,8957,3292,19695,15262,10136,5368,24933,19808,13442,6356,
资产减值损失(万元),--,-100,507,413,427,139,45,49,226,85,931,318,44,-15,558,299,266,128,117,140,141,78,8236,7956,7993,-36,19393,67,8,82,19526,158,78,73,116,35,58,178,24,13,38,--,-55,100,100,--,67,0,0,0,-1482,0,0,0,
公允价值变动收益(万元),-108,-22,370,413,351,116,-245,-78,-60,-155,221,-73,-393,-373,-181,-360,-312,-273,-126,-78,-118,-225,690,490,733,24,-505,-790,-424,-81,-757,-941,-201,89,-592,-891,24,836,-1212,-1410,-406,-339,-1929,--,0,--,0,0,0,0,0,0,0,0,
投资收益(万元),608,7,1803,1805,1719,51,2172,1959,1937,-3,1736,1532,-85,38,3550,-1220,-2018,-1159,-2604,-876,-284,54,1416,1444,49,62,1439,1599,1438,170,855,859,728,206,-172,292,65,94,372,644,483,93,1118,113,113,--,95,94,1,0,1641,850,375,0,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,-1773,-2415,-2422,--,-2659,-964,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,-2,1,0,--,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,0,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,--,--,0,0,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,--,--,0,0,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,--,--,0,0,--,
