报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,
营业总收入(万元),3337,1974,12351,9570,7982,5726,25007,10203,10156,8723,36790,29522,19141,4638,14122,46581,35782,7670,32250,34077,21683,12106,36395,20573,1682,1665,7951,59,48,26,52,3,2,2,52,0,--,--,0,0,0,0,1113,868,560,527,5997,5152,3060,2026,23383,19858,13555,
营业收入(万元),3337,1974,12351,9570,7982,5726,25007,10203,10156,8723,36790,29522,19141,4638,14122,46581,35782,7670,32250,34077,21683,12106,36395,20573,1682,1665,7951,59,48,26,52,3,2,2,52,0,--,--,0,0,0,0,1113,868,560,527,5997,5152,3060,2026,23383,19858,13555,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
营业总成本(万元),5871,3447,14266,11414,8808,5900,29889,10546,10479,8673,37389,29151,19018,4582,17596,42244,32667,8451,35830,36259,23028,12779,36460,20999,1989,1530,8624,1389,819,352,1563,940,528,101,2358,748,477,218,76739,64553,21892,133,58214,11853,7298,3740,63452,41762,35957,22027,62691,17240,11581,
营业成本(万元),2822,1828,10875,8714,7197,4955,23718,8738,8677,7531,31464,25176,16318,3643,13273,37994,29570,7833,32580,34312,21814,12195,33908,19504,1200,1090,5842,0,0,0,0,0,0,0,0,--,0,--,0,0,0,1,2580,661,163,129,9110,7890,5688,2217,20919,16779,11419,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
研发费用(万元),--,69,475,342,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
营业税金及附加(万元),108,62,-25,332,277,199,979,241,785,663,2631,1991,1296,273,368,2368,1775,2,61,18,24,12,314,136,91,92,495,5,5,4,3,1,1,0,64,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
销售费用(万元),998,534,12,3,0,0,1442,32,32,14,35,35,31,28,241,183,132,52,430,286,175,87,326,153,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,0,0,0,369,336,283,21,369,188,126,
管理费用(万元),1935,918,2924,2111,1449,818,2968,1718,1055,530,2642,1977,1383,641,3070,1675,1168,567,2155,1517,1019,489,2100,1320,800,305,1594,1014,649,324,1210,897,526,101,1186,748,477,218,1693,416,312,132,3631,7083,4566,2334,26726,11036,8757,18585,14966,182,-16,
财务费用(万元),8,1,-39,-89,-114,-73,135,-182,-69,-65,-127,-27,-10,-3,3,24,21,-2,182,126,-3,-3,62,31,43,43,239,370,165,24,349,43,0,1,475,0,0,0,205,2,2,1,20012,3797,2568,1277,7313,3865,2594,1204,8368,91,51,
资产减值损失(万元),--,34,45,--,--,--,648,-0,-0,-0,744,--,--,--,641,-0,-0,--,423,--,--,--,-250,-145,-145,--,454,--,0,--,1,--,--,--,632,--,--,--,74841,64136,21578,0,31990,311,--,--,19935,18635,18635,0,18068,--,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
投资收益(万元),20,9,1965,1868,13,--,150,--,--,--,-346,-1,-1,--,1142,28,4,--,23,7,12,17,16,122,8,--,2,--,0,--,--,--,--,--,0,--,--,--,61883,61501,18944,23407,--,--,--,--,--,--,--,0,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,--,6,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
营业利润(万元),-2478,-1417,791,335,-526,115,1774,-343,-323,50,-945,369,122,56,-2331,4365,3119,-781,-3557,-2175,-1333,-656,-48,-304,-300,135,-672,-1330,-771,-326,-1512,-937,-525,-99,-2307,-748,-477,-218,-14856,-3052,-2948,23275,-57100,-10985,-6738,-3214,-57455,-36610,-32897,-20001,-39308,2618,1974,
营业外收入(万元),0,--,0,0,0,1,2,89,3,0,507,17,7,6,10422,10410,10408,39,11770,5920,3484,3469,13233,9425,9424,--,10942,5060,0,--,1885,102,102,--,3010,-0,-0,-0,84363,85536,75956,694,110775,77,-0,-0,4,1,1,0,202,2,2,
营业外支出(万元),39,37,47,33,0,0,82,74,1,-1,79,51,34,13,618,401,322,35,795,567,430,1,62,49,28,1,6326,1021,992,5,99,15,15,--,5,5,5,-0,36545,58325,60163,0,16399,5,0,0,21,21,1,1,9,7,6,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,12,--,--,--,78,--,--,--,99,--,--,--,--,--,--,--,5886,--,876,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
利润总额(万元),-2517,-1454,744,303,-526,115,1694,-328,-321,51,-518,336,95,49,7473,14374,13205,-777,7419,3178,1720,2812,13123,9071,9095,135,3944,2709,-1763,-332,275,-851,-439,-99,698,-753,-482,-219,32962,24159,12845,23968,37276,-10913,-6738,-3214,-57472,-36631,-32897,-20001,-39115,2613,1969,
所得税费用(万元),--,--,89,11,11,--,1291,--,--,--,-221,1,1,0,2236,2391,1293,--,95,-2,-2,--,3130,536,494,62,654,228,3,3,2,69,0,0,408,--,--,--,12930,--,--,0,21784,--,--,--,31,--,--,0,0,421,288,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,
净利润(万元),-2517,-1454,656,292,-537,115,404,-328,-321,51,-297,335,94,49,5237,11983,11912,-777,7324,3180,1723,2812,9993,8535,8601,73,3289,2481,-1766,-334,273,-919,-439,-99,290,-753,-482,-219,20033,24159,12845,23968,15492,-10913,-6738,-3214,-57503,-36631,-32897,-20001,-39115,2192,1681,
归属于母公司所有者的净利润(万元),-2442,-1417,738,315,-521,121,410,-318,-315,57,376,426,180,108,5887,12189,12015,-651,8028,3603,1933,2955,9481,8537,8602,73,3289,2732,-1570,-305,364,-843,-407,-82,170,-667,-431,-193,18601,24159,12845,23968,17640,-10016,-6235,-3018,-54756,-34752,-31316,-19129,-34351,2263,1699,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,
