报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),173313,83619,368300,271354,174716,79149,358316,255833,156720,79606,360776,244319,149286,72323,328204,241256,157994,77092,355270,271814,179014,87148,400611,302570,198668,99744,364670,251919,153698,64183,402652,314060,210217,101238,389854,286916,190599,88844,237264,142041,57419,18944,141267,114992,83102,42954,126951,70941,32798,13947,67354,40573,26873,14388,
营业收入(万元),173313,83619,368300,271354,174716,79149,358316,255833,156720,79606,360776,244319,149286,72323,328204,241256,157994,77092,355270,271814,179014,87148,400611,302570,198668,99744,364670,251919,153698,64183,402652,314060,210217,101238,389854,286916,190599,88844,237264,142041,57419,18944,141267,114992,83102,42954,126951,70941,32798,13947,67354,40573,26873,14384,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,4,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
营业总成本(万元),175278,86065,379630,274432,178822,81077,356607,256559,157433,79734,349251,240097,147933,72348,324050,237697,155914,77433,341083,262798,172293,84316,394011,298097,197164,99710,371856,263508,161369,70873,386206,302010,200868,97476,371587,270603,180610,84976,239787,145157,64880,23458,143081,114173,80993,42513,124940,69520,32219,13788,67194,40697,26942,14319,
营业成本(万元),153978,77804,335635,246443,159514,71031,310837,224190,137622,69998,308708,211737,130444,62088,273316,204477,133621,65668,297074,230121,150668,73423,343798,263979,174277,87771,314868,224356,136205,58480,342012,268225,178792,86597,323566,237273,157905,73748,206648,124041,56219,19166,121019,98456,70666,37804,110903,61512,28790,12326,61578,36541,24189,12969,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,91,--,0,--,48,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
研发费用(万元),5247,--,3278,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
营业税金及附加(万元),1010,539,1754,1375,1011,457,2297,1601,1040,554,2267,1103,437,131,1633,1172,824,463,1460,865,660,402,2278,1618,1262,700,1471,255,158,84,1291,931,787,268,530,301,240,116,391,237,36,11,69,49,36,18,18,13,8,4,24,19,15,7,
销售费用(万元),6940,3382,16942,10834,7000,4169,18292,13125,7680,3709,18196,12066,8290,4193,17240,12282,8159,4437,16454,11612,7477,3758,19897,13367,8673,4281,18194,12831,8476,4301,16506,12942,8626,4287,15363,12328,8395,4047,10528,5855,2007,626,4723,4008,2714,1115,3176,1996,938,416,1594,1092,687,403,
管理费用(万元),5050,2703,11307,9796,6709,2882,12548,9559,6145,2967,12112,9137,6123,3004,15812,9970,6385,3282,14066,10174,7130,3884,14934,10809,7225,3728,15632,11246,7566,3669,13466,10163,6185,3405,15053,9688,6452,3329,11237,7865,3652,1502,7938,5533,3661,1746,5466,3820,2145,935,4000,2967,1981,890,
财务费用(万元),3052,1637,8913,6006,4594,2543,12163,8085,4947,2506,8375,6858,3443,2933,13387,9796,6926,3583,12699,10027,6357,2850,11352,8734,6138,3230,18997,14820,8962,4339,13317,9681,6345,2918,12697,10982,7587,3735,10487,8189,3997,2154,8218,6127,3917,1830,4732,2178,337,15,131,78,70,3,
资产减值损失(万元),--,--,1801,-21,-6,-6,471,-0,--,--,-407,-804,-804,--,2662,--,--,--,-670,--,--,--,1751,-410,-410,--,2695,--,--,--,-386,67,133,--,4379,31,31,--,496,-1030,-1030,--,1114,--,--,0,644,--,--,0,-134,0,--,0,
公允价值变动收益(万元),--,--,239,255,134,-400,-397,-55,--,--,157,--,30,-132,153,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,
投资收益(万元),1677,886,1801,218,-9,--,3464,2909,1627,793,1940,1628,324,330,12117,1127,777,400,1249,335,28,--,66,36,15,13,33106,5072,3267,1560,5865,4422,3020,1656,5956,4423,2676,1379,6353,9859,7843,1395,5826,5166,3299,1587,9424,7218,3968,1736,9092,6589,3991,1736,
对联营企业和合营企业的投资收益(万元),1677,886,563,6,-9,--,2235,2521,1627,793,1543,1079,663,330,1571,1127,777,400,769,335,28,--,53,--,2,--,5080,5072,3267,1560,5865,4422,3020,1656,5967,4423,2676,1379,6353,5070,3054,1395,5826,5166,3299,1587,9424,7218,3968,1736,9092,6589,3991,1736,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,--,0,--,3,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
营业利润(万元),100,-1478,-8028,-1668,-3067,-2097,6224,2719,914,665,13622,5849,1708,173,16423,4686,2856,59,15436,9351,6749,2832,6666,4510,1519,47,25919,-6517,-4404,-5130,22312,16472,12370,5418,24223,20737,12665,5247,3831,6743,382,-3119,4012,5986,5408,2028,11435,8639,4547,1897,9252,6465,3921,1808,
营业外收入(万元),101,66,3272,180,160,86,441,310,631,332,2918,2303,1491,676,2373,1840,1173,407,4395,771,329,99,8073,481,327,254,1815,583,190,94,714,605,521,88,562,231,124,75,3533,92,59,44,43,36,32,31,420,--,--,0,108,40,40,1,
营业外支出(万元),87,3,826,147,93,1,2926,95,12,4,411,223,128,12,126,40,33,25,133,106,55,21,612,173,20,2,222,68,57,27,298,208,198,9,830,742,728,13,286,87,0,1,48,3,3,2,41,0,0,0,--,0,--,0,
非流动资产处置损失(万元),--,--,--,--,--,--,--,9,8,0,138,66,16,12,96,20,19,13,101,96,51,0,35,--,--,--,33,32,--,--,9,54,--,--,728,720,--,--,132,--,--,--,2,--,--,--,31,--,--,0,--,0,--,0,
利润总额(万元),114,-1414,-5582,-1636,-3000,-2012,3740,2935,1533,993,16128,7930,3071,837,18670,6486,3996,441,19698,10016,7022,2910,14127,4817,1826,299,27513,-6002,-4271,-5063,22728,16869,12692,5496,23955,20225,12060,5309,7078,6748,440,-3076,4007,6018,5436,2057,11815,8639,4547,1897,9360,6505,3961,1809,
所得税费用(万元),325,189,117,453,296,171,217,93,10,121,2218,439,175,209,1578,940,830,237,4772,2480,1721,837,4355,2849,1976,1113,6883,460,-70,66,3180,2448,2116,653,1892,2008,657,114,-801,206,225,20,-83,24,134,17,76,257,241,35,17,-10,2,1,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
净利润(万元),-211,-1602,-5698,-2088,-3296,-2183,3523,2841,1523,872,13910,7491,2896,628,17092,5547,3166,204,14926,7535,5301,2074,9772,1968,-150,-814,20630,-6462,-4200,-5129,19548,14421,10577,4843,22063,18217,11404,5196,7878,6542,215,-3096,4090,5994,5302,2040,11739,8382,4306,1863,9342,6514,3959,1808,
归属于母公司所有者的净利润(万元),1049,-69,-281,-1029,-1530,-1020,1864,1916,1249,672,6132,3635,1550,104,13309,2179,1256,92,8328,3717,2509,886,7906,1431,389,-120,26848,-1266,-723,-1871,11193,8506,6178,2963,12031,9911,6045,2846,2887,3903,1116,-2386,4259,5642,4777,1879,10965,7887,4054,1788,9098,6396,3866,1751,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-1260,-1534,-5417,-1059,-1766,-1163,1659,925,274,200,7778,3856,1346,524,3782,3368,1909,111,6597,3818,2793,1188,1866,537,-538,-694,-6218,-5196,-3477,-3258,8355,5915,4399,1880,10032,8306,5359,2349,4991,2639,-900,-710,-169,353,526,161,774,494,252,74,244,118,93,58,
基本每股收益,0.02,-0,-0.01,-0.02,-0.03,-0.02,0.04,0.04,0.02,0.01,0.12,0.07,0.03,0,0.26,0.04,0.03,0,0.16,0.07,0.05,0.02,0.16,0.03,0.01,-0,0.53,-0.03,-0.01,-0.04,0.22,0.17,0.12,0.06,0.24,0.2,0.12,0.06,0.06,0.08,0.02,-0.05,0.08,0.11,0.09,0.04,0.22,0.16,0.09,0.04,0.18,0.15,0.09,0.04,
稀释每股收益,0.02,-0,-0.01,-0.02,-0.03,-0.02,0.04,0.04,0.02,0.01,0.12,0.07,0.03,0,0.26,0.04,0.03,0,0.16,0.07,0.05,0.02,0.16,0.03,0.01,-0,0.53,-0.03,-0.01,-0.04,0.22,0.17,0.12,0.06,0.24,0.2,0.12,0.06,0.06,0.08,0.02,-0.05,0.08,0.11,0.09,0.04,0.22,0.16,0.09,0.04,0.18,0.15,0.09,0.04,
