报告日期,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),2502485,1544037,668343,3725932,2993522,1826688,782772,2611248,1895951,1221268,598422,2472594,1856608,1128673,519476,
营业收入(万元),2502485,1544037,668343,3725932,2993522,1826688,782772,2611248,1895951,1221268,598422,2472594,1856608,1128673,519476,
利息收入(万元),0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
已赚保费(万元),0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
手续费及佣金收入(万元),0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
房地产销售收入(万元),0,0,--,--,--,0,0,0,0,--,0,0,0,--,--,
其他业务收入(万元),0,0,--,--,--,0,0,0,0,--,0,0,0,--,--,
营业总成本(万元),2475365,1534364,662703,3638089,2871225,1739686,744996,2446673,1780810,1148147,560470,2351770,1768734,1082304,515572,
营业成本(万元),2352519,1455882,627997,3447905,2723071,1643565,702815,2305498,1675035,1071322,525348,2200391,1681300,1028727,492396,
利息支出(万元),0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
手续费及佣金支出(万元),0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
房地产销售成本(万元),0,0,--,--,--,0,0,0,0,--,0,0,0,--,--,
研发费用(万元),0,0,--,--,--,0,0,0,0,--,0,0,0,--,--,
退保金(万元),0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
赔付支出净额(万元),0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
提取保险合同准备金净额(万元),0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
保单红利支出(万元),0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
分保费用(万元),0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
其他业务成本(万元),0,0,--,--,--,0,0,0,0,--,0,0,0,--,--,
营业税金及附加(万元),6802,4046,2459,9659,9659,7045,3282,14117,11908,8013,4473,11849,9745,6746,3509,
销售费用(万元),16811,9986,4974,30649,25312,16437,8768,37186,25342,16507,9833,16697,13212,8567,4322,
管理费用(万元),78303,48183,20381,89254,83844,56959,20182,68988,54618,42798,16707,90261,37623,19216,8734,
财务费用(万元),20930,16266,6891,27506,29339,15681,9949,21649,13971,9506,4108,28288,23635,15830,6610,
资产减值损失(万元),0,0,--,33116,--,0,0,-765,-65,0,0,4284,3218,3218,0,
公允价值变动收益(万元),0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
投资收益(万元),0,0,--,12,-4,0,0,8293,1573,63,0,19099,17869,17869,14060,
对联营企业和合营企业的投资收益(万元),0,0,--,--,-4,0,0,0,1573,0,0,0,17869,0,0,
汇兑收益(万元),0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
期货损益(万元),0,0,--,--,--,0,0,0,0,--,0,0,0,--,--,
托管收益(万元),0,0,--,--,--,0,0,0,0,--,0,0,0,--,--,
补贴收入(万元),0,0,--,--,--,0,0,0,0,--,0,0,0,--,--,
其他业务利润(万元),0,0,--,--,--,0,0,0,0,--,0,0,0,--,--,
营业利润(万元),27120,9673,5640,87855,122292,87002,37776,172868,116714,73184,37952,139923,105743,64238,17964,
营业外收入(万元),865,477,129,8398,3002,1215,380,3084,344,119,47,59,49,39,3,
营业外支出(万元),851,747,3,16249,15642,14152,8,24175,3565,48,5,10918,184,134,84,
非流动资产处置损失(万元),0,0,--,--,--,0,0,0,3495,0,0,0,0,0,0,
利润总额(万元),27134,9403,5766,80004,109653,74065,38148,151776,113494,73255,37994,129064,105608,64143,17883,
所得税费用(万元),7044,2470,1443,20078,27425,18584,9596,55590,35882,23139,12549,34235,33789,21216,4659,
未确认投资损失(万元),0,0,--,--,--,0,0,0,0,--,0,0,0,--,--,
净利润(万元),20089,6933,4322,59926,82228,55481,28552,96187,77612,50117,25445,94830,71819,42927,13224,
归属于母公司所有者的净利润(万元),20089,6933,4322,59926,82228,55481,28552,96187,77612,50117,25445,94830,71819,42927,13224,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,
基本每股收益,0.07,0.03,0.02,0.21,0.29,0.2,0.1,0.34,0.28,0.18,0.09,0.36,0.27,0.17,0.06,
稀释每股收益,0.07,0.03,0.02,0.21,0.29,0.2,0.1,0.34,0.28,0.18,0.09,0.3,0.26,0.16,0.05,
