报告日期,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),74645,55859,34098,13370,69300,51491,34201,15282,77512,56393,34821,14784,72049,53674,32855,13673,
营业收入(万元),74645,55859,34098,13370,69300,51491,34201,15282,77512,56393,34821,14784,72049,53674,32855,13673,
利息收入(万元),0,--,--,0,--,--,0,0,--,--,--,0,0,0,--,0,
已赚保费(万元),0,--,--,0,--,--,0,0,--,--,--,0,0,0,--,0,
手续费及佣金收入(万元),0,--,--,0,--,--,0,0,--,--,--,0,0,0,--,0,
房地产销售收入(万元),0,--,--,0,--,--,0,0,--,--,--,--,0,0,--,--,
其他业务收入(万元),0,--,--,0,--,--,0,0,--,--,--,--,0,0,--,--,
营业总成本(万元),43991,30103,14529,5213,44256,47957,17147,7211,46865,35117,24701,8237,48793,32796,19424,7298,
营业成本(万元),28024,21768,8743,3378,27677,40220,11835,3812,33798,27131,16422,3939,31674,21364,12110,3776,
利息支出(万元),0,--,--,0,--,--,0,0,--,--,--,0,0,0,--,0,
手续费及佣金支出(万元),0,--,--,0,--,--,0,0,--,--,--,0,0,0,--,0,
房地产销售成本(万元),0,--,--,0,--,--,0,0,--,--,--,--,0,0,--,--,
研发费用(万元),0,--,--,0,--,--,0,0,--,--,--,--,0,0,--,--,
退保金(万元),0,--,--,0,--,--,0,0,--,--,--,0,0,0,--,0,
赔付支出净额(万元),0,--,--,0,--,--,0,0,--,--,--,0,0,0,--,0,
提取保险合同准备金净额(万元),0,--,--,0,--,--,0,0,--,--,--,0,0,0,--,0,
保单红利支出(万元),0,--,--,0,--,--,0,0,--,--,--,0,0,0,--,0,
分保费用(万元),0,--,--,0,--,--,0,0,--,--,--,0,0,0,--,0,
其他业务成本(万元),0,--,--,0,--,--,0,0,--,--,--,--,0,0,--,--,
营业税金及附加(万元),2440,1823,1134,439,2195,1651,1087,486,2444,1800,1123,481,2275,1682,1031,441,
销售费用(万元),326,173,101,26,192,148,131,85,243,212,136,45,251,186,98,41,
管理费用(万元),9606,6782,4966,2251,9184,6243,4351,1987,8423,6272,4429,2415,8200,5757,3646,1884,
财务费用(万元),-1108,-956,-927,-881,-368,-306,-257,-10,-412,-299,2590,1356,5082,3807,2540,1157,
资产减值损失(万元),4703,512,512,0,5374,--,0,0,2368,--,--,0,1310,0,--,0,
公允价值变动收益(万元),1437,1596,1374,1040,-2113,-2225,-1810,-984,264,380,106,132,0,-30,-2,-28,
投资收益(万元),957,686,693,33,880,-31,93,133,6565,6684,6316,6000,622,844,596,127,
对联营企业和合营企业的投资收益(万元),841,--,613,0,1298,--,0,0,139,--,--,0,-1,0,--,0,
汇兑收益(万元),0,--,--,0,--,--,0,0,--,--,--,0,0,0,--,0,
期货损益(万元),0,--,--,0,--,--,0,0,--,--,--,--,0,0,--,--,
托管收益(万元),0,--,--,0,--,--,0,0,--,--,--,--,0,0,--,--,
补贴收入(万元),0,--,--,0,--,--,0,0,--,--,--,--,0,0,--,--,
其他业务利润(万元),0,--,--,0,--,--,0,0,--,--,--,--,0,0,--,--,
营业利润(万元),33048,28038,21636,9230,23812,1279,15336,8072,37477,28340,16542,12679,23878,21693,14024,6473,
营业外收入(万元),721,1299,1004,0,347,414,414,0,2231,2002,4756,2002,10,8,8,0,
营业外支出(万元),306,965,955,0,11714,67,27,1,998,157,42,0,679,57,37,11,
非流动资产处置损失(万元),96,--,772,0,11296,--,0,0,3,--,--,0,0,0,--,0,
利润总额(万元),33463,28372,21685,9230,12444,1626,15723,8071,38710,30185,21256,14681,23208,21644,13996,6462,
所得税费用(万元),9274,7360,5841,2228,3999,4384,4284,2404,14600,13013,8074,4561,11315,7703,4789,1881,
未确认投资损失(万元),0,--,--,0,--,--,0,0,--,--,--,--,0,0,--,--,
净利润(万元),24189,21013,15844,7002,8446,-2758,11440,5667,24110,17172,13182,10120,11892,13940,9207,4581,
归属于母公司所有者的净利润(万元),23631,20123,15367,6897,8099,-3899,11047,5804,23483,17453,13370,10202,11654,13996,9044,4660,
被合并方在合并前实现净利润(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),558,889,477,106,347,1140,393,-137,627,-281,-187,-82,238,-56,163,-78,
基本每股收益,0.19,0.17,0.13,0.06,0.07,-0.03,0.09,0.05,0.19,0.14,0.11,0.08,0.1,0.11,0.08,0.04,
稀释每股收益,0.19,0.17,0.13,0.06,0.07,-0.03,0.09,0.05,0.19,0.14,0.11,0.08,0.1,0.12,0.08,0.04,
