报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),152009,80755,280871,215528,175279,72640,201984,130672,52649,17491,54753,31848,21150,7624,110371,71013,52182,24114,183142,142447,115099,59249,333314,224722,168139,87938,261027,147314,93832,156836,105233,69011,38637,136738,104211,66595,25153,8875,977,493,151,25654,25430,12642,16790,16458,10020,
营业收入(万元),152009,80755,280871,215528,175279,72640,201984,130672,52649,17491,54753,31848,21150,7624,110371,71013,52182,24114,183142,142447,115099,59249,333314,224722,168139,87938,261027,147314,93832,156836,105233,69011,38637,136738,104211,66595,25153,8875,977,493,151,25654,25430,12642,16790,16458,10020,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),157064,83641,283714,215970,174258,72476,200940,134302,57223,19998,102906,46224,31628,15540,141457,75374,51738,23884,195815,144941,117088,60064,332714,227121,169711,89250,262788,152927,95609,155920,107617,68621,38309,134419,103312,66135,23646,15328,3872,2491,94969,25305,23366,12514,22404,20656,11750,
营业成本(万元),149829,79662,269658,206479,168204,69628,191134,123210,49033,16040,49731,28671,18789,6790,111161,65350,44619,20309,176572,135557,109292,56192,320166,220511,166773,86992,252627,145018,90994,147534,99003,63661,36074,123271,94540,59803,22089,7579,750,332,94036,24552,24385,11792,17787,17549,10865,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
