报告日期,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),0,0,198,405,0,0,0,0,0,4866,12305,8253,2650,25351,16041,12615,6858,19122,11567,1130,0,53,47,47,0,0,0,0,0,180,602,602,214,39052,32125,22333,8295,20410,16725,11323,5266,51527,44781,32054,16618,
营业收入(万元),0,0,198,405,0,0,0,0,0,4866,12305,8253,2650,25351,16041,12615,6858,19122,11567,1130,0,53,47,47,0,0,0,0,0,180,602,602,214,39052,32125,22333,8295,20410,16725,11323,5266,51527,44781,32054,16618,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,0,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,0,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,0,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,
营业总成本(万元),2495,1839,21045,79538,489,4659,1742,1268,589,11071,12905,8143,2646,25298,16222,12204,6420,17699,11423,1133,477,4978,2306,1528,654,3923,2246,1305,551,40804,25275,24404,2628,36542,24808,17088,6575,32384,20545,13902,6476,59431,47711,33912,17513,
营业成本(万元),0,0,197,371,0,0,0,0,0,4540,11181,7223,2013,20573,13565,10259,5162,14245,9074,0,0,46,46,46,0,0,--,--,0,200,2804,2804,1234,28083,19638,13642,5184,18741,15260,10454,4808,45974,38441,27526,13661,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,0,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,0,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,0,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,0,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,0,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,0,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,0,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,
营业税金及附加(万元),--,--,0,20,--,--,--,--,--,4,7,7,0,268,105,104,100,342,134,63,--,3,--,--,--,--,--,--,0,0,9,9,0,88,86,69,33,82,71,38,19,122,63,44,15,
销售费用(万元),--,--,--,--,--,--,--,--,--,--,213,139,58,347,269,163,92,321,306,--,--,--,--,--,--,--,--,--,0,56,79,79,54,457,394,326,179,1028,864,602,281,2752,2049,1490,725,
管理费用(万元),1338,1066,1768,655,104,745,586,497,203,710,664,441,131,999,596,435,303,749,579,285,85,556,401,245,82,1010,351,285,47,5926,1305,948,439,3213,2144,1167,614,5196,2173,1383,693,5619,4787,3419,2064,
财务费用(万元),1158,772,1097,1096,386,2821,1157,771,386,2589,1318,892,444,2792,1701,1256,763,2631,1330,784,392,3812,1831,1208,572,3083,1916,1014,504,4581,1481,967,578,2826,2175,1519,626,2223,2177,1425,675,3746,2371,1433,1048,
资产减值损失(万元),--,1,17983,77396,--,1092,-0,-0,--,3229,-476,-558,--,319,-14,-14,--,-589,1,1,-0,562,28,28,--,-171,-21,6,0,30042,19598,19598,323,1875,371,365,-60,5114,--,--,0,1219,--,--,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,0,--,--,--,--,
投资收益(万元),--,--,4829,15,--,2633,-1,-1,--,-3600,-60,-30,--,-520,-84,-52,-29,135,-85,-118,-40,-1310,-235,-120,-78,2671,-112,-114,0,-908,-66,--,--,4573,-394,14,711,961,324,351,28,-747,197,-174,99,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,-1,-1,--,--,-60,-30,--,-504,-84,-52,-29,135,-85,-118,-40,-1310,-235,-120,--,128,-112,--,0,-908,-66,--,--,968,1102,1102,711,-165,324,351,28,-747,197,-174,99,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,0,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,
营业利润(万元),-2495,-1839,-16018,-79118,-489,-2026,-1744,-1269,-589,-9805,-660,81,4,-467,-265,360,409,1558,60,-122,-517,-6235,-2495,-1601,-733,-1252,-2358,-1419,-551,-41533,-24739,-23802,-2414,7084,6923,5259,2432,-11012,-3496,-2227,-1182,-8652,-2733,-2032,-796,
营业外收入(万元),0,0,0,43,--,--,--,--,--,123,148,48,14,1593,0,0,--,742,569,569,--,290,290,0,--,1532,778,--,0,4794,1679,1679,1357,1199,2392,2266,1,27515,84,84,31,155,86,79,73,
营业外支出(万元),152,101,2026,2534,50,201,151,101,50,205,156,105,44,211,170,112,52,193,156,101,51,1404,40,0,--,0,71,--,0,22064,1069,1069,1068,231,1480,1464,71,355,968,245,80,375,452,213,42,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,1066,0,--,1068,89,--,0,0,--,--,--,0,--,--,--,-2,
利润总额(万元),-2647,-1939,-18045,-81610,-540,-2227,-1895,-1370,-639,-9887,-669,24,-26,916,-435,248,357,2106,473,346,-567,-7349,-2245,-1601,-733,281,-1651,-1419,-551,-58802,-24129,-23192,-2126,8052,7835,6061,2362,16148,-4380,-2388,-1231,-8871,-3100,-2165,-765,
所得税费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,-62,14,14,14,91,--,--,--,--,--,--,--,--,--,--,0,43,26,26,--,2143,1715,1159,358,3069,--,--,0,14,37,33,18,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,
