报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,
营业总收入(万元),402,79,1153,986,460,111,1837,1296,650,297,2361,485,227,51,4007,1022,185,22,4384,1546,743,554,3012,
营业收入(万元),402,79,1153,986,460,111,1837,1296,650,297,2361,485,227,51,4007,1022,185,22,4384,1546,743,554,3012,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),936,317,2075,1612,1007,441,2707,1933,1325,574,3636,1486,889,419,3859,1394,721,260,4270,1826,1192,756,3893,
营业成本(万元),507,182,1195,924,591,212,1513,1090,769,364,2390,782,442,178,2858,717,315,65,3444,1216,855,555,2909,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),27,0,93,70,24,0,94,49,0,0,68,4,3,1,65,54,9,1,57,50,9,1,53,
销售费用(万元),79,22,103,84,57,42,240,172,97,30,236,155,89,70,208,114,95,49,155,89,58,36,332,
管理费用(万元),322,113,679,532,335,187,856,623,460,181,686,541,351,170,716,510,303,145,612,470,270,165,587,
财务费用(万元),0,0,2,1,0,-0,0,0,-1,-0,-0,-1,-1,-1,1,0,0,-0,1,1,0,-0,1,
资产减值损失(万元),--,--,4,--,--,--,4,--,--,--,256,5,5,--,10,--,--,--,1,--,--,--,10,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-534,-237,-922,-626,-547,-329,-870,-637,-676,-277,-1275,-1001,-661,-368,149,-372,-536,-238,113,-280,-449,-203,-881,
营业外收入(万元),21,20,4,2,1,1,10,5,5,0,3,8,4,0,1,1,0,--,29,25,1,--,1,
营业外支出(万元),21,--,112,35,--,--,137,16,16,15,28,9,5,5,0,5,--,--,3,3,3,--,1,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
利润总额(万元),-535,-217,-1030,-660,-546,-329,-997,-648,-686,-292,-1300,-1002,-662,-373,150,-377,-536,-238,140,-257,-451,-203,-881,
所得税费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-535,-217,-1030,-660,-546,-329,-997,-648,-686,-292,-1300,-1002,-662,-373,150,-377,-536,-238,140,-257,-451,-203,-881,
归属于母公司所有者的净利润(万元),-535,-217,-1030,-660,-546,-329,-997,-648,-686,-292,-1300,-1002,-662,-373,150,-377,-536,-238,140,-257,-451,-203,-881,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,-0.01,-0,-0.02,-0.01,-0.01,-0.01,-0.02,-0.01,-0.02,-0.01,-0.03,-0.02,-0.01,-0.01,0,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0,-0.02,
稀释每股收益,-0.01,-0,-0.02,-0.01,-0.01,-0.01,-0.02,-0.01,-0.02,-0.01,-0.03,-0.02,-0.01,-0.01,0,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0,-0.02,
