报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,
营业总收入(万元),1209,813,43,43,43,0,809,808,808,808,4259,10,10,10,4619,4,4,4,190,22,22,22,372,116,54,54,257,23,13,5,1356,692,531,211,1007,681,518,76,827,714,406,74,
营业收入(万元),1209,813,43,43,43,0,809,808,808,808,4259,10,10,10,4619,4,4,4,190,22,22,22,372,116,54,54,257,23,13,5,1356,692,531,211,1007,681,518,76,827,711,406,74,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,3,--,--,
营业总成本(万元),1490,941,3715,568,472,221,2850,4648,672,433,1773,248,188,194,4353,2812,1897,1542,10298,7127,4729,2364,11101,7415,4933,2393,11303,7715,5128,2590,12655,9276,6387,2830,11557,8706,5950,2759,12299,8776,5814,2791,
营业成本(万元),1214,813,22,22,22,0,264,263,263,263,1118,5,5,5,2591,0,0,0,320,21,21,21,852,62,3,0,862,13,13,5,2110,813,705,99,998,492,492,72,1016,670,390,68,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
营业税金及附加(万元),1,1,--,--,--,--,1,1,1,2,4,0,0,0,45,--,--,--,9,--,--,--,0,--,--,--,1,0,0,0,2,1,0,--,1,1,1,0,1,--,0,0,
销售费用(万元),--,--,--,25,23,9,70,50,47,22,53,6,4,4,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
管理费用(万元),142,68,567,313,240,99,902,4049,305,109,567,232,176,113,241,1482,582,254,1582,1313,846,412,1496,1562,1070,459,1974,1910,1254,654,2329,2561,1765,800,2635,2420,1595,756,2744,2313,1562,792,
财务费用(万元),119,59,143,202,188,113,548,268,39,34,59,39,36,49,1301,1277,1285,1287,7734,5793,3862,1931,7722,5791,3860,1931,7722,5792,3861,1931,7723,5901,3916,1931,7724,5793,3862,1931,7724,5793,3862,1931,
资产减值损失(万元),14,--,2983,6,--,--,1064,17,17,4,-28,-35,-35,23,164,53,30,--,653,--,--,--,1031,--,--,--,745,--,--,--,490,--,--,--,199,0,--,--,815,--,--,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
投资收益(万元),510,--,--,--,--,--,--,--,--,--,--,--,--,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
营业利润(万元),230,-128,-3672,-526,-430,-221,-2040,-197,136,375,2487,-238,-178,-144,266,-2809,-1893,-1538,-10108,-7104,-4707,-2342,-10729,-7299,-4879,-2339,-11046,-7692,-5115,-2585,-11298,-8584,-5856,-2619,-10550,-8025,-5432,-2683,-11472,-8062,-5408,-2717,
营业外收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,260162,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,6,6,6,--,
营业外支出(万元),--,--,61,0,0,--,3,0,0,0,0,--,--,--,--,7273,7273,--,4473,--,--,--,0,0,0,--,1927,1927,1,0,21,21,21,--,0,0,0,--,0,0,0,--,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,218,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
利润总额(万元),230,-128,-3733,-526,-430,-221,-2043,-197,136,375,2487,-238,-178,-144,260428,-10081,-9166,-1538,-14581,-7104,-4707,-2342,-10729,-7299,-4879,-2339,-12974,-9619,-5115,-2585,-11319,-8605,-5877,-2619,-10551,-8025,-5432,-2683,-11466,-8056,-5401,-2717,
所得税费用(万元),90,--,--,--,--,--,49,44,44,45,329,9,9,-6,68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
净利润(万元),140,-128,-3733,-526,-430,-221,-2092,-241,91,330,2157,-247,-187,-139,260361,-10081,-9166,-1538,-14581,-7104,-4707,-2342,-10729,-7299,-4879,-2339,-12974,-9619,-5115,-2585,-11319,-8605,-5877,-2619,-10551,-8025,-5432,-2683,-11466,-8056,-5401,-2717,
归属于母公司所有者的净利润(万元),140,-128,-3733,-526,-430,-221,-2092,-241,91,330,2157,-247,-187,-139,260361,-10081,-9166,-1538,-14581,-7104,-4707,-2342,-10729,-7299,-4879,-2339,-12974,-9619,-5115,-2585,-11319,-8605,-5877,-2619,-10551,-8025,-5432,-2683,-11466,-8056,-5401,-2717,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,
基本每股收益,0,-0.01,-0.1,-0.01,-0.01,-0.01,-0.06,-0.01,0.01,0.01,0.08,-0.01,-0.01,-0.01,10.09,-0.39,-0.36,-0.06,-0.57,-0.28,-0.18,-0.09,-0.42,-0.28,-0.19,-0.09,-0.5,-0.37,-0.2,-0.1,-0.44,-0.33,-0.23,-0.1,-0.41,-0.31,-0.21,-0.1,-0.44,-0.31,-0.21,-0.11,
稀释每股收益,0,-0.01,-0.1,-0.01,-0.01,-0.01,-0.06,--,0.01,0.01,0.08,-0.01,-0.01,-0.01,10.09,--,--,--,--,-0.28,-0.18,-0.09,-0.42,-0.28,-0.19,-0.09,-0.44,-0.37,-0.2,-0.1,-0.44,-0.33,-0.23,-0.1,-0.41,0,-0.21,-0.1,-0.44,--,--,--,
