报告日期,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,
营业总收入(万元),1678,2329,1577,2428,1458,2270,1051,2221,442,2908,1208,2900,733,2579,1029,2279,1196,2718,898,1104,151,432,
营业收入(万元),1678,2329,1577,2428,1458,2270,1051,2221,442,2908,1208,2900,733,2579,1029,2279,1196,2718,898,1104,151,432,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),2067,8279,1836,950,1859,9349,1364,5957,892,4014,1709,4380,1229,2992,1397,3381,1731,3008,1116,15711,685,1270,
营业成本(万元),1498,2198,1297,1980,1272,1593,795,1768,358,2077,1204,2214,640,1765,823,1855,1086,2031,604,586,91,219,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),--,28,14,28,16,35,15,31,18,32,15,27,12,22,11,15,8,24,10,31,11,28,
销售费用(万元),0,4,3,4,3,--,--,7,7,9,--,10,5,11,5,9,5,10,5,8,6,14,
管理费用(万元),557,1132,521,1371,565,1267,551,1218,501,1291,484,1207,565,1234,559,1257,628,1294,495,1146,590,1179,
财务费用(万元),11,5136,1,-2766,3,6980,2,3006,7,482,7,1000,8,224,-1,244,5,-888,2,10374,-13,233,
资产减值损失(万元),--,-218,--,333,--,-526,--,-73,--,124,--,-78,--,-264,--,1,--,538,--,3567,--,-403,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-389,-5950,-259,1478,-400,-7079,-313,-3736,-450,-1105,-501,-1480,-496,-413,-368,-1102,-535,-290,-218,-14607,-534,-838,
