报告日期,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),29630,14841,51271,24695,11426,44397,32790,30017,28903,
营业收入(万元),29630,14841,51271,24695,11426,44397,32790,30017,28903,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),25018,12802,43399,20769,10055,33661,25436,22825,18854,
营业成本(万元),17743,8794,30254,14730,6798,23547,16788,14804,14103,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),1672,846,3692,1803,1008,2649,2351,1412,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),242,108,476,230,110,418,335,302,196,
销售费用(万元),1005,427,2100,900,450,1257,778,583,629,
管理费用(万元),4393,2408,6259,2823,1286,4981,4345,4522,3425,
财务费用(万元),-37,100,-170,92,270,168,-10,15,363,
资产减值损失(万元),--,116,788,191,133,640,848,1188,138,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),461,164,--,--,--,214,33,1,38,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),5091,2236,8610,3946,1535,10902,7375,7193,10087,
营业外收入(万元),791,517,392,607,76,618,2230,502,415,
营业外支出(万元),121,38,28,8,5,21,1413,5,11,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,
利润总额(万元),5761,2715,8974,4546,1606,11499,8192,7689,10491,
所得税费用(万元),811,334,1141,625,142,1623,1199,1534,1694,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),4950,2382,7833,3921,1463,9875,6993,6155,8797,
归属于母公司所有者的净利润(万元),4953,2382,7846,3928,1467,9901,7047,6155,8797,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-3,-1,-13,-7,-3,-26,-54,--,--,
基本每股收益,0.24,0.14,0.58,0.29,0.11,0.73,0.61,--,--,
稀释每股收益,0.24,0.14,0.58,0.29,0.11,0.73,0.61,--,--,
