报告日期,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),29034,19307,9605,42728,32454,22070,10919,46408,33195,21546,10727,45103,32553,21728,10513,45236,33004,22276,11559,40189,26598,16345,4374,19761,13735,9215,4530,19155,13713,9040,4424,18892,13615,8869,4449,18590,13429,9057,4408,10921,5964,2807,1438,
营业收入(万元),29034,19307,9605,42728,32454,22070,10919,46408,33195,21546,10727,45103,32553,21728,10513,45236,33004,22276,11559,40189,26598,16345,4374,19761,13735,9215,4530,19155,13713,9040,4424,18892,13615,8869,4449,18590,13429,9057,4408,10921,5964,2807,1438,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,
营业总成本(万元),25071,16326,8077,36918,26904,17772,8859,40128,28638,18920,9185,40454,29272,19565,9470,41098,29064,19304,9596,36068,24125,14760,4291,18795,12832,8732,4273,17980,12827,8325,3981,17572,12321,8060,3877,16703,12007,8072,3878,9439,5047,2561,1008,
营业成本(万元),19339,12582,6224,28211,20600,13767,6867,32382,22994,15178,7275,30964,22235,14782,7240,30162,21230,14028,6966,25771,17813,10934,3341,13921,9880,6762,3313,13174,9701,6269,2919,12484,9109,5924,2794,11664,8322,5576,2663,6674,3352,1538,751,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,
营业税金及附加(万元),463,308,160,354,164,1,1,14,13,10,9,37,25,24,--,6,0,--,--,6,1,0,0,18,10,7,2,17,8,5,3,17,4,3,0,14,10,0,0,29,--,0,0,
销售费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,941,0,--,--,1029,0,
管理费用(万元),3524,2238,1044,4946,3431,2153,1058,3424,2374,1546,772,3138,2181,1487,572,3047,1795,1199,592,2697,1394,873,412,2543,1348,911,441,2189,1270,815,432,2427,1508,1030,489,2027,1336,0,426,1814,1508,0,258,
财务费用(万元),1744,1198,649,3409,2710,1851,933,4329,3281,2210,1129,6329,4833,3273,1658,7877,6038,4077,2038,7577,4918,2952,538,2229,1594,1052,517,2510,1848,1236,627,2590,1699,1104,593,2975,2338,1556,788,915,186,-5,-1,
资产减值损失(万元),--,--,--,-1,-0,--,--,-22,-24,-24,--,-13,-2,--,--,6,--,--,--,18,--,--,--,86,--,--,--,90,--,--,0,55,--,0,--,24,--,0,0,7,--,0,0,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,0,0,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,14,--,--,--,0,--,0,0,2599,2420,2434,242,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,2436,--,2434,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,0,--,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,
营业利润(万元),3963,2982,1528,5810,5550,4298,2060,6281,4557,2626,1542,4649,3281,2163,1043,4138,3940,2972,1963,4121,2473,1586,83,966,903,483,257,1175,886,715,443,1335,1294,809,572,1886,1423,985,531,4081,3338,2680,671,
营业外收入(万元),1974,1949,1046,5274,129,0,--,4474,137,--,--,4652,117,14,14,4224,75,75,--,240,132,125,--,168,9,9,--,150,52,32,0,5,--,0,--,24,--,0,0,--,--,0,0,
营业外支出(万元),524,197,0,1036,405,399,6,253,4,0,0,98,4,1,0,94,12,0,0,192,0,0,--,178,7,7,--,56,22,0,0,27,3,3,0,119,--,3,3,192,0,0,0,
非流动资产处置损失(万元),1,1,0,100,0,--,6,248,4,0,--,88,1,1,--,85,1,0,0,0,0,--,--,76,7,--,--,--,1,--,0,24,--,--,--,11,--,0,0,192,--,0,0,
利润总额(万元),5414,4733,2573,10048,5274,3899,2054,10502,4690,2626,1542,9203,3394,2176,1057,8269,4003,3047,1962,4169,2605,1710,83,956,905,485,257,1269,916,746,442,1312,1291,805,572,1791,1423,982,528,3889,3338,2680,671,
所得税费用(万元),886,738,403,1715,931,690,341,505,787,453,406,2157,884,658,257,2009,1010,758,482,1079,695,427,6,205,-44,-42,27,339,198,139,55,124,102,81,53,223,37,15,40,114,--,-76,63,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,
净利润(万元),4528,3995,2170,8333,4343,3209,1713,9997,3903,2173,1136,7046,2510,1517,800,6260,2993,2289,1480,3090,1910,1283,78,751,949,527,230,930,718,608,387,1188,1189,725,519,1568,1386,967,488,3775,3338,2966,608,
归属于母公司所有者的净利润(万元),2027,1908,1078,3653,1903,1366,777,5071,1709,920,546,3730,1167,620,414,3521,1873,1555,1149,1760,953,715,59,682,606,377,185,727,674,519,333,941,939,517,403,1309,1276,870,457,3685,3574,2966,607,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
少数股东损益(万元),2501,2087,1092,4680,2439,1843,936,4926,2194,1253,590,3316,1343,898,386,2738,1119,734,332,1330,957,568,19,69,343,149,45,203,44,89,54,247,250,207,116,259,110,97,31,90,-236,-210,1,
基本每股收益,0.08,0.08,0.04,0.15,--,0.06,0.03,0.21,0.07,0.04,0.02,0.15,0.05,0.03,0.02,0.14,0.08,0.06,0.05,0.07,0.04,0.03,0,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.01,0.04,0.04,0.02,0.02,0.05,0.05,0.04,0.02,0.15,0.15,0.12,0.03,
稀释每股收益,0.08,0.08,0.04,0.15,--,0.06,0.03,0.21,0.07,0.04,0.02,0.15,0.05,0.03,0.02,0.14,0.08,0.06,0.05,0.07,0.04,0.03,0,0.03,0.03,0.02,0.01,0.03,0.03,0.02,0.01,0.04,0.04,0.02,0.02,0.05,0.05,0.04,0.02,0.15,0.15,0.12,0.03,
