报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),659112,370384,172943,821168,592639,384057,186591,861358,676104,430804,197421,778081,566370,334244,158711,748454,547734,324948,142651,717040,533203,335178,166451,627538,468080,294855,137018,645782,473215,294721,143369,
营业收入(万元),659112,370384,172943,821168,592639,384057,186591,861358,676104,430804,197421,778081,566370,334244,158711,748454,547734,324948,142651,717040,533203,335178,166451,627538,468080,294855,137018,645782,473215,294721,143369,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,--,--,--,--,
营业总成本(万元),577147,342775,167933,778840,553519,365916,182503,850277,651005,416232,190930,748545,551938,336183,158715,714838,496614,310312,146105,783522,577074,354399,163489,560964,414404,264900,125568,549428,399088,248732,121861,
营业成本(万元),530553,310299,152706,702787,504562,334255,164999,783989,605852,387108,176073,687303,508078,307366,144199,618062,448163,277048,129539,707961,524281,319251,148299,505721,374549,238265,113174,493694,362001,224109,110384,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),4341,2365,919,4918,3069,1537,1633,4468,3626,2312,1155,3934,2715,1415,623,4975,3675,2254,1006,4400,3617,2606,1451,5997,4519,2912,1332,6114,4622,2696,1447,
销售费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,0,--,--,--,--,
管理费用(万元),26357,18373,9130,43581,26720,17564,9530,37141,24406,15900,8413,33665,23322,15672,7987,30769,19544,13486,6647,33935,23893,17564,7263,34228,22203,15065,7326,32138,21087,14219,6859,
财务费用(万元),15727,11615,5177,25746,19165,12557,6341,24809,17119,10909,5287,23776,17816,11723,5899,32111,25233,17525,8914,36296,25283,14979,6476,18054,13133,8659,3736,15851,11187,7518,3170,
资产减值损失(万元),169,123,--,1808,3,3,--,-129,2,2,2,-134,7,7,7,28921,--,0,0,930,--,0,--,-3035,--,--,0,1632,190,190,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,227,227,78,183,-227,-77,--,0,--,--,--,--,
投资收益(万元),54852,38427,8369,50926,43165,30429,13934,23563,19168,16902,8398,32608,26466,15293,4053,32883,25154,15967,3199,49950,56426,58179,28881,29084,14735,6903,2474,21171,14307,6436,2769,
对联营企业和合营企业的投资收益(万元),41598,25174,8369,32939,25303,12442,5254,10674,6167,4569,3451,25274,20823,11632,3679,26555,19979,14324,3199,-7553,528,3520,5327,24888,12136,6903,2474,19529,12645,5974,2769,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,--,--,--,--,
