 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31, 
 销售商品、提供劳务收到的现金(万元),59,2,145,150,120,120,1259,1259,2368,80,250,27,--,--,--,--,--,--,--,--,0, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 收到的其他与经营活动有关的现金(万元),2,2,20,9,0,8,54,168,287,84,20,6,220,81,144,62,101,56,52,26,103, 
 经营活动现金流入小计(万元),61,4,165,159,120,128,1314,1427,2655,164,270,34,220,81,144,62,101,56,52,26,103, 
 购买商品、接受劳务支付的现金(万元),51,38,63,52,37,37,177,155,689,49,89,57,4,--,--,--,--,--,--,--,0, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 支付给职工以及为职工支付的现金(万元),72,50,140,111,86,37,303,242,172,90,456,387,9,13,30,14,26,10,17,7,25, 
 支付的各项税费(万元),4,4,20,1,1,--,370,370,143,141,35,13,1756,--,--,--,--,--,--,--,0, 
 支付的其他与经营活动有关的现金(万元),36,5,62,58,51,213,1551,1541,41,32,4244,1920,15,59,110,46,72,40,37,19,74, 
 经营活动现金流出小计(万元),163,96,285,221,175,288,2400,2307,1046,312,4823,2378,1784,72,141,60,98,49,54,26,100, 
 经营活动产生的现金流量净额(万元),-103,-92,-120,-63,-54,-159,-1086,-880,1609,-148,-4554,-2344,-1564,9,3,2,3,7,-2,-0,4, 
 收回投资所收到的现金(万元),--,--,200,200,200,200,--,--,--,100,--,--,--,--,--,--,--,--,--,--,0, 
 取得投资收益所收到的现金(万元),--,--,16,11,11,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,296,96,--,--,--,--,327,--,--,--,--,--,--,--,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,23900,--,--,--,--,--,--,--,--,--,--,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 投资活动现金流入小计(万元),0,0,216,211,211,211,296,96,0,24000,0,0,327,0,0,0,0,0,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),--,--,--,--,--,--,60,60,286,1,1,0,3,3,1,0,0,--,--,--,2, 
 投资所支付的现金(万元),2000,2000,--,200,200,--,100,100,256,100,100,--,--,--,--,--,--,--,--,--,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,38005,--,--,--,--,--,--,--,--,--,--,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 投资活动现金流出小计(万元),2000,2000,200,200,200,0,160,160,542,38106,101,0,3,3,1,0,0,0,0,0,2, 
 投资活动产生的现金流量净额(万元),-2000,-2000,16,11,11,211,136,-64,-542,-14106,-101,-0,323,-3,-1,-0,-0,0,0,0,-2, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,4376,3900,1753,--,--,--,--,--,--,--,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 收到其他与筹资活动有关的现金(万元),2000,2000,--,--,--,--,--,--,--,26396,--,--,--,--,--,--,--,--,--,--,0, 
 筹资活动现金流入小计(万元),2000,2000,0,0,0,0,0,0,0,26396,4376,3900,1753,0,0,0,0,0,0,0,0, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,12291,--,--,--,--,--,--,--,--,--,--,0, 
 筹资活动现金流出小计(万元),0,0,0,0,0,0,0,0,0,12291,0,0,0,0,0,0,0,0,0,0,0, 
 筹资活动产生的现金流量净额(万元),2000,2000,0,0,0,0,0,0,0,14105,4376,3900,1753,0,0,0,0,0,0,0,0, 
 汇率变动对现金及现金等价物的影响(万元),0,-1,2,2,0,-1,-1,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 现金及现金等价物净增加额(万元),-103,-93,-103,-50,-43,50,-951,-943,1067,-149,-279,1556,512,6,2,2,2,7,-2,-0,2, 
 加:期初现金及现金等价物余额(万元),262,262,364,364,364,364,1315,1315,248,248,527,527,15,15,12,12,10,10,12,1612,1610, 
 期末现金及现金等价物余额(万元),159,169,262,314,321,415,364,372,1315,99,248,2083,527,21,15,14,12,17,10,1612,1612, 
 净利润(万元),-9,--,39,--,-96,--,207,244,893,180,79439,-117,146,-904,-1694,-817,-1774,-880,-8409,-3282,-1711, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 资产减值准备(万元),0,--,0,--,0,--,0,0,0,--,-15,-4,-24,-9,-82,-75,1,-6,6756,2433,-88, 
