 报告日期,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),2936345,1507087,5310971,3609045,2059309,1101031,4708653,3641197,2501605,1325976,3565992,3265429,2164414,669138,2739412,2237663,1402960,528161,2938603,2273557,1621915,607383,2046927,1870640,1198667,332500,986413,930747,985275,240039, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 收到的税费返还(万元),105681,42831,261030,226033,152897,76447,274510,211538,165061,96955,150713,82844,71076,32943,44447,32786,24104,14792,146866,112317,43762,20496,68208,47498,32982,16737,38680,34176,25368,11901, 
 收到的其他与经营活动有关的现金(万元),72524,27651,250293,101366,57026,26333,133951,94309,56315,39239,306322,236466,90389,12643,56717,21968,18259,8649,50577,23547,9722,3063,18935,11836,5986,3400,10881,7339,3394,1967, 
 经营活动现金流入小计(万元),3114549,1577569,5822294,3936444,2269231,1203811,5117114,3947044,2722981,1462170,4023026,3584740,2325879,714724,2840576,2292417,1445323,551602,3136046,2409421,1675400,630942,2134070,1929973,1237636,352636,1035974,972262,1014037,253907, 
 购买商品、接受劳务支付的现金(万元),1572043,1002666,3830783,2675875,1425608,1103472,3091589,2287420,1528186,1081864,2077884,1723939,1240363,429533,1702291,1335424,818951,333637,1965704,1524980,1138301,483406,1400311,1399920,869780,255279,554087,591519,706441,177524, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,0,--,--,--,--,--,--,0, 
 支付给职工以及为职工支付的现金(万元),266910,149146,394070,297950,190810,109467,424530,289584,200571,118594,340460,203587,118839,86118,192629,140543,97711,46234,182686,132824,80559,37552,123190,79370,52609,26249,69314,42361,28682,11096, 
