 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2010-03-31,2009-12-31,2009-06-30, 
 销售商品、提供劳务收到的现金(万元),108,8338,8374,7913,4592,22088,16538,15992,12624,8365,2402,2110,1600,270,--,--,--,--,0,0,0,99,116,114,370,102,32,200,--,0,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 拆入资金净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 收到的税费返还(万元),--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,--,0,--,--,--,0,--,--,--,--,0,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1379,1168,1065,742,406,24,11975,6418,4141,120,5,4,4,4143,99,1537,14,822,610,580,128,1039,881,836,1059,473,349,--,0,81,233,43,19,59,21, 
 经营活动现金流入小计(万元),1487,9506,9440,8655,4997,22112,28513,22410,16765,8485,2407,2114,1604,4413,99,1538,14,822,610,580,128,1138,996,950,1429,575,381,200,0,81,233,43,19,59,21, 
 购买商品、接受劳务支付的现金(万元),23,7729,7831,7813,4589,21011,17531,17086,13415,4688,824,459,276,--,--,--,--,--,0,0,0,82,82,82,97,30,--,--,--,0,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 支付保单红利的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1,79,80,52,18,197,159,81,39,762,307,82,36,41,36,18,9,42,32,23,13,100,84,65,100,40,18,57,28,15,49,22,9,19,7, 
 支付的各项税费(万元),31,39,51,34,23,1152,517,496,225,1060,242,190,179,1,1,--,0,0,0,0,0,6,4,4,20,4,--,13,1,0,0,--,--,--,--, 
 支付的其他与经营活动有关的现金(万元),1685,1628,1646,997,524,1019,11519,5366,3583,688,1205,1177,860,4162,62,1520,4,781,578,557,115,963,838,812,1096,488,367,114,65,42,102,23,10,46,16, 
 经营活动现金流出小计(万元),1740,9475,9609,8897,5154,23379,29726,23028,17262,7198,2578,1908,1351,4203,99,1538,14,823,610,580,129,1151,1008,963,1313,562,385,184,94,58,151,45,19,65,23, 
 经营活动产生的现金流量净额(万元),-252,31,-169,-242,-157,-1267,-1213,-619,-497,1287,-171,206,253,209,0,-0,0,-1,-1,-1,-0,-13,-12,-13,116,12,-4,16,-94,23,82,-2,--,-6,-2, 
 收回投资所收到的现金(万元),--,0,10,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,60,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,4,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,--,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),--,20,1,1,--,15,10,10,--,5,--,--,--,23,--,--,--,--,--,0,--,1,1,1,6,2,--,1,1,0,23,--,--,--,--, 
 投资所支付的现金(万元),--,0,--,--,--,--,1210,1210,1200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--, 
