 报告日期,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-06-30, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,1698,739,0,14497, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 处置交易性金融资产净增加额(万元),68728,66945,-31374,352755,486890,363976,14870,-727174,-327774,-191973,-127611,-57902,-9651,-120532,-94078,80983,135665,47072,106916,-198590,-16216,-18450,19798,-277354,-62276,-55312,-98731,106458,61569,26855,-33718,43748,--, 
 收取利息、手续费及佣金的现金(万元),284158,181304,89013,333299,233553,153433,81232,262032,184134,123941,64688,232970,191023,144187,70897,280522,204518,141688,70997,266239,187221,110419,47694,167091,132074,98449,54854,262140,203525,129009,22866,34646,13850, 
 拆入资金净增加额(万元),--,--,--,265800,277300,79300,105300,120000,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 回购业务资金净增加额(万元),768611,462341,367399,-323204,-213643,-165748,135830,123482,7536,26568,101641,160090,-19263,122813,104501,-32515,-118204,-83190,-3540,84702,44303,9488,-5000,80000,-26180,-7600,--,0,0,--,0,-18514,-15929, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,0,0,--,0,0,--, 
 收到的其他与经营活动有关的现金(万元),38951,13978,22314,15835,30824,24516,25930,82365,26201,1427,72343,32610,25134,24422,4029,2844,1548,1052,36183,908527,771482,170141,273332,150079,156812,149690,50754,1197422,1258240,1066548,293527,263761,4066, 
