 报告日期,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),49457,289804,231285,157874,83820,190203,177501,117515,62651,180894,242438,107148,72546, 
 客户存款和同业存放款项净增加额(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 向中央银行借款净增加额(万元,--,--,--,0,--,--,--,--,--,--,--,--,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 收到再保险业务现金净额(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 保户储金及投资款净增加额(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 处置交易性金融资产净增加额(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 拆入资金净增加额(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 回购业务资金净增加额(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 收到的税费返还(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 收到的其他与经营活动有关的现金(万元),184,1837,1185,484,254,53874,1132,406,118,42364,647,425,99, 
 经营活动现金流入小计(万元),49641,291641,232470,158357,84073,244077,178633,117920,62769,223257,243085,107572,72645, 
 购买商品、接受劳务支付的现金(万元),49454,279968,216467,144686,74541,158965,152323,100369,49924,156944,215391,89270,73405, 
 客户贷款及垫款净增加额(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 支付保单红利的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 支付给职工以及为职工支付的现金(万元),4678,19360,15021,10160,5389,25206,17006,10948,5715,21275,15501,10082,5295, 
 支付的各项税费(万元),2751,2304,2304,2084,1066,12778,8700,7408,2496,13728,9360,6072,1635, 
 支付的其他与经营活动有关的现金(万元),932,4326,2948,1463,819,53321,3024,1745,654,30383,3143,2162,1023, 
 经营活动现金流出小计(万元),57815,305958,236739,158394,81816,250272,181053,120470,58788,222331,243395,107587,81358, 
 经营活动产生的现金流量净额(万元),-8174,-14317,-4269,-36,2257,-6195,-2420,-2550,3981,927,-310,-14,-8713, 
 收回投资所收到的现金(万元),--,2240,2240,2240,2240,1196,431,431,--,--,--,--,0, 
 取得投资收益所收到的现金(万元),--,--,--,0,--,--,--,--,--,57,57,57,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,0,--,--,--,--,--,1,1,--,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),--,2240,2240,2240,2240,1196,431,431,--,58,58,57,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),15,689,612,457,124,616,494,426,280,544,835,170,319, 
 投资所支付的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 质押贷款净增加额(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 支付的其他与投资活动有关的现金(万元),--,9,9,100,8,--,--,--,--,--,--,--,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),15,698,621,557,132,616,494,426,280,544,835,170,319, 
 投资活动产生的现金流量净额(万元),-15,1542,1619,1683,2108,580,-64,5,-280,-487,-777,-114,-319, 
 吸收投资收到的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 取得借款收到的现金(万元),18000,66900,39950,10950,10950,65140,50950,26950,21950,44800,32950,26950,21950, 
 发行债券收到的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 收到其他与筹资活动有关的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 筹资活动现金流入小计(万元),18000,66900,39950,10950,10950,65140,50950,26950,21950,44800,32950,26950,21950, 
 偿还债务支付的现金(万元),8000,52900,35950,11950,11950,59990,51950,26950,21950,43900,32950,26950,13950, 
 分配股利、利润或偿付利息所支付的现金(万元),1060,3701,2395,1619,789,2799,2081,1369,659,2692,2033,1386,681, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 支付其他与筹资活动有关的现金(万元),--,--,--,0,--,--,--,--,--,--,--,--,2, 
 筹资活动现金流出小计(万元),9060,56601,38345,13569,12739,62789,54031,28319,22609,46592,34983,28336,14634, 
 筹资活动产生的现金流量净额(万元),8940,10299,1605,-2619,-1789,2351,-3081,-1369,-659,-1792,-2033,-1386,7316, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 现金及现金等价物净增加额(万元),750,-2475,-1045,-972,2577,-3264,-5564,-3914,3042,-1353,-3120,-1514,-1716, 
 加:期初现金及现金等价物余额(万元),5659,8135,8135,8135,8135,11398,11398,11398,11398,12751,12751,12751,12751, 
 期末现金及现金等价物余额(万元),6410,5659,7089,7163,10711,8135,5834,7484,14440,11398,9631,11237,11035, 
 净利润(万元),0,-39273,0,-5744,--,2967,--,903,--,-22714,--,-1855,0, 
 少数股东损益(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 未确认的投资损失(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,8292,--,-407,--,2719,--,-37,--,27152,--,-2,0, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),0,5058,0,2563,--,6205,--,3055,--,4331,--,1883,0, 
 无形资产摊销(万元),--,200,--,99,--,226,--,113,--,227,--,114,0, 
 长期待摊费用摊销(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 待摊费用的减少(万元),--,--,--,0,--,--,--,--,--,--,--,-53,0, 
 预提费用的增加(万元),--,--,--,0,--,--,--,--,--,--,--,433,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,307,--,7,--,-386,--,7,--,121,--,101,0, 
 固定资产报废损失(万元),--,-151,--,0,--,--,--,--,--,--,--,--,0, 
 公允价值变动损失(万元),--,--,--,0,--,--,--,--,--,--,--,--,0, 
 递延收益增加(减：减少)(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,0,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,3707,--,1780,--,2854,--,1369,--,2707,--,1386,0, 
 投资损失(万元),--,-2164,--,-2164,--,215,--,-171,--,-432,--,-57,0, 
 递延所得税资产减少(万元),--,6543,--,161,--,842,--,392,--,-3997,--,-56,0, 
 递延所得税负债增加(万元),0,0,0,0,--,--,--,25,--,--,--,--,0, 
 存货的减少(万元),--,-12982,--,-11460,--,-27471,--,-8334,--,10325,--,1327,0, 
