 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2011-03-31,2010-12-31,2010-09-30, 
 销售商品、提供劳务收到的现金(万元),7857,4590,77601,35910,24035,18022,46571,18420,6604,41269,5966,871,1238,342,2032,1311, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 收到的税费返还(万元),336,2,--,254,--,--,0,--,--,--,--,--,--,0,--,0, 
 收到的其他与经营活动有关的现金(万元),5300,2933,5840,7236,5465,2041,5291,4103,1894,4115,2211,2180,46,663,1158,2477, 
 经营活动现金流入小计(万元),13494,7525,83441,43400,29499,20063,51863,22522,8498,45384,8177,3051,1284,1005,3190,3787, 
 购买商品、接受劳务支付的现金(万元),6371,3041,69873,33263,26672,16223,40610,14856,5528,49606,15183,8222,559,201,1263,812, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 支付给职工以及为职工支付的现金(万元),1041,547,1908,1078,353,141,1171,667,288,499,376,239,187,102,364,304, 
 支付的各项税费(万元),1211,561,2574,2682,582,786,2365,1840,944,470,139,115,125,24,177,128, 
 支付的其他与经营活动有关的现金(万元),5196,3644,8727,6797,4116,1946,2553,2766,427,5002,2725,2636,881,714,1722,2819, 
 经营活动现金流出小计(万元),13818,7793,83082,43821,31722,19095,46699,20129,7188,55577,18423,11212,1752,1041,3526,4063, 
 经营活动产生的现金流量净额(万元),-324,-269,359,-421,-2223,967,5164,2393,1310,-10193,-10246,-8161,-468,-36,-336,-276, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,3000,--,--,--,0,--,0, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,1500,--,--,--,0,--,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,125,125,--,125,--,--,--,0,0,0,1,0,--,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,280,0,--,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 投资活动现金流入小计(万元),0,0,125,125,0,125,0,0,0,4500,0,0,281,0,--,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),362,134,1174,244,195,6,335,47,1,194,256,189,--,0,11,0, 
