 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),27593,12032,52477,37622,23011,12082,41876,30201,19424,9165,36636,19697,13201,5231,32376,22528,13210,37,--,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,12,12,12,--,25,25,25,10,14,14,14,--,79,131,49,--,--,--, 
 收到的其他与经营活动有关的现金(万元),327,270,1584,789,429,171,476,915,330,112,587,396,275,833,1550,4618,282,128,--,147, 
 经营活动现金流入小计(万元),27920,12302,54073,38422,23452,12253,42377,31141,19779,9287,37237,20107,13489,6064,34005,27277,13541,164,0,147, 
 购买商品、接受劳务支付的现金(万元),18410,6571,31498,25598,15771,10047,22394,18575,11035,5024,23857,16563,10581,5567,22758,16360,10109,9,--,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),6910,3971,10710,7752,5029,1678,5280,3677,2462,1252,4735,3494,2354,1272,4165,3247,2262,30,--,2, 
 支付的各项税费(万元),1706,1083,3601,2692,2049,1310,3858,2847,1966,1484,1763,1314,859,639,1933,1717,1064,6,--,--, 
 支付的其他与经营活动有关的现金(万元),2869,988,5739,2417,2330,1143,4312,5137,3512,1216,3687,2330,1962,1522,4963,6977,2454,40,--,145, 
 经营活动现金流出小计(万元),29895,12613,51549,38459,25179,14178,35844,30235,18976,8976,34042,23702,15756,8999,33819,28301,15889,85,0,147, 
 经营活动产生的现金流量净额(万元),-1975,-311,2524,-37,-1727,-1925,6533,905,803,311,3195,-3594,-2267,-2935,185,-1024,-2348,79,0,0, 
 收回投资所收到的现金(万元),449,--,--,--,--,--,13,--,--,--,--,--,--,--,632,84,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,258,258,--,--,--, 
