 报告日期,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),223944,100606,54172,18542,211943,100409,65589,27981,182243,83224,49373,21435,162758,64592,36703,16553,165876,79414,37065,11768,131143,58090,29039,7852,106781,57726,33659,13224,121770,50660,21822,8504,88265,43352,26435,9577,75371,33133,13764,6354,68003,40938,22395,10766, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 收到的税费返还(万元),3089,1864,468,15,2859,1491,431,80,2859,1158,683,22,2122,1183,258,22,1553,279,--,--,115,92,38,3,303,280,227,5,347,282,83,30,686,440,0,--,323,81,38,38,472,259,108,41, 
 收到的其他与经营活动有关的现金(万元),12011,9932,5828,1713,13673,27410,5963,1865,11582,9926,7082,1500,7146,10302,6200,1945,7787,6600,4894,638,4258,4662,3370,793,3939,1803,1593,420,4640,4124,3819,388,10854,26449,15757,11250,4304,1397,993,543,4585,6079,6532,2394, 
 经营活动现金流入小计(万元),239044,112402,60469,20270,228474,129311,71983,29926,196684,94309,57138,22956,172025,76077,43161,18519,175216,86293,41959,12405,135515,62844,32447,8648,111024,59808,35478,13650,126757,55066,25724,8921,99805,70241,42192,20827,79998,34610,14794,6935,73059,47276,29036,13201, 
 购买商品、接受劳务支付的现金(万元),138630,106199,74950,37247,149180,110174,75547,34611,126784,89171,62049,34001,133031,76247,51106,29022,137275,86114,48975,25055,95994,61414,34851,17049,82765,55246,35004,15812,101764,51066,20930,8166,67699,37241,26600,13578,58452,28820,10810,7402,47592,37669,23511,13994, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,0,--,0,0, 
