 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31, 
 销售商品、提供劳务收到的现金(万元),18412,5280,16490,--,124,126,938,587,278,10,138, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1,1,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),4812,1747,666,--,--,18,35478,--,27,10,--, 
 经营活动现金流入小计(万元),23225,7028,17156,0,124,144,36415,587,305,20,138, 
 购买商品、接受劳务支付的现金(万元),15144,4007,9644,--,137,72,764,678,192,--,126, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2448,1182,1143,22,56,31,159,58,13,5,5, 
 支付的各项税费(万元),923,381,86,--,1,12,389,45,0,2,--, 
 支付的其他与经营活动有关的现金(万元),6736,3741,1779,128,134,41,35424,975,96,--,0, 
 经营活动现金流出小计(万元),25251,9311,12652,150,328,157,36736,1756,301,6,132, 
 经营活动产生的现金流量净额(万元),-2026,-2283,4504,-150,-204,-13,-320,-1168,3,14,6, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,2320,--,--,--,--,--,941,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,2320,0,0,0,0,0,941,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1,1,6,--,0,4,376,8,--,--,--, 
 投资所支付的现金(万元),300,300,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
