 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30, 
 销售商品、提供劳务收到的现金(万元),7118,475,8446,5450,4133,2832,7763,6342,4965,2257,19365,16574,13765,7149,28347,29098,22586,8921,55408,49346,30162,14086,41579,23528,1946,1228,5660,4130,2508,1273,3054,2077,--,--,--,--,0,--,0,0,--,--,1431,1187,680,646,6335,4275,2860,0,11734,15796,9602, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,2122,0,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 收到的税费返还(万元),--,--,810,809,2,2,701,701,--,--,287,0,0,--,30,--,--,--,118,133,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 收到的其他与经营活动有关的现金(万元),3865,4054,11613,5013,4548,1604,2384,1306,949,576,2106,1136,806,261,4324,7217,4448,963,3159,3299,5263,6,5948,3645,3412,721,6656,376,213,2,2580,1157,229,4,4579,143,121,17,485,256,157,0,155,221,45,37,193,845,701,72,3983,154,103, 
 经营活动现金流入小计(万元),10983,4528,20869,11271,8683,4438,10849,8349,5914,2833,21758,17710,14571,7410,32701,36315,27034,9884,58685,52778,35441,14092,47527,27173,5358,1950,12316,4507,2721,1275,5634,3234,229,4,4579,143,121,17,485,256,157,0,1586,1408,725,683,6528,5120,3561,2193,15717,15951,9705, 
 购买商品、接受劳务支付的现金(万元),2374,579,12373,1096,239,199,12615,9386,266,-1354,8632,3778,3034,2734,17963,22303,17828,8520,59977,52282,36343,16424,59041,38424,17108,1238,3323,2611,1500,555,2244,1760,175,87,384,--,0,--,0,0,--,--,318,4,4,0,1922,2092,1247,1174,10289,8902,4918, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 支付给职工以及为职工支付的现金(万元),1169,436,1670,1583,1114,641,1636,1110,805,489,1948,1632,1097,406,1131,779,530,293,1024,569,367,184,815,424,194,106,236,178,127,50,83,56,28,15,29,24,15,7,124,112,89,7,515,383,242,146,3198,2357,1847,1340,2650,2396,1404, 
 支付的各项税费(万元),287,192,3285,3017,2891,1811,873,725,554,314,1517,1382,1054,273,4138,3428,773,415,3467,2178,1451,797,3502,2289,1151,383,2486,1371,325,190,773,561,347,342,43,--,0,--,5,0,--,--,40,40,40,49,110,113,71,0,1320,740,--, 
 支付的其他与经营活动有关的现金(万元),5728,1480,85,3085,1046,400,4181,1986,1420,678,4213,2843,1700,927,7488,8157,4668,1970,7649,7565,1264,2320,4625,3684,3163,318,6710,1251,534,166,2587,1635,1744,149,7350,119,105,8,1049,143,45,32,1191,1581,365,111,2423,620,164,79,3222,461,459, 
 经营活动现金流出小计(万元),9558,2688,17413,8781,5290,3050,19304,13207,3045,128,16310,9635,6885,4340,30719,34667,23799,11198,72118,62594,39425,19725,67983,44820,21616,2044,12755,5411,2485,961,5687,4011,2294,592,7806,142,121,15,1177,255,134,39,2063,2008,651,306,7654,5182,3329,2594,17481,12500,6780, 
 经营活动产生的现金流量净额(万元),1425,1841,3457,2491,3393,1387,-8455,-4858,2869,2706,5448,8075,7685,3071,1981,1648,3236,-1313,-13433,-9816,-3984,-5633,-20455,-17647,-16257,-94,-439,-905,236,314,-53,-776,-2065,-588,-3227,0,0,2,-692,1,24,-38,-477,-599,74,377,-1126,-62,232,-400,-1764,3451,2924, 
 收回投资所收到的现金(万元),5690,2845,3123,1684,890,800,10500,--,--,--,--,--,--,--,--,--,--,--,3800,--,--,--,900,900,900,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 取得投资收益所收到的现金(万元),15,9,68,1742,5,--,249,--,--,--,2520,--,--,--,--,--,--,--,17,17,17,17,11,8,8,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),62,49,2816,2925,2925,2000,8703,8703,--,--,-288,--,--,--,2860,2750,--,--,8500,5020,3013,2000,18823,17224,13133,2207,10168,6168,--,--,--,97,97,--,4009,--,0,--,1844,0,--,--,30,30,--,--,--,--,--,0,543,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,1733,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5743,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,0,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5748,5748,--,--,300,0,--,--,--,--,--,1950,--,0,--,0,0,--,--,--,--,--,--,--,--,--,0,2502,--,--, 
