 报告日期,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),224899,139384,229188,142315,91849,68902, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),8,7,46,45,43,37, 
 收到的其他与经营活动有关的现金(万元),2371,562,1427,3675,386,962, 
 经营活动现金流入小计(万元),227278,139953,230661,146034,92277,69900, 
 购买商品、接受劳务支付的现金(万元),18557,12617,16686,12349,9791,10425, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),18865,12396,17604,10937,4907,2864, 
 支付的各项税费(万元),36326,22554,38992,23299,13892,8524, 
 支付的其他与经营活动有关的现金(万元),120520,74670,133137,87065,58159,43621, 
 经营活动现金流出小计(万元),194267,122237,206420,133651,86749,65434, 
 经营活动产生的现金流量净额(万元),33010,17716,24241,12383,5528,4466, 
 收回投资所收到的现金(万元),--,--,--,1165,6487,6022, 
 取得投资收益所收到的现金(万元),--,--,--,--,1,1, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),10,10,49,45,11,18, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),1246,592,103,413,--,453, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1257,602,152,1622,6499,6493, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),13908,8830,13497,5520,4019,3266, 
 投资所支付的现金(万元),--,--,--,2108,6989,5171, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,658,1785,--,--, 
 支付的其他与投资活动有关的现金(万元),677,232,931,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),14585,9062,15086,9413,11007,8437, 
 投资活动产生的现金流量净额(万元),-13329,-8459,-14934,-7791,-4509,-1944, 
 吸收投资收到的现金(万元),--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--, 
 取得借款收到的现金(万元),11000,8000,11000,14000,2913,4724, 
