 报告日期,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),1829930,940751,441078,3802652,3383014,2011504,943986,2871362,2066747,1379913,702949,2213901,1683304,1067817,447424, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 收到的税费返还(万元),0,0,--,--,--,--,--,0,0,--,0,0,--,--,0, 
 收到的其他与经营活动有关的现金(万元),652,1099,1446,2033,533,533,--,2277,5102,1987,612,7953,49,39,3, 
 经营活动现金流入小计(万元),1830582,941851,442525,3804685,3383547,2012038,943986,2873639,2071850,1381900,703561,2221854,1683353,1067856,447427, 
 购买商品、接受劳务支付的现金(万元),1509014,492964,300667,3246344,3035857,1721403,799797,2363842,1753194,1077015,500019,1618259,1300184,810444,412701, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 支付给职工以及为职工支付的现金(万元),80385,60003,25553,138055,74465,50756,28200,128094,70239,47657,29582,71449,48947,29686,16013, 
 支付的各项税费(万元),100573,63575,35420,122824,114319,77918,27813,214898,152115,104963,45619,183151,138532,104432,47475, 
 支付的其他与经营活动有关的现金(万元),7010,31847,3811,38711,53602,34054,5136,39447,40337,4473,16964,40378,50471,27370,13141, 
 经营活动现金流出小计(万元),1696983,648390,365451,3545934,3278242,1884131,860946,2746281,2015886,1234108,592185,1913237,1538134,971932,489330, 
 经营活动产生的现金流量净额(万元),133599,293460,77073,258750,105305,127907,83040,127358,55964,147791,111376,308617,145219,95925,-41903, 
 收回投资所收到的现金(万元),500,500,--,--,--,--,--,17500,63,--,0,17112,17112,17112,17112, 
 取得投资收益所收到的现金(万元),0,0,--,--,--,--,--,0,--,63,0,0,17826,17826,17826, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),274,142,64,3599,418,296,126,233,--,48,17,18310,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,0,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,0,--,--,--,--,--,0,2500,--,0,47,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 投资活动现金流入小计(万元),774,642,64,3599,418,296,126,17733,2563,111,17,35469,34938,34938,34938, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),161182,144376,75809,254827,184671,163182,136500,106144,51637,16145,5207,247947,122074,88829,82170, 
 投资所支付的现金(万元),--,0,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,0,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,0,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 投资活动现金流出小计(万元),161182,144376,75809,254827,184671,163182,136500,106144,51637,16145,5207,247947,122074,88829,82170, 
 投资活动产生的现金流量净额(万元),-160408,-143734,-75745,-251228,-184252,-162886,-136374,-88410,-49075,-16034,-5190,-212478,-87136,-53891,-47232, 
 吸收投资收到的现金(万元),--,0,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,0,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 取得借款收到的现金(万元),210000,130000,90000,235000,119566,--,56601,40000,--,--,0,30000,51000,46000,41000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 收到其他与筹资活动有关的现金(万元),0,0,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 筹资活动现金流入小计(万元),210000,130000,90000,235000,119566,--,56601,40000,--,--,0,30000,51000,46000,41000, 
 偿还债务支付的现金(万元),189266,141434,65218,214708,46008,11442,4566,113152,19448,4448,4448,89725,69725,50352,16000, 
 分配股利、利润或偿付利息所支付的现金(万元),17819,15037,5398,76627,67362,15430,7589,61790,42893,35270,4673,45146,37619,29813,6610, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 支付其他与筹资活动有关的现金(万元),10,0,--,970,2913,393,268,1188,0,--,0,41,--,--,--, 
 筹资活动现金流出小计(万元),207095,156471,70616,292305,116283,27266,12423,176130,62342,39719,9122,134912,107344,80165,22610, 
 筹资活动产生的现金流量净额(万元),2905,-26471,19384,-57305,3283,-27266,--,-136130,-62342,-39719,-9122,-104912,-56344,-34165,18390, 
 汇率变动对现金及现金等价物的影响(万元),--,0,--,-93,--,--,--,-588,--,--,0,0,--,--,--, 
 现金及现金等价物净增加额(万元),-23904,123255,20713,-49877,-75665,-62244,-9744,-97770,-55453,92038,97065,-8773,1740,7868,-70745, 
 加:期初现金及现金等价物余额(万元),157084,90538,157084,140415,185306,185306,140415,238185,311688,311688,311688,246958,246958,--,246958, 
 期末现金及现金等价物余额(万元),133180,213794,177797,90538,109641,123062,130671,140415,256235,403726,408753,238185,248698,--,176212, 
 净利润(万元),--,6933,0,59926,0,55481,--,96187,--,50117,0,94830,--,42927,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 资产减值准备(万元),--,-33096,--,33116,--,--,--,-765,--,--,0,4284,--,3218,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,42946,0,130519,0,64641,--,125201,--,63831,0,119246,--,58154,--, 
 无形资产摊销(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,0,--,--,0,-504,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,12560,--,-744,--,23760,--,-35,0,10734,--,--,--, 
 固定资产报废损失(万元),--,607,--,--,--,13378,--,0,--,40,0,0,--,-2,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,0,--,--,0,0,--,--,--, 
