 报告日期,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),41045,198613,129851,78131,38267,184948,126483,93116,41902,167109,159134,111936,47509,178818,142819,110951,41527,136081,145910,98492,35520,189014,119563,75683,34305,134319,90679,61093,26318, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),35,656,603,566,396,228,231,94,65,755,674,457,249,343,248,41,--,--,--,--,--,--,0,--,--,--,6,2,--, 
 收到的其他与经营活动有关的现金(万元),800,4307,4324,3042,2560,3017,4266,1160,317,2463,5998,1165,220,2791,1583,1434,42,2416,832,80,82,6545,760,891,308,4102,3386,2766,930, 
 经营活动现金流入小计(万元),41879,203577,134778,81739,41223,188192,130980,94370,42284,170327,165806,113558,47978,181952,144650,112426,41569,138497,146743,98572,35602,195558,120323,76574,34613,138421,94070,63861,27248, 
 购买商品、接受劳务支付的现金(万元),42613,165011,109483,74958,37653,154757,104993,75733,31136,138844,135721,91338,38128,154295,134783,103287,32578,101901,144572,93536,28024,155899,89590,54145,24807,103033,59927,39539,24435, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5841,15267,10483,7031,3812,13083,9247,6231,3563,9461,7702,5291,3021,7368,5745,3970,1794,7387,5526,3681,1993,7426,5308,3744,1949,5396,5211,3604,1912, 
 支付的各项税费(万元),2578,8054,6786,4916,2733,6454,4983,4134,1863,7321,4928,3515,1608,6535,4457,3459,1865,3040,3110,2394,817,4919,3466,1789,959,7807,3893,3037,1301, 
 支付的其他与经营活动有关的现金(万元),6956,14206,10854,7102,5232,8830,9292,6675,4177,8052,11943,7465,3603,11757,6782,3793,2371,12368,12973,5006,3465,14851,10685,9247,5042,13669,10879,8517,6202, 
 经营活动现金流出小计(万元),57988,202538,137607,94007,49430,183123,128515,92773,40739,163677,160294,107609,46361,179955,151767,114509,38608,124696,166181,104617,34299,183094,109048,68926,32758,129904,79910,54698,33850, 
 经营活动产生的现金流量净额(万元),-16109,1038,-2829,-12268,-8207,5069,2466,1597,1545,6650,5512,5949,1617,1997,-7118,-2083,2961,13801,-19439,-6045,1303,12464,11275,7649,1855,8517,14161,9164,-6602, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,4100,--,--,--,--,--,--,--,--,--,--,--,2000,2000,--,--,2828,2851,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,33,2,2,--,--,--,--,--,--,--,--,--,--,--,--,--,72,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,398,395,--,--,299,15,8,--,5,3,3,3,13,5,5,2,791,2,1,0,13,9,8,8,33,0,0,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2851,2851, 
 收到的其他与投资活动有关的现金(万元),1,1592,--,--,32,132,--,--,--,--,--,--,--,--,--,--,5,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1,1991,395,0,32,431,15,8,0,4138,5,5,3,13,5,5,7,791,2,1,0,2013,2009,8,8,2933,2851,2851,2851, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2123,8015,3634,1999,1543,6798,6055,2173,1623,4576,1355,550,152,575,401,327,250,4857,819,786,472,19874,11472,9785,5680,17245,14303,10491,6717, 
 投资所支付的现金(万元),--,--,--,--,--,300,--,--,--,4100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,1600,--,--,--,137,--,--,--,60,60,60,60,269,619,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,300,--,--,--,1600,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),2123,8015,3634,1999,1543,8697,6055,2173,1623,9112,1355,550,152,2235,461,387,310,5126,1438,786,472,19874,11472,9785,5680,17245,14303,10491,6717, 
 投资活动产生的现金流量净额(万元),-2122,-6024,-3239,-1999,-1511,-8266,-6040,-2165,-1623,-4975,-1350,-545,-149,-2223,-456,-382,-304,-4336,-1436,-784,-472,-17861,-9462,-9777,-5672,-14312,-11451,-7640,-3866, 
 吸收投资收到的现金(万元),200,400,400,--,--,4000,4000,4000,--,--,--,--,--,--,--,--,210,50,--,--,--,210,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,400,--,--,--,4000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),61056,151688,104718,88468,52044,112872,83872,55872,35772,97193,68928,58928,47928,85200,73200,61800,50090,117346,84020,73070,47700,109334,74172,63672,47022,72122,54722,35072,21550, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),10567,20064,32224,18868,14124,26600,27319,26902,11561,3529,26219,23836,16693,81572,37737,27028,28216,15000,15684,313,25,2300,9455,9436,5219,5000,6215,2344,--, 
 筹资活动现金流入小计(万元),71823,172152,137342,107336,66168,143472,115191,86774,47333,100722,95147,82764,64621,166772,110937,88828,78516,132396,99704,73383,47725,111844,83627,73108,52241,77122,60937,37416,21550, 
 偿还债务支付的现金(万元),48594,109814,91452,79697,28572,101747,62500,55500,31500,82775,62228,53228,42228,111070,90023,75023,68847,110632,67500,58300,44700,93097,55325,46738,31505,66104,53521,38738,18833, 
 分配股利、利润或偿付利息所支付的现金(万元),2504,9513,7595,4803,2178,8058,5263,3437,1647,5432,3434,2223,1147,4695,3064,1700,1091,7555,5580,3657,1827,7760,3742,2588,1010,4737,3306,2480,769, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),7931,38989,34868,4496,20600,37773,57561,31367,21460,5440,34028,31815,18570,52694,5719,2697,1348,38631,10802,6267,--,--,22590,13391,5000,--,--,--,--, 
 筹资活动现金流出小计(万元),59029,158316,133915,88996,51350,147577,125323,90304,54607,93646,99689,87266,61945,168459,98805,79419,71286,156818,83882,68224,46527,100857,81657,62717,37515,70841,56827,41218,19602, 
 筹资活动产生的现金流量净额(万元),12794,13835,3428,18340,14819,-4105,-10132,-3530,-7274,7076,-4542,-4502,2675,-1688,12131,9409,7230,-24423,15822,5159,1198,10987,1970,10391,14726,6281,4110,-3802,1948, 
 汇率变动对现金及现金等价物的影响(万元),--,-12,9,9,--,-24,--,--,--,-13,--,--,--,-3,--,--,--,-9,--,--,--,-27,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-5438,8837,-2631,4082,5100,-7327,-13707,-4098,-7351,8738,-380,902,4143,-1916,4558,6944,9887,-14966,-5053,-1670,2029,5564,3783,8263,10909,486,6819,-2278,-8519, 
 加:期初现金及现金等价物余额(万元),21789,12952,12952,12952,12952,20278,20278,20278,20278,11541,11541,11541,11541,13457,13457,13457,13457,28423,28423,28423,28423,22859,22859,22859,22859,22373,22373,22373,22373, 
 期末现金及现金等价物余额(万元),16351,21789,10321,17034,18052,12952,6571,16180,12927,20278,11161,12443,15684,11541,18014,20400,23344,13457,23370,26753,30452,28423,26642,31121,33768,22859,29192,20095,13854, 
 净利润(万元),--,3571,--,1341,--,4128,--,3088,--,3623,--,3207,--,1485,--,890,0,-8311,--,616,--,-4506,--,1117,--,2178,--,2136,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
