 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),4790,4053,12953,10382,4481,4101,6159,4175,3233,1703,11536,9181,6703,3034,12572,4,0,92,270, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 收到的其他与经营活动有关的现金(万元),469,415,762,614,226,109,1350,1090,634,99,913,116,97,92,931,2182,1896,2147,1340, 
 经营活动现金流入小计(万元),5259,4468,13715,10996,4707,4210,7509,5265,3867,1802,12450,9298,6800,3126,13503,2186,1896,2239,1610, 
 购买商品、接受劳务支付的现金(万元),3658,2273,8762,6959,4688,1536,3845,2989,2406,1672,9448,5656,3945,1486,9843,0,0,79,529, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 支付给职工以及为职工支付的现金(万元),870,504,1855,1281,668,426,1735,1341,915,458,1447,1048,654,327,1057,371,272,348,534, 
 支付的各项税费(万元),664,368,877,697,574,218,723,530,355,244,1400,1099,758,295,592,7,11,17,18, 
 支付的其他与经营活动有关的现金(万元),1378,871,1895,1970,1707,891,1748,1174,1000,584,4270,1880,1079,928,544,1807,1604,1761,536, 
 经营活动现金流出小计(万元),6570,4016,13389,10907,7637,3070,8051,6034,4676,2958,16565,9683,6436,3036,12036,2184,1887,2205,1616, 
 经营活动产生的现金流量净额(万元),-1311,452,326,89,-2930,1140,-542,-769,-808,-1156,-4116,-385,364,90,1467,2,9,34,-6, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,13200,13200,13200,--,--,--,--,0,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,40,40,40,21,4,--,--,0,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,565,--,--,0,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 投资活动现金流入小计(万元),0,0,0,0,0,0,0,0,0,0,13240,13240,13240,21,569,0,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),10,8,148,112,2,--,4,3,2,2,146,115,113,13,13,--,--,26,--, 
 投资所支付的现金(万元),150,150,--,--,--,--,--,--,--,--,13200,13200,13200,3500,--,--,0,0,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,22,--,--,0,18, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 投资活动现金流出小计(万元),160,158,148,112,2,0,4,3,2,2,13346,13315,13313,3513,36,0,0,26,18, 
 投资活动产生的现金流量净额(万元),-160,-158,-148,-252,-2,0,-4,-3,-2,-2,-106,-75,-72,-3492,534,0,-0,-26,-18, 
 吸收投资收到的现金(万元),--,--,140,250,110,--,--,--,--,--,2000,--,--,--,3692,--,--,0,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,2, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,2000,--,--,--,--,1,0,--, 
 筹资活动现金流入小计(万元),0,0,140,250,110,0,0,0,0,0,2000,2000,--,0,3692,0,1,0,2, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,2011,3501,--,--,--,--,--,3,6, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,1469,630,--,--,--,--,1,0,--, 
 筹资活动现金流出小计(万元),0,0,0,0,0,0,0,0,0,0,3480,4131,--,--,0,0,1,3,6, 
 筹资活动产生的现金流量净额(万元),0,0,140,250,110,0,0,0,0,0,-1480,-2131,--,0,3692,0,-0,-3,-4, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 现金及现金等价物净增加额(万元),-1471,294,318,227,-2823,1140,-546,-772,-811,-1158,-5702,-2591,292,-3402,5715,2,8,5,-28, 
 加:期初现金及现金等价物余额(万元),4044,4009,3726,3726,3726,3726,4272,4272,4272,4481,9974,9985,7538,7538,1822,--,--,130,646, 
 期末现金及现金等价物余额(万元),2573,4303,4044,3953,904,4866,3726,3696,3461,3324,4272,7394,7830,4136,7538,--,--,136,618, 
 净利润(万元),911,--,3081,--,1000,--,3024,--,1007,--,43819,--,1744,--,3262,--,--,-6674,-3038, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-60,-136, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--, 
 资产减值准备(万元),--,--,126,--,39,--,159,--,38,--,13,--,--,--,-7,--,--,2230,1125, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),34,--,68,--,33,--,68,--,34,--,61,--,30,--,35,--,--,-1720,195, 
