 报告日期,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30, 
 销售商品、提供劳务收到的现金(万元),217369,139701,70414,274434,180253,119754,50855,226913,156346,104868, 
 客户存款和同业存放款项净增加额(万元),--,0,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,0,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,0,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,0,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,0,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,0,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,0,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,0,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,0,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,0,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),-26,481,--,--,18,--,0,--,--,--, 
 收到的其他与经营活动有关的现金(万元),12735,6288,3996,7653,13602,10263,5459,11383,22456,17216, 
 经营活动现金流入小计(万元),230079,146470,74411,282087,193873,130017,56314,238296,178802,122083, 
 购买商品、接受劳务支付的现金(万元),194119,129544,68491,234735,159761,101491,43988,185457,140912,93757, 
 客户贷款及垫款净增加额(万元),--,0,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,0,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,0,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,0,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,0,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),18747,12444,7457,18304,13619,9309,5333,15428,10714,7063, 
 支付的各项税费(万元),7222,4441,2032,8182,5833,3683,1326,7823,5717,3534, 
 支付的其他与经营活动有关的现金(万元),17822,12365,5109,14010,17663,11884,6911,21594,20670,15635, 
 经营活动现金流出小计(万元),237909,158794,83090,275231,196876,126367,57557,230301,178012,119989, 
 经营活动产生的现金流量净额(万元),-7831,-12324,-8679,6857,-3003,3650,-1243,7995,790,2094, 
 收回投资所收到的现金(万元),--,0,--,1042,388,428,89,2019,2355,2447, 
 取得投资收益所收到的现金(万元),20195,14848,--,31061,32155,27783,1588,22168,20509,7448, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),20,36,5434,28,43,16,0,51,8,7, 
 处置子公司及其他营业单位收到的现金净额(万元),--,0,--,50,--,--,0,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,0,--,--,--,10,10,2577,150,--, 
 减少质押和定期存款所收到的现金(万元),--,0,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),20215,14885,5434,32181,32586,28237,1688,26815,23022,9902, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3655,1422,1359,3383,5676,2189,1196,5750,4209,967, 
 投资所支付的现金(万元),--,0,--,405,869,869,0,2046,3500,188, 
 质押贷款净增加额(万元),--,0,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,0,--,--,--,--,0,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,0,--,--,--,17,17,--,384,--, 
 增加质押和定期存款所支付的现金(万元),--,0,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),3655,1422,1359,3788,6545,3074,1212,7796,8093,1156, 
 投资活动产生的现金流量净额(万元),16559,13462,4075,28393,26042,25163,476,19020,14929,8746, 
 吸收投资收到的现金(万元),--,0,--,3010,3467,3010,0,--,450,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,0,--,3010,--,--,--,--,--,--, 
 取得借款收到的现金(万元),33790,27400,20490,84000,50000,--,0,73500,47230,20740, 
 发行债券收到的现金(万元),--,0,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),5709,0,5703,--,9,2,1,--,50002,1, 
 筹资活动现金流入小计(万元),39499,27400,26193,87010,53476,3012,1,73500,97682,20741, 
 偿还债务支付的现金(万元),62335,50345,32013,88858,50056,65,28,70527,63837,24347, 
 分配股利、利润或偿付利息所支付的现金(万元),1903,1448,786,22573,25129,19816,303,14030,16894,2175, 
 其中：子公司支付给少数股东的股利、利润(万元),--,0,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),0,0,0,--,0,0,0,63,22990,--, 
 筹资活动现金流出小计(万元),64238,51793,32799,111432,75185,19881,331,84620,103721,26522, 
 筹资活动产生的现金流量净额(万元),-24739,-24393,-6606,-24422,-21709,-16869,-330,-11120,-6039,-5781, 
 汇率变动对现金及现金等价物的影响(万元),-132,-125,-95,-147,--,--,0,-2,--,--, 
 现金及现金等价物净增加额(万元),-16143,-23380,-11306,10681,1330,11944,-1098,15893,9679,5060, 
 加:期初现金及现金等价物余额(万元),47105,47105,47105,36424,36424,--,0,20531,20531,--, 
 期末现金及现金等价物余额(万元),30962,23726,35800,47105,37754,--,0,36424,30211,--, 
 净利润(万元),0,33342,--,43779,--,35348,0,55985,--,28637, 
 少数股东损益(万元),--,0,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,0,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,182,--,47,--,-285,0,876,--,94, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),0,1117,--,2454,--,1124,0,2283,--,348, 
 无形资产摊销(万元),--,741,--,1482,--,741,0,1482,--,1403, 
 长期待摊费用摊销(万元),--,15,--,72,--,47,0,93,--,47, 
 待摊费用的减少(万元),--,0,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,0,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-18,--,20,--,1,0,-12,--,9, 
 固定资产报废损失(万元),--,0,--,--,--,--,0,--,--,0, 
 公允价值变动损失(万元),--,0,--,--,--,--,0,--,--,--, 
 递延收益增加(减：减少)(万元),--,0,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,0,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,1416,--,2757,--,708,0,2126,--,789, 
 投资损失(万元),--,-31331,--,-44206,--,-32620,0,-58668,--,-30081, 
 递延所得税资产减少(万元),--,-78,--,75,--,--,0,--,--,--, 
 递延所得税负债增加(万元),0,0,--,199,--,-346,0,--,--,--, 
 存货的减少(万元),--,-3958,--,-2092,--,-3024,0,-1799,--,-2545, 
 经营性应收项目的减少(万元),0,-22250,--,3398,--,-5379,0,-3071,--,-6896, 
 经营性应付项目的增加(万元),0,8499,--,-1129,--,7336,0,8700,--,10289, 
 已完工尚未结算款的减少(减:增加)(万元),--,0,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,0,--,--,--,--,--,--,--,--, 
 其他(万元),--,0,--,--,--,--,0,--,--,--, 
 经营活动产生现金流量净额(万元),--,-12324,--,6857,--,3650,0,7995,--,2094, 
 债务转为资本(万元),--,0,--,--,--,--,0,--,--,--, 
 一年内到期的可转换公司债券(万元),--,0,--,--,--,--,0,--,--,--, 
 融资租入固定资产(万元),--,0,--,--,--,--,0,--,--,--, 
 现金的期末余额(万元),30962,23726,35800,47105,37754,48368,0,36424,30211,25591, 
 现金的期初余额(万元),47105,47105,47105,36424,36424,36424,0,20531,20531,20531, 
 现金等价物的期末余额(万元),--,0,--,--,--,--,0,--,--,--, 
 现金等价物的期初余额(万元),--,0,--,--,--,--,0,--,--,--, 
 现金及现金等价物的净增加额(万元),-16143,-23380,-11306,10681,1330,11944,0,15893,9679,5060, 

