 报告日期,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),--,--,231,2118,--,--,--,--,--,2364,10321,5640,2451,18916,13454,9618,6296,15605,9860,--,--,46,--,--,--,--,--,--,--,--,1273,870,861,37816,40740,23815,9746,21114,17124,11100,5247,55055,49326,33226,16754, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,--,--,--,105,105,84,65,11,20,0,0,38,1605,1297,1010, 
 收到的其他与经营活动有关的现金(万元),261,170,258,4868,159,745,298,266,181,16393,8501,4892,4305,17746,76820,76240,74473,7464,7956,7658,514,67785,2592,927,255,8777,420,129,4,2085,377,339,223,1021,553,147,391,3001,1507,1026,575,595,1799,1143,1424, 
 经营活动现金流入小计(万元),261,170,489,6986,159,745,298,266,181,18757,18822,10532,6756,36662,90275,85858,80770,23069,17816,7658,514,67831,2592,927,255,8777,420,129,4,2088,1651,1209,1084,38942,41399,24046,10201,24126,18651,12126,5823,55687,52729,35666,19188, 
 购买商品、接受劳务支付的现金(万元),--,--,230,2183,--,--,--,--,--,2360,9627,4396,1690,15983,13266,8355,5577,16449,10694,--,--,46,--,--,--,--,--,--,--,176,1608,1608,0,35706,35325,23651,4828,18206,14405,9839,4654,46815,39387,26293,13346, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,--,0,--, 
 支付给职工以及为职工支付的现金(万元),--,20,38,225,22,131,69,42,37,114,256,177,83,444,348,222,110,339,114,91,71,66,90,40,22,60,30,--,--,368,385,385,154,3024,2151,1024,656,2258,1895,995,559,1678,4603,3387,2146, 
 支付的各项税费(万元),--,3,1,760,--,1,0,0,0,95,227,220,172,390,400,399,217,435,63,3,--,--,1,--,--,--,--,--,--,18,492,492,478,3702,2289,1344,781,779,727,438,245,825,931,741,352, 
 支付的其他与经营活动有关的现金(万元),254,141,248,3789,137,604,223,220,144,20827,20097,17289,16237,7409,77021,76725,74096,7221,8157,7583,469,104281,3381,3376,10130,12585,80,28,5,4644,292,284,55,3793,3670,750,186,1673,1489,997,581,6850,6027,4406,2050, 
 经营活动现金流出小计(万元),254,165,517,6958,159,735,293,262,181,23396,30207,22081,18182,24226,91036,85701,79999,24443,19027,7677,539,104394,3472,3416,10152,12646,111,28,5,5207,2776,2769,687,46225,43436,26768,6451,22916,18517,12270,6039,56168,50947,34827,17893, 
 经营活动产生的现金流量净额(万元),7,5,-28,28,-0,10,5,4,-1,-4639,-11385,-11549,-11427,12436,-761,157,770,-1374,-1210,-19,-25,-36563,-880,-2489,-9897,-3869,309,100,-1,-3118,-1126,-1560,397,-7282,-2037,-2723,3750,1210,134,-144,-216,-481,1782,839,1295, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10,--,--,--,--,4000,0,0,1871,1731,1492,125, 
 取得投资收益所收到的现金(万元),--,--,12,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,0,809,--,0,9, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--,10,9,9,457,25,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3145,3,3,--,79,49,49,49,14,50,35,--, 
