 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2013-12-31,2013-03-31,2012-12-31,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2011-03-31,2010-12-31, 
 销售商品、提供劳务收到的现金(万元),65,46,3202,905,588,492,4591,3426,2402,1828,6787,419,419,289,1564,--,0,--,0,0,--,0,--,150, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 收到的其他与经营活动有关的现金(万元),361,30,1404,397,97,86,397,7171,6985,392,2184,1286,360,39,225,239,--,--,--,--,--,0,--,--, 
 经营活动现金流入小计(万元),426,76,4605,1301,685,578,4988,10596,9387,2219,8971,1706,779,328,1789,239,0,0,0,0,--,0,--,150, 
 购买商品、接受劳务支付的现金(万元),--,--,326,201,90,27,3337,3317,3246,2766,3646,302,302,--,911,--,0,--,0,0,--,0,--,23, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 支付给职工以及为职工支付的现金(万元),73,37,200,130,102,49,211,155,114,79,77,49,23,13,38,132,0,--,0,0,--,0,--,2, 
 支付的各项税费(万元),346,327,720,408,142,86,1512,1564,1430,1408,286,273,184,184,257,--,0,--,--,0,--,0,--,4, 
 支付的其他与经营活动有关的现金(万元),101,55,967,415,215,502,563,7067,2575,438,2463,930,393,197,792,104,0,--,--,0,--,0,--,122, 
 经营活动现金流出小计(万元),520,419,2212,1155,548,663,5623,12103,7365,4691,6472,1554,902,394,1998,236,0,0,0,0,--,0,--,152, 
 经营活动产生的现金流量净额(万元),-94,-342,2393,147,137,-86,-635,-1506,2021,-2472,2499,152,-123,-66,-209,3,0,0,0,0,--,0,--,-1, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 收到的其他与投资活动有关的现金(万元),350,350,103,103,103,--,15,--,--,--,--,--,282,--,--,--,--,--,--,--,--,0,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 投资活动现金流入小计(万元),350,350,107,103,103,0,15,0,0,0,0,0,282,0,0,0,0,0,0,0,--,0,--,--, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),275,--,4,4,4,3,4,1,0,--,94,93,93,1,3,3,--,--,--,--,--,0,--,--, 
