 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),6596,2985,33589,15266,9892,4447,30587,18498,13152,7976,45771,19570,10843,4930,28136,--,--,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2,--,42,55,55,41,6,20,20,20,7,--,--,--,0,--,--,--, 
 收到的其他与经营活动有关的现金(万元),5913,2028,24187,3288,2649,600,11018,5910,4019,956,748,6723,3466,10393,7586,22,0,0, 
 经营活动现金流入小计(万元),12510,5013,57818,18609,12596,5087,41611,24428,17191,8952,46526,26293,14309,15323,35722,22,0,0, 
 购买商品、接受劳务支付的现金(万元),2342,1530,24552,7213,4212,2966,25193,11914,4490,9386,41006,18601,8359,3085,20544,--,--,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),400,238,867,704,451,211,818,579,410,224,1266,717,675,471,2773,--,--,--, 
 支付的各项税费(万元),756,74,1139,843,795,66,1765,1326,1029,699,706,795,404,113,1117,--,--,--, 
 支付的其他与经营活动有关的现金(万元),6236,2077,26068,7648,5023,3037,12456,1871,1246,747,1964,2816,1929,10796,8742,12,0,0, 
 经营活动现金流出小计(万元),9734,3919,52626,16408,10481,6281,40233,15690,7175,11056,44943,22929,11367,14465,33176,12,0,0, 
 经营活动产生的现金流量净额(万元),2775,1094,5192,2201,2115,-1193,1378,8738,10016,-2103,1583,3364,2942,858,2546,10,-0,-0, 
 收回投资所收到的现金(万元),200,500,--,2030,1850,2000,17321,6800,1650,1000,16763,618,35,2500,9470,--,--,--, 
 取得投资收益所收到的现金(万元),8,1,9,20,15,1,--,64,8,--,156,136,66,14,576,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,666,589,587,--,727,83,83,83,28,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,1598,1598,1458,633,125,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,19895,--,--,--,--,12,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),208,501,20570,2639,2451,2001,19645,8556,3199,1715,17072,754,101,2514,10046,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),578,377,1772,1166,617,292,1259,321,116,87,735,362,63,51,30,0,--,--, 
 投资所支付的现金(万元),--,--,755,--,--,--,18300,13303,10800,--,13480,2500,2675,2675,13645,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,750,--,--,--,--,--,--,20134,22809,20134,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,20396,1,--,--,--,--,--,--,--,20,35,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),578,377,22923,1917,617,292,19559,13624,10916,87,34349,25691,22907,2726,13675,0,0,0, 
 投资活动产生的现金流量净额(万元),-370,123,-2353,722,1835,1708,87,-5068,-7717,1629,-17277,-24937,-22806,-212,-3630,-0,0,0, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,1350,1350,--,102,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,1350,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),8000,2000,9946,6500,6500,1500,11543,6500,6500,1500,7500,27634,20134,--,16500,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),879,--,3324,1591,1591,--,1303,892,--,--,33556,184,184,--,5195,--,--,--, 
 筹资活动现金流入小计(万元),8879,2000,13270,8091,8091,1500,12846,7392,6500,1500,42406,29168,20318,102,21695,0,0,0, 
 偿还债务支付的现金(万元),7750,2750,13814,9200,7100,1250,14153,10250,9250,1000,8000,12261,5750,3750,10300,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),300,157,--,615,432,222,932,696,491,239,978,795,469,247,928,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
