 报告日期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),286907,198006,103885,424226,250520,195049,109623,380095,308416,199941,89759,369046,277260,208912,82940,418307,222597,180137,84712,422393,245858,185156,99346, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 收到的税费返还(万元),22,--,--,--,--,--,0,737,173,157,0,2920,920,905,746,5393,179,1,1,1492,447,447,--, 
 收到的其他与经营活动有关的现金(万元),2025,1345,566,3402,1598,1102,2252,6018,2445,1565,921,4811,3311,1289,1537,7703,3287,2011,823,7206,2340,1627,396, 
 经营活动现金流入小计(万元),288954,199352,104451,427628,252118,196151,111876,386850,311034,201662,90681,376776,281491,211105,85223,431403,226063,182148,85535,431092,248646,187230,99743, 
 购买商品、接受劳务支付的现金(万元),169464,105509,52392,251438,119783,105200,64551,245627,192760,121319,50832,208329,185943,130459,69736,260180,106152,91293,34962,293653,166867,97844,53185, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 支付给职工以及为职工支付的现金(万元),24951,16775,7872,29630,20608,13644,7325,29686,18240,11649,6868,22285,14559,11675,5956,18366,13017,8626,4904,16038,11660,8150,4443, 
 支付的各项税费(万元),69495,60055,34379,99019,74672,56102,23312,76360,68225,45498,14184,97187,59481,42930,18397,89816,62580,50550,24178,53873,43213,34928,10864, 
 支付的其他与经营活动有关的现金(万元),12278,7723,3127,15038,15657,9940,3046,23397,18845,12598,4335,18845,15014,11771,4542,26627,20908,12983,7605,26937,21195,14284,6873, 
 经营活动现金流出小计(万元),276188,190062,97769,395124,230720,184887,98233,375069,298070,191064,76220,346647,274998,196836,98632,394989,202657,163452,71649,390501,242935,155206,75366, 
 经营活动产生的现金流量净额(万元),12766,9290,6682,32504,21398,11264,13643,11781,12963,10598,14461,30129,6494,14270,-13408,36413,23406,18696,13887,40591,5711,32024,24377, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,300,--,--,--,1,10,10,6, 
 取得投资收益所收到的现金(万元),--,--,--,3,3,--,0,--,--,--,0,--,--,--,--,2,--,--,--,0,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,0,251,170,167,3,107,108,63,14,26,5,5,2,50,34,30,19,97,56,47,44, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,100,--,--,--,0,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,78,--,0,--,3,3,0,44,--,--,--,18,103,--,--,0,56,27,27, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,254,250,167,3,107,111,66,14,70,5,5,2,470,137,30,19,98,122,85,78, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),4545,3580,2255,11188,5536,3700,1978,43920,21502,16187,5724,32041,25394,18990,5639,47932,37760,26058,12379,42803,31311,24732,10749, 
 投资所支付的现金(万元),--,--,--,--,--,1300,0,--,--,--,0,--,--,--,--,300,261,246,214,0,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,0,--,1,--,0,--,--,2,--,322,332,30,--,0,10,10,10, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 投资活动现金流出小计(万元),4545,3580,2255,11188,5536,5000,1978,43920,21503,16187,5724,32041,25394,18992,5639,48553,38352,26334,12593,42803,31321,24742,10759, 
 投资活动产生的现金流量净额(万元),-4545,-3579,-2254,-10934,-5285,-4833,-1975,-43813,-21392,-16121,-5710,-31970,-25388,-18986,-5638,-48083,-38215,-26304,-12574,-42705,-31199,-24657,-10681, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,0,--,--,--,0,539,--,--,--,265,--,--,--,-200,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,265,--,--,--,0,--,--,--, 
 取得借款收到的现金(万元),111559,55889,29645,228650,166744,65722,14341,281487,168104,124858,63179,200779,126095,57056,58968,209736,144564,104842,59192,187466,150498,103524,51714, 
 发行债券收到的现金(万元),--,--,--,--,--,--,0,2500,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,6000,1500,--,--,--,0,--,0,123,0,--,15,--,1,6885,6888,6888,1,0,1,1,--, 
 筹资活动现金流入小计(万元),111559,61889,31145,228650,166744,65722,14341,283987,168104,124981,63179,201318,126110,57056,58969,216886,151452,111730,59192,187266,150499,103525,51714, 
 偿还债务支付的现金(万元),104522,62370,31848,248562,184717,87139,27049,251884,152264,103019,57064,199674,126286,63186,44122,157967,107098,62378,35888,208449,153094,101274,65291, 
 分配股利、利润或偿付利息所支付的现金(万元),7698,4974,2404,10358,7275,4743,2511,15832,11065,8732,2264,11326,7763,5541,2594,9101,5371,3530,1941,6505,4360,2684,1312, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,0,27,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 支付其他与筹资活动有关的现金(万元),6,1506,5,2959,130,69,64,2696,2582,1715,856,4274,3399,5,875,141,1593,620,14,557,153,92,103, 
 筹资活动现金流出小计(万元),112227,68850,34257,261878,192123,91951,29624,270412,165912,113466,60184,215274,137447,68732,47591,167209,114062,66528,37843,215511,157607,104050,66706, 
 筹资活动产生的现金流量净额(万元),-668,-6961,-3112,-33228,-25378,-26230,-15284,13574,2193,11514,2995,-13956,-11337,-11676,11378,49677,37390,45202,21349,-28246,-7109,-525,-14992, 
 汇率变动对现金及现金等价物的影响(万元),--,-12,-14,-21,--,--,0,435,--,--,0,185,--,-257,--,-98,--,--,--,-90,--,--,--, 
 现金及现金等价物净增加额(万元),7553,-1262,1301,-11679,-9266,-19798,-3616,-18023,-6236,5992,11746,-15613,-30232,-16649,-7668,37909,22580,37594,22662,-30450,-32597,6842,-1297, 
 加:期初现金及现金等价物余额(万元),49945,49945,49945,61624,61624,61624,61624,79647,79647,79647,79647,95260,94711,95679,95679,57770,57770,57770,57770,88220,88220,88220,88220, 
 期末现金及现金等价物余额(万元),57498,48682,51246,49945,52358,41826,58008,61624,73411,85639,91393,79647,64479,79030,88011,95679,80351,95364,80432,57770,55624,95063,86924, 
 净利润(万元),--,-2694,--,14764,--,13837,0,3019,--,5047,0,14844,--,9226,--,16798,--,5255,--,2479,--,1836,--, 
 少数股东损益(万元),--,--,--,--,--,-334,0,--,--,--,0,--,--,--,--,283,--,--,--,0,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 资产减值准备(万元),--,2702,--,2000,--,--,0,1565,--,20,0,664,--,529,--,909,--,-528,--,2905,--,-3941,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,12273,--,23691,--,11332,0,24019,--,11674,0,20655,--,8809,--,16673,--,5482,--,13544,--,7700,--, 
 无形资产摊销(万元),--,1611,--,2592,--,1147,0,2840,--,999,0,2414,--,2568,--,1768,--,941,--,1576,--,897,--, 
 长期待摊费用摊销(万元),--,52,--,262,--,-90,0,158,--,97,0,182,--,70,--,93,--,55,--,215,--,63,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--, 
