 报告日期,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),1826346,12680157,5657269,3587276,1530553,9657668,4831341,3275078,1349741,9148799,5034282,3377271,1736508,8918752,5090240,3381105,837630,7385258,4479529,2878515,996672,4619266,3096268,2145714,780028,4486795,3186067, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 收到的税费返还(万元),12113,44334,35940,28741,20688,40755,32024,20777,16490,55487,45774,27441,8482,27793,19066,11081,2652,36948,9206,8017,3211,22206,18660,7697,4768,8076,3198, 
 收到的其他与经营活动有关的现金(万元),7359,94802,86612,50398,10686,100645,66881,43986,4922,66910,74415,34286,37742,174053,41778,9574,9863,88963,31917,15268,43236,113453,38750,21088,40455,48868,19177, 
 经营活动现金流入小计(万元),1845817,12819292,5779821,3666415,1561927,9799068,4930246,3339840,1371153,9271196,5154471,3438997,1782732,9120597,5151084,3401759,850145,7511168,4520651,2901800,1043119,4754924,3153677,2174499,825251,4543739,3208443, 
 购买商品、接受劳务支付的现金(万元),1543862,9351819,5492619,3873089,1836502,7490219,4631506,2962041,1358256,7568105,4644020,3196628,1549379,8018925,5263773,3690187,1255890,6556453,4169481,2814087,1171379,3956596,2401257,1518581,691642,3347945,2759572, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),257613,991300,695620,441103,234466,878228,584471,377482,187249,811410,540135,351962,177403,733455,501654,328262,164228,534362,362769,223994,117728,416742,287250,176514,98669,401628,203396, 
 支付的各项税费(万元),214151,603344,462128,333752,191499,507027,362329,233588,189458,413153,294544,215097,122114,296244,204686,135990,82327,178782,112858,93272,40458,158306,114192,81893,46275,167670,89254, 
 支付的其他与经营活动有关的现金(万元),71715,397185,267658,152021,70522,434916,361646,256785,90400,288096,223312,119450,69463,323442,198512,105523,35944,151082,91236,77059,71294,130777,89735,47890,68493,253665,109927, 
 经营活动现金流出小计(万元),2087341,11343648,6918025,4799966,2332989,9310390,5939953,3829896,1825362,9080764,5702011,3883136,1918359,9372066,6168624,4259963,1538389,7420678,4736343,3208412,1400858,4662421,2892435,1824877,905078,4170907,3162148, 
