 报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31, 
 销售商品、提供劳务收到的现金(万元),1002,571,2456,1787,1169,855,3315,2667,1490,957,9109,2110,1738,1025,5416,1452,1247,631,3635,2607,1641,1069,1658,928,509,235,1269,834,473,188,2283,1767,1264,1070,3388,2239,1464,858,3177,2123,1488,986, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),162,81,265,199,185,104,400,289,210,113,--,219,176,67,407,343,303,186,308,360,218,173,186,127,107,71,126,112,69,42,443,345,323,119,372,323,245,135,356,265,236,107, 
 收到的其他与经营活动有关的现金(万元),712,355,11,1606,985,329,23,1348,895,81,12,4457,101,101,1043,1421,619,119,544,9778,9128,6344,718,857,421,114,336,970,349,126,557,534,440,246,383,1016,864,671,338,1426,1331,426, 
 经营活动现金流入小计(万元),1876,1007,2732,3592,2339,1288,3738,4304,2595,1151,9121,6786,2015,1193,6866,3216,2169,936,4487,12745,10986,7585,2562,1911,1037,419,1731,1916,891,356,3282,2646,2028,1435,4142,3578,2573,1664,3871,3814,3054,1519, 
 购买商品、接受劳务支付的现金(万元),886,531,2337,2262,1436,1147,2973,3089,1584,1038,6502,2352,1521,816,4578,1595,1381,653,3791,3226,1605,1027,1834,1295,769,343,1322,1030,645,320,2607,2089,1384,1158,3288,2513,1661,977,3259,2341,1742,828, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),118,77,305,147,112,74,256,98,62,29,275,115,131,31,315,113,72,33,341,114,68,30,320,108,65,29,295,99,64,28,268,83,53,25,250,76,51,24,218,76,51,23, 
 支付的各项税费(万元),32,6,26,32,23,10,1030,1212,1196,1188,381,291,286,272,397,353,338,9,78,1045,1037,994,125,124,110,11,115,103,90,13,150,130,112,14,69,39,32,19,45,29,22,3, 
 支付的其他与经营活动有关的现金(万元),954,845,159,1801,1078,657,135,1330,888,123,286,4528,248,205,852,1092,324,107,1880,8524,8393,5579,219,707,451,142,439,973,226,107,226,527,385,245,315,835,446,286,252,1228,1154,659, 
 经营活动现金流出小计(万元),1990,1458,2827,4242,2650,1888,4394,5728,3730,2378,7443,7285,2185,1323,6142,3154,2115,802,6089,12909,11103,7630,2498,2234,1394,525,2171,2206,1026,467,3251,2829,1934,1443,3923,3464,2190,1306,3775,3675,2969,1513, 
 经营活动产生的现金流量净额(万元),-114,-451,-95,-650,-310,-601,-656,-1424,-1136,-1227,1678,-499,-170,-130,724,62,54,134,-1602,-164,-116,-45,64,-323,-357,-105,-441,-290,-135,-111,31,-183,94,-7,220,114,383,358,95,139,85,6, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1374,--,--,--,--,--,--,--,426,--,--,--,--,--,--,--,1,1,1,--,4,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 收到的其他与投资活动有关的现金(万元),4,--,3500,--,--,--,--,--,--,--,2176,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
