 报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),1174526,738495,345099,1748680,1228621,763458,335692,1581694,981573,601014,282773,1336120,982295,592366,277526,1080615,689997,437285,187927,1005458,686628,399690,169706,700170,501409,337762,148796,460435,324411,225083,80622,505325,352164,224070,86970,328652,236458,131576,30479, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,135,135,135,0,62,72,72,55,83,1,1,1,91,131,91,91,--,0,0,0,526,351,464,343,283,234,151,45,679,503,434,262, 
 收到的其他与经营活动有关的现金(万元),138532,248617,44203,480709,137634,88321,16790,56506,80843,35893,23580,33747,3423,14642,6784,17988,10002,11892,6654,31835,39486,25614,1016,78339,25489,21287,3782,22785,32846,33419,17419,30149,4563,2624,1189,3302,5886,2001,7850, 
 经营活动现金流入小计(万元),1313058,987111,389302,2229389,1366254,851779,352482,1638335,1062551,637042,306354,1369929,985790,607080,284365,1098686,699999,449177,194582,1037384,726245,425395,170813,778509,526898,359050,152578,483746,357607,258966,98384,535757,356961,226845,88205,332632,242846,134010,38590, 
 购买商品、接受劳务支付的现金(万元),884030,580702,334763,1139734,1295066,771033,481232,1319990,1076748,738402,378952,902584,547571,316218,204218,850541,690964,433080,276271,1067650,740743,584993,176534,543816,382867,223270,96407,356256,233149,178869,100990,544136,375884,217362,102957,227170,149106,86672,36712, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),37882,27980,21512,50967,38808,26574,18466,36112,27126,19733,12319,30982,23546,16504,10190,25794,19822,13376,8036,18605,14467,10438,5884,12129,9500,6894,4744,10043,8230,5508,4459,7464,6054,4718,2692,4758,3978,3135,1821, 
 支付的各项税费(万元),152912,119557,53110,210160,171754,134301,50661,175110,126480,95479,41904,163702,132032,99937,54192,123642,99711,79350,43594,87965,71973,49659,17398,69666,55909,40310,13914,66163,50847,35793,14881,47156,35426,22803,9507,41765,31317,20017,6087, 
 支付的其他与经营活动有关的现金(万元),153079,223828,147324,525180,65247,32276,28293,128507,58165,42228,5232,72847,114949,48383,7732,88267,89096,88455,8761,38419,80107,27196,15767,27307,25957,9080,2568,55091,44983,36328,12726,42246,25566,10791,12636,54897,39092,14564,13656, 
 经营活动现金流出小计(万元),1227903,952068,556708,1926041,1570875,964184,578652,1659719,1288519,895842,438407,1170115,818099,481043,276332,1088244,899593,614260,336663,1212638,907289,672286,215582,652917,474234,279554,117634,487552,337209,256496,133056,641003,442930,255675,127792,328590,223493,124389,58276, 
 经营活动产生的现金流量净额(万元),85155,35044,-167406,303348,-204620,-112405,-226171,-21384,-225969,-258800,-132053,199814,167691,126037,8033,10442,-199594,-165083,-142082,-175254,-181044,-246891,-44769,125592,52664,79495,34944,-3806,20399,2470,-34672,-105245,-85968,-28830,-39587,4042,19353,9621,-19686, 
 收回投资所收到的现金(万元),1374,409,409,356,--,--,--,17500,--,--,--,--,--,--,--,8807,--,--,--,--,--,0,--,--,3000,0,0,0,--,--,--,0,--,--,--,20,--,--,--, 
 取得投资收益所收到的现金(万元),626,600,--,655,990,990,--,661,637,637,--,504,481,450,--,375,375,375,375,--,--,0,35,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),16,1,1,97,26,6,5,117,93,66,0,59,15,14,--,896,9522,742,3,135,125,25,--,26,24,19,0,102,0,0,0,5,--,--,--,0,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),8715,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-2,498,498,--,3530,--,0,--,2877,--,0,0,1008,2045,2045,--,0,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35,35,--,--,--,0,0,0,--,--,--,14,--,--,--,3009,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),2016,1010,409,1108,1016,996,5,18278,730,702,0,563,496,464,0,10076,10396,1616,378,3665,160,60,35,2904,3024,19,0,1110,2045,2045,0,18,--,--,--,3029,--,--,--, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),96728,25147,16016,107001,1240,573,196,2993,1575,672,256,1511,1256,768,143,1512,1424,385,121,1803,1592,1439,87,748,120,93,43,707,423,309,100,373,292,236,167,702,511,108,25, 
 投资所支付的现金(万元),56183,23723,9563,87625,6500,6500,1500,5000,3500,1500,--,2519,519,519,--,26307,4307,4307,--,16600,16600,1000,--,--,--,0,0,500,--,--,--,9000,3000,3000,3000,35,35,10,10, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),7554,8715,8715,--,--,--,--,--,0,--,--,--,1258,1258,--,--,--,--,--,1917,1917,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,535,--,0,--,750,--,--,--,--,--,--,--,--,--,--,1917,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,--,--,0,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),169180,57584,34293,194626,7740,7073,2231,7993,5075,2172,1006,4030,3034,2545,143,27819,5730,4692,121,20320,20109,4356,87,748,120,93,43,1207,423,309,100,9373,3292,3236,3167,737,546,118,35, 
