报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),253,237,2730,187,0,1,14,15,3,1,
结算备付金(万元),0,--,--,--,--,--,--,--,0,--,
拆出资金(万元),0,--,--,--,--,--,--,--,0,--,
交易性金融资产(万元),0,--,--,--,--,--,--,--,0,--,
衍生金融资产(万元),0,--,--,--,--,--,--,--,0,--,
应收票据(万元),--,--,--,--,--,--,--,--,0,--,
应收账款(万元),4461,4465,3759,3025,--,--,--,--,0,--,
预付款项(万元),7,476,44,30,--,1,300,263,15,--,
应收保费(万元),0,--,--,--,--,--,--,--,0,--,
应收分保账款(万元),0,--,--,--,--,--,--,--,0,--,
应收分保合同准备金(万元),0,--,--,--,--,--,--,--,0,--,
应收利息(万元),--,--,--,--,--,--,--,--,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,0,--,
其他应收款(万元),699,1984,1879,4403,4816,5003,5004,7,11,9,
应收出口退税(万元), --,--,--,--,--,--,--,--,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,0,--,
买入返售金融资产(万元),0,--,--,--,--,--,--,--,0,--,
存货(万元),20,13,--,--,--,--,14,--,0,--,
待摊费用(万元),--,--,--,--,--,--,--,--,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,0,--,
一年内到期的非流动资产(万元),0,--,--,--,--,--,--,--,0,--,
其他流动资产(万元),5,--,--,--,--,--,--,--,0,--,
流动资产合计(万元),5445,7175,8412,7645,4816,5005,5332,284,29,10,
发放贷款及垫款(万元),0,--,--,--,--,--,--,--,0,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,0,--,
持有至到期投资(万元),0,--,--,--,--,--,--,--,0,--,
长期应收款(万元),0,--,--,--,--,--,--,--,0,--,
长期股权投资(万元),0,--,--,--,--,--,--,0,0,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,0,--,
投资性房地产(万元),590,--,--,--,--,--,--,--,0,--,
固定资产原值(万元),--,--,--,--,--,31,30,23,23,--,
累计折旧(万元),--,--,--,--,--,17,11,5,1,--,
固定资产净值(万元),--,--,--,--,--,14,19,18,22,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,0,--,
固定资产(万元),14,849,885,26,9,14,19,18,22,--,
在建工程(万元),--,14,--,--,--,--,--,--,0,--,
工程物资(万元),--,--,--,--,--,--,--,--,0,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,0,--,
生产性生物资产(万元),0,--,--,--,--,--,--,--,0,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,0,--,
油气资产(万元),0,--,--,--,--,--,--,--,0,--,
无形资产(万元),2375,2456,1689,--,--,--,--,--,0,--,
开发支出(万元),0,--,--,--,--,--,--,--,0,--,
商誉(万元),0,0,--,--,--,--,--,--,0,--,
长期待摊费用(万元),0,--,--,--,--,--,--,--,0,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,0,--,
递延所得税资产(万元),38,171,50,--,--,--,--,--,0,--,
其他非流动资产(万元),0,--,--,--,--,--,--,--,0,--,
非流动资产合计(万元),3066,3491,2624,26,9,14,19,18,22,0,
资产总计(万元),8510,10665,11035,7671,4825,5019,5351,302,51,10,
短期借款(万元),0,--,--,--,--,--,--,--,0,--,
向中央银行借款(万元),0,--,--,--,--,--,--,--,0,--,
吸收存款及同业存放(万元),0,--,--,--,--,--,--,--,0,--,
拆入资金(万元),0,--,--,--,--,--,--,--,0,--,
交易性金融负债(万元),0,--,--,--,--,--,--,--,0,--,
衍生金融负债(万元),0,--,--,--,--,--,--,--,0,--,
应付票据(万元),--,--,--,--,--,--,--,--,0,--,
应付账款(万元),--,--,--,--,--,--,--,--,0,--,
预收账款(万元),28,163,--,--,0,--,7,--,0,--,
卖出回购金融资产款(万元),0,--,--,--,--,--,--,--,0,--,
应付手续费及佣金(万元),0,--,--,--,--,--,--,--,0,--,
应付职工薪酬(万元),11,18,23,390,206,203,203,203,203,203,
应交税费(万元),323,626,1154,1061,278,212,110,18,7,7,
应付利息(万元),836,--,--,304,296,317,304,--,0,1247,
应付股利(万元),--,233,233,233,233,233,233,233,233,233,
其他应交款(万元),--,--,--,--,--,--,--,--,0,--,
应付保证金(万元),--,--,--,--,--,--,--,--,0,--,
内部应付款(万元),--,--,--,--,--,--,--,--,0,--,
其他应付款(万元),2445,594,994,2479,2379,2751,3102,4154,9091,11132,
预提费用(万元),--,--,--,--,--,--,--,--,0,--,
预计流动负债(万元),0,--,--,--,--,--,--,--,0,--,
应付分保账款(万元),0,--,--,--,--,--,--,--,0,--,
保险合同准备金(万元),0,--,--,--,--,--,--,--,0,--,
代理买卖证券款(万元),0,--,--,--,--,--,--,--,0,--,
代理承销证券款(万元),0,--,--,--,--,--,--,--,0,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,0,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,0,--,
递延收益(万元),--,--,--,--,--,--,--,--,0,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,0,--,
一年内到期的非流动负债(万元),0,--,--,--,--,--,--,--,0,--,
其他流动负债(万元),0,--,--,--,--,--,--,--,0,--,
