报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),71363,64937,47499,24909,27628,21956,25193,19460,6866,14615,18273,14673,20155,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,1239,821,--,70,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
应收票据(万元),1083,--,992,1184,362,255,--,960,--,1372,1030,904,650,
应收账款(万元),3297,1723,1257,2212,1295,1519,1359,524,1958,3345,4804,5776,5560,
预付款项(万元),519,681,12,12,54,14,24,5,--,525,1447,1260,2487,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
应收利息(万元),661,--,28,--,--,--,--,--,--,0,0,--,0,
应收股利(万元),--,--,1892,1892,--,3912,--,--,--,0,1182,1182,2281,
其他应收款(万元),294,148,102,78,35,66,63,737,327,3570,12884,1594,1475,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
存货(万元),6539,7766,5826,1724,1035,203,207,128,--,7922,12286,11610,18801,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
其他流动资产(万元),26532,18782,30403,24510,12460,5525,15000,103,--,47,36,35,26,
流动资产合计(万元),110287,94037,88011,56521,42871,33448,41846,21917,9151,32635,52764,37033,51504,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
可供出售金融资产(万元),9015,9680,9950,24800,17350,--,--,--,--,0,0,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
长期股权投资(万元),35903,39046,36401,33131,18698,19351,20006,18019,17082,1839,48556,59198,73405,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,4579,5255,5047,1271,
固定资产原值(万元),216117,214984,212167,210177,208724,204658,167382,167244,166821,117643,82502,82919,71434,
累计折旧(万元),59876,52760,45789,39006,32319,25762,17671,12141,6535,24454,20762,16810,13880,
固定资产净值(万元),156240,162223,166378,171170,176405,178896,149710,155103,160286,93188,61740,66109,57554,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,3233,1536,1432,1354,
固定资产(万元),156240,162223,166378,171170,176405,178896,149710,155103,160286,89956,60205,64677,56200,
在建工程(万元),360,754,398,--,116,3213,117,--,--,71,40541,37418,38818,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
无形资产(万元),1358,1376,1407,1437,1467,1503,1539,1564,1591,2383,2126,2188,2155,
开发支出(万元),--,--,--,--,--,--,--,--,--,0,409,222,130,
商誉(万元),2085,2085,2085,2085,--,--,--,--,--,0,0,--,0,
长期待摊费用(万元),4681,4617,950,465,--,--,--,--,--,76,101,213,267,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
递延所得税资产(万元),35,17,11,27,--,--,--,--,--,122,390,365,238,
其他非流动资产(万元),52,110,51,284,48250,50000,--,--,--,0,0,--,0,
非流动资产合计(万元),209728,219908,217631,233398,262286,252963,171372,174686,178959,99026,157583,169329,172485,
资产总计(万元),320015,313945,305642,289919,305157,286411,213219,196603,188109,131661,210348,206362,223988,
短期借款(万元),--,--,--,--,15000,38000,--,--,--,17690,30547,28360,31050,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
应付票据(万元),--,--,--,--,--,--,--,--,--,283,475,630,469,
应付账款(万元),1922,2626,1571,871,452,825,52,4,377,5788,6807,7372,5906,
预收账款(万元),140,202,199,4,--,--,--,--,--,474,506,578,275,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
应付职工薪酬(万元),2226,2101,2382,2084,1777,1628,1537,892,--,5311,5220,5855,6008,
应交税费(万元),2082,109,154,367,659,500,646,143,76,784,693,1162,1149,
应付利息(万元),--,--,--,48,228,262,--,--,--,487,943,770,60,
应付股利(万元),--,--,--,--,--,--,--,--,--,671,677,657,851,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,
