报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
货币资金(万元),318390,690039,624828,1136700,1054368,689965,468655,362944,198466,158820,29965,8195,4908,323,162,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,
交易性金融资产(万元),1458,9722,6258,3469,669,--,37,--,--,582,57,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,
应收票据(万元),--,11677,480,109604,10889,72931,35940,18460,1381,4340,--,0,0,--,--,
应收账款(万元),167234,245978,300476,199653,130244,92355,119042,133842,97319,28375,24179,15321,6340,13203,6073,
预付款项(万元),877337,585039,603221,502522,404363,322899,260596,141637,105997,50922,24465,7361,1462,39,60,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,
应收利息(万元),3272,8386,5930,13085,25971,5708,2441,3443,1603,1000,113,0,0,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,
其他应收款(万元),24429,20733,28566,37460,34183,54499,70867,28150,28046,19382,13752,3338,200,5261,4671,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,--,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,
存货(万元),3893,161227,31365,9716,21945,3723,9454,41291,16960,10258,6081,1509,933,20,3,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,
