报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),8295,13145,15137,13432,8994,24184,32101,45319,4788,1704,841,
结算备付金(万元),0,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),0,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),0,668,--,--,--,11,--,--,--,--,--,
衍生金融资产(万元),0,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),0,--,--,--,--,10,--,--,--,--,--,
应收账款(万元),2,2912,5901,10411,13055,7865,6712,4272,2435,2079,2037,
预付款项(万元),0,1,54,161,1611,1207,2654,7973,2984,2862,1522,
应收保费(万元),0,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),0,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),0,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),0,--,--,--,--,114,126,510,--,--,--,
应收股利(万元),0,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),2,47,7876,72,556,866,1443,1104,735,853,1200,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),0,--,--,--,--,--,--,--,--,--,--,
存货(万元),0,0,4989,6780,8249,9687,11921,13271,7167,5141,4187,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),0,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),22458,14153,166,143,231,548,--,--,--,--,--,
流动资产合计(万元),30757,30925,34122,31000,32696,44492,54956,72448,18108,12639,9787,
发放贷款及垫款(万元),0,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),0,--,--,250,--,--,--,--,--,--,--,
持有至到期投资(万元),0,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),0,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),16769,16080,14952,13867,12843,--,--,--,--,1014,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),39031,33660,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),188,1385,37803,50477,49807,23236,22452,13603,12112,11700,--,
累计折旧(万元),169,1025,6727,9916,7846,5983,4474,2906,2278,1546,--,
固定资产净值(万元),19,360,31076,40560,41961,17253,17978,10697,9834,10153,--,
固定资产减值准备(万元),--,0,186,--,--,--,--,--,--,--,--,
固定资产(万元),19,360,30890,40560,41961,17253,17978,10697,9834,10153,4929,
在建工程(万元),0,2393,1017,--,--,20823,16417,1248,--,--,1009,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),0,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),0,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),4152,6783,11387,10184,10327,10088,10301,2827,2861,1386,1393,
开发支出(万元),0,--,--,--,--,--,--,--,--,--,--,
商誉(万元),0,--,--,104,104,104,104,--,--,--,--,
长期待摊费用(万元),6,20,34,85,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),0,0,104,61,136,57,56,56,61,6,8,
其他非流动资产(万元),16,--,--,71,674,750,--,--,--,--,--,
非流动资产合计(万元),59992,59297,58385,65183,66046,49076,44856,14828,12756,12560,7340,
资产总计(万元),90750,90222,92507,96182,98741,93567,99812,87276,30864,25199,17127,
短期借款(万元),0,--,--,3000,4400,--,4500,--,10050,6740,4880,
向中央银行借款(万元),0,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),0,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),0,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),0,--,--,--,73,--,--,--,--,--,--,
衍生金融负债(万元),0,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),59,30,280,2050,2944,2187,5495,967,1185,1489,2831,
预收账款(万元),0,0,87,66,184,454,547,124,73,184,378,
卖出回购金融资产款(万元),0,0,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),0,0,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),115,244,388,211,263,288,325,333,295,235,137,
应交税费(万元),241,222,341,268,346,243,314,82,100,439,144,
应付利息(万元),0,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),0,--,--,--,--,--,--,--,--,2000,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),95,198,78,515,8,4,--,105,5,1075,224,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),0,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),0,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),0,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),0,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),0,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),0,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),509,694,1173,6109,8217,3177,11181,1611,11709,12162,8594,
长期借款(万元),0,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),0,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),0,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),0,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),0,0,176,190,204,--,--,--,--,--,--,
递延所得税负债(万元),0,0,--,--,--,2,--,--,--,--,--,
其他非流动负债(万元),378,388,397,406,--,217,231,285,358,--,--,
非流动负债合计(万元),378,388,573,596,204,219,231,285,358,0,0,
负债合计(万元),887,1081,1747,6705,8421,3396,11412,1896,12067,12162,8594,
实收资本(或股本)(万元),58872,58872,58872,58872,26760,26760,13380,13380,10000,6359,5087,
资本公积(万元),15372,15372,15372,15372,47484,47484,60864,60864,2894,1328,--,
减:库存股(万元),0,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),0,0,--,--,--,--,--,--,--,--,--,
盈余公积(万元),2920,2920,2920,2691,2450,2244,1941,1490,966,733,342,
一般风险准备(万元),0,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),12138,11446,13587,12539,13637,13695,12220,9650,4937,4617,3104,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,-12,-4,-4,--,--,--,
归属于母公司股东权益合计(万元),89862,89141,90761,89477,90320,90171,88400,85380,18797,13036,8533,
少数股东权益(万元),0,0,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),89862,89141,90761,89477,90320,90171,88400,85380,18797,13036,8533,
负债和所有者权益(或股东权益)总计(万元),90750,90222,92507,96182,98741,93567,99812,87276,30864,25199,17127,		
  
