报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),95043,76381,62021,31108,28327,38180,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,
应收账款(万元),60702,--,--,--,34556,25122,
预付款项(万元),4493,1327,512,1636,4130,1780,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),2030,2215,2197,3206,9973,5461,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),48302,42623,35542,40121,40155,42509,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,1990,--,--,
其他流动资产(万元),7010,3677,11365,23826,15055,10055,
流动资产合计(万元),217579,177238,152790,137244,132195,123108,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),1489,1489,9060,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,450,450,4644,--,--,
长期股权投资(万元),33544,31110,22129,2121,1008,1315,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),1080,--,--,--,--,--,
固定资产原值(万元),19334,22320,21335,18727,--,--,
累计折旧(万元),5831,10321,9669,8065,--,--,
固定资产净值(万元),13504,11999,11667,10662,--,--,
固定资产减值准备(万元),445,445,446,410,--,--,
固定资产(万元),13059,11554,11220,10253,8008,8378,
在建工程(万元),30353,15357,5464,95,233,--,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),22723,23103,24021,993,770,712,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),980,980,1469,941,--,--,
长期待摊费用(万元),154,286,396,272,167,63,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),1011,364,270,342,229,155,
其他非流动资产(万元),2409,883,164,24015,--,850,
非流动资产合计(万元),106801,85575,74644,43675,10414,11473,
资产总计(万元),324380,262813,227433,180919,142609,134581,
短期借款(万元),50858,59410,56830,38020,18000,15000,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),--,--,--,--,922,1157,
应付账款(万元),21564,--,--,--,18958,18401,
预收账款(万元),21196,21101,21769,22449,31714,42281,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),21808,17822,16502,14402,11187,7564,
应交税费(万元),6582,5565,5128,2945,3860,4749,
应付利息(万元),213,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),2803,3359,3761,3932,2706,3559,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),125025,117019,112650,97133,87347,92711,
长期借款(万元),27027,21955,10000,--,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),27027,21955,10000,0,--,--,
负债合计(万元),152052,138974,122650,97133,87347,92711,
实收资本(或股本)(万元),40001,36000,36000,36000,31743,30678,
资本公积(万元),64635,39784,39860,37598,10904,2612,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),4005,2418,1499,12,1288,1288,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),57789,39814,21955,5732,11264,7627,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),166429,118016,99314,79341,55199,42205,
少数股东权益(万元),5900,5823,5470,4444,63,-335,
所有者权益(或股东权益)合计(万元),172329,123839,104783,83786,55262,41870,
负债和所有者权益(或股东权益)总计(万元),324380,262813,227433,180919,142609,134581,		
  
